li,docid,url,title,more_versions,related_article,explore_at,explore_at_n,download_formats,download_formats_n,dataset_updated,dataset_provided_by,time_period_covered,area_covered,authors,description
11,L2cvMTF2NjdnOXJoMg==,https://datasetsearch.research.google.com/search?docid=L2cvMTF2NjdnOXJoMg==,SBC LTER : Reef: Dissolved nitrogen fluxes from kelp forest sediment,NA,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-sbc.152.1,1,csv(715 byte); csv(5324 byte),2,2022-11-02,EDI,"Aug 1, 2017","{""type"":""Feature"",""bbox"":[-120.745,33.4003,-118.745,35.4003],""geometry"":{""type"":""GeometryCollection"",""geometries"":[{""type"":""Point"",""coordinates"":[-119.745,34.4003]}]}}",Heili Lowman; Mare Hirsch; Mark Allen Brzezinski; John M Melack,"Permeable marine sediments are biogeochemically active and may
   contribute dissolved nutrients to support primary production in
   coastal regions. This study examined the potential of permeable
   marine sediments near giant kelp forests in the Santa Barbara
   Channel, California to serve as a source of dissolved nutrients to
   the overlying water column to support the observed growth of kelp
   during summer months when nitrate availability is low. Over the
   course of three summers (2017-2019) sediment cores were collected
   at three nearshore kelp forest sites (ABUR, MICR, GOLB), and
   flow-through bioreactor incubations were conducted to measure
   nutrient fluxes. Data are contained in two tables: 1) changes in
   nutrient concentrations measured over the course of both control
   (seawater only) and experimental (seawater + sediment) incubations
   (µM hr-1) and 2) net fluxes of
   nutrients from sediments (µmol m-2
   hr-1).

 This data package is to support manuscript “Lowman H., Hirsch M.,
 Brezinkski M., and Melack J. Examining the Potential of Sandy
 Marine Sediments Surrounding Giant Kelp Forests to Provide
 Recycled Nutrients for Growth. Journal of Coastal Research.”"
12,L2cvMTFzOWJzNzhocw==,https://datasetsearch.research.google.com/search?docid=L2cvMTFzOWJzNzhocw==,"Benthic kelp and invertebrate counts, California sheephead abundance, substrate rugosity data, and benthic temperatures from long-term kelp forest ecosystem monitoring sites at San Nicolas Island, California",NA,NA,https://catalog.data.gov/dataset/benthic-kelp-and-invertebrate-counts-california-sheephead-abundance-substrate-rugosity-dat; https://data.usgs.gov/datacatalog/data/USGS:61c25a06d34e2ca389d9e84a; https://data.amerigeoss.org/dataset/benthic-kelp-and-invertebrate-counts-california-sheephead-abundance-substrate-rugosity-dat,3,,0,2024-07-06,http://www.usgs.gov/,NA,NA,NA,"Four data sets are included here to aid in assessing the influence of substrate complexity on kelp forest ecosystem stability. One data set consists of counts of a suite of kelps and benthic invertebrates on permanent band transects (swaths) at six long-term monitoring sites from 1980-2018. A second data set consists of total counts of adult California sheephead (Semicossyphus pulcher), an important sea urchin predator, on these sites from 1981-2018. The third data set gives an index of the relative substrate rugosity in the form of replicate distances along the bottom profile of each permanent swath. Finally, bottom temperatures recorded from 2015-2019 show the relatively homogenous water mass that encompasses all the sites."
13,L2cvMTFsbnE3bG43NQ==,https://datasetsearch.research.google.com/search?docid=L2cvMTFsbnE3bG43NQ==,Data from: Historical distribution of kelp forests on the coast of British Columbia: 1858 - 1956,NA,https://doi.org/10.1016/j.apgeog.2020.102230,https://open.canada.ca/data/en/dataset/bac83470-bc8f-4065-8ef3-bf76463c4ef2; https://catalogue.arctic-sdi.org/geonetwork/srv/resources/persons/maycira%40uvic.ca; https://data.urbandatacentre.ca/dataset/gov-canada-bac83470-bc8f-4065-8ef3-bf76463c4ef2,3,shp; esri rest; docx,3,2023-07-13,http://www.dfo-mpo.gc.ca/,"Jan 1, 1858",NA,NA,"This dataset is a contribution to the development of a kelp distribution vector dataset. Bull kelp (Nereocystis leutkeana) and giant kelp (Macrocystis pyrifera) are important canopy-forming kelp species found in marine nearshore habitats on the West coast of Canada. Often referred to as a foundation species, beds of kelp form structural underwater forests that offer habitat for fishes and invertebrates. Despite its far-ranging importance, kelp has experienced a decline in the west coast of North America. The losses have been in response to direct harvest, increase in herbivores through the removal of predators by fisheries or diseases, increase in water turbidity from shoreline development as well as sea temperature change, ocean acidification, and increased storm activates. Understanding these impacts and the level of resilience of different kelp populations requires spatiotemporal baselines of kelp distribution. The area covered by this dataset includes the BC coast and extends to portions of the Washington and Alaska coasts. This dataset was created using 137 British Admiralty (BA) charts, including insets, with scales ranging from 1:6,080 to 1:500,000, created between 1858 and 1956. All surveys were based on triangulation, in which a sextant or theodolite was used to determine latitude and angles, while a chronometer was used to help determine longitude. First, each BA chart was scanned by the Canadian Hydrographic Service (CHS) using the CHS Colortrac large format scanner, and saved as a Tagged Image Format at 200 DPI, which was deemed sufficient resolution to properly visualize all the features of interest. Subsequently, the scanned charts were imported into ESRI ArcMap and georeferenced directly to WGS84 using CHS georeferencing standards and principles (charts.gc.ca). In order to minimize error, a hierarchy of control points was used, ranging from high survey order control points to comparing conspicuous stable rock features apparent in satellite imagery. The georeferencing result was further validated against satellite imagery, CHS charts and fieldsheets, the CHS-Pacific High Water Line (charts.gc.ca), and adjacent and overlapping BA charts. Finally, the kelp features were digitized, and corresponding chart information (scale, chart number, title, survey start year, survey end year, and comments) was added as attributes to each feature. Given the observed differences in kelp feature representation at different scales, when digitizing kelp features, polygons were used to represent the discrete observations, and as such, they represent presence of kelp and not kelp area. Polygons were created by tracing around the kelp feature, aiming to keep the outline close to the stipe and blades. The accuracy of the location of the digitized kelp features was defined using a reliability criterion, which considers the location of the digitized kelp feature (polygon) in relation to the local depth in which the feature occurs. For this, we defined a depth threshold of 40 m to represent a low likelihood of kelp habitat in areas deeper than the threshold. An accuracy assessment of the digitized kelp features concluded that 99% of the kelp features occurred in expected areas within a depth of less than 40 m, and only about 1% of the features occurred completely outside of this depth."
14,L2cvMTFsbWwzYmRwcA==,https://datasetsearch.research.google.com/search?docid=L2cvMTFsbWwzYmRwcA==,The potential role of kelp forests on iodine speciation in coastal seawater,NA,NA,https://plos.figshare.com/articles/dataset/The_potential_role_of_kelp_forests_on_iodine_speciation_in_coastal_seawater/5304553,1,docx,1,2023-05-30,PLOS ONE,NA,NA,Jennifer Gonzales; Teresa Tymon; Frithjof C. Küpper; Matthew S. Edwards; Carl J. Carrano,"Kelps have a major role in marine and atmospheric iodine cycling in the coastal zone of temperate regions, with potential wide-ranging impacts on ozone destruction in the coastal marine boundary layer. However, little is known about the impact of kelp forests on iodine speciation in coastal sea water. To address this, we examined iodide and iodate concentrations in seawater in and around a giant kelp forest near San Diego, CA, USA, and a nearby site that was not influenced by kelp biology. Our data shows that while both iodide and iodate concentrations remained unchanged during the year at the nearby site, these concentrations changed significantly in and around the kelp forest, and were strongly related to changes in kelp canopy biomass. In particular, iodide reached its highest concentration and iodate reached its lowest concentration during the summer when the kelp canopies were near their maximum, while the opposite pattern was observed during the winter and spring when the kelp canopies were near their minimum. Further, comparisons of these changes with corresponding changes in seawater temperature and wind speed indicated that these relationships were relatively small compared to those with changes in kelp biomass. Together, our data show a strong relationship between kelp biomass and iodine metabolism."
15,L2cvMTF2eXdfMTk1Mw==,https://datasetsearch.research.google.com/search?docid=L2cvMTF2eXdfMTk1Mw==,SBC LTER: Reef: California kelp canopy and environmental variable dynamics,NA,NA,https://search-dev.test.dataone.org/view/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-sbc%2F162%2F1; https://search.dataone.org/view/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-sbc%2F162%2F1; https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-sbc.162.1; https://search-stage-2.test.dataone.org/view/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-sbc%2F162%2F1,4,,0,2023-07-25,http://www.lternet.edu/,"Jan 1, 1984","{""type"":""Feature"",""bbox"":[-124.422,32.5516,-117.142,41.9516],""geometry"":{""type"":""GeometryCollection"",""geometries"":[{""type"":""Polygon"",""coordinates"":[[[-124.422,32.5516],[-124.422,41.9516],[-117.142,41.9516],[-117.142,32.5516],[-124.422,32.5516]]]}]}}",Tom W Bell,"This dataset contains time series of kelp canopy area for giant
   kelp, Macrocystis pyrifera , and bull
   kelp, Nereocystis luetkeana , and canopy
   biomass of giant kelp derived from Landsat satellite imagery along
   with time series of environmental variables known to be associated
   with kelp forest dynamics. Data are organized into a single NetCDF
   file and kelp canopy data are co-located with the nearest
   environmental data point."
16,L2cvMTFsbWwwMHlicA==,https://datasetsearch.research.google.com/search?docid=L2cvMTFsbWwwMHlicA==,Data from: SBC LTER: Reef: Long-term experiment: Kelp removal: Invertebrate and algal density,https://datasetsearch.research.google.com/search?src=0&query=versions%3AData%20from%3A%20SBC%20LTER%3A%20Reef%3A%20Long-term%20experiment%3A%20Kelp%20removal%3A%20Invertebrate%20and%20algal%20density&docid=L2cvMTFsbWwwMHlicA%3D%3D&vers=MTgwOTc5NTcwNzQ3OTQyMTg0Mjg%3D,https://scholar.google.com/scholar?q=allintitle%3A+%22SBC+LTER:+Reef:+Long-term+experiment:+Kelp+removal:+Invertebrate+and+algal+density%22,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-sbc.34.21; https://search-sandbox-2.test.dataone.org/view/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-sbc%2F34%2F21,2,csv(79588256 byte),1,2023-09-05,EDI,"Jan 10, 2008","{""type"":""Feature"",""bbox"":[-121.119,33.4677,-119.119,35.4677],""geometry"":{""type"":""GeometryCollection"",""geometries"":[{""type"":""Point"",""coordinates"":[-120.119,34.4677]}]}}",Daniel C Reed; Robert J Miller,"These data describe the abundance of common reef associated
   species of macro invertebrates and macroalgae within permanent
   plots of a long-term experiment designed to examine trajectories
   of change in the structure and productivity of kelp forest
   communities in response to changes in the frequency and severity
   of disturbance to giant kelp. The number of individuals of
   approximately 50 taxa were recorded by divers along 40 m transects
   within each plot. Small species of macroalgae and macinvertebrates
   were counted within six permanent 1 m2
   quadrats positioned uniformly along the 40 m transect, while
   larger species were counted within four contiguous 20
   m2 sub-sections of each 40 m x 2 m
   transect. Also included at the quadrat scale are estimates of an
   average size-related measurement of each species, which was
   developed specifically for each species for the purpose of
   estimating its biomass. The experiment was initiated in 2008 at
   five reef sites along the mainland coast of the Santa Barbara
   Channel and included an annual kelp removal treatment designed to
   simulate increases in the frequency and severity of winter wave
   disturbance and a continual kelp removal treatment that allowed
   the effects of giant kelp on the community to be evaluated. The
   last experimental removals of giant kelp occurred in winter 2016
   or winter 2017, depending on the site. Data collection continued
   in all plots until spring 2023 to document the recovery trajectory
   of the reef fish community following the cessation of experimental
   kelp removal."
17,L2cvMTF3MWd3OGNqdw==,https://datasetsearch.research.google.com/search?docid=L2cvMTF3MWd3OGNqdw==,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance (Reformatted to the ecocomDP Design Pattern),NA,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=edi.189.2; https://search.dataone.org/view/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fedi%2F189%2F2,2,csv(218 bytes); csv(1425 bytes); csv(24300 bytes); csv(7856397 bytes); csv(3675 bytes); csv(30479527 bytes); csv(585 bytes); bin(14466 bytes),8,2021-07-21,EDI,"Aug 1, 2000","{""type"":""Feature"",""bbox"":[-120.745,33.4003,-118.745,35.4003],""geometry"":{""type"":""GeometryCollection"",""geometries"":[{""type"":""Point"",""coordinates"":[-119.745,34.4003]}]}}",Daniel C Reed; Robert J Miller,"This data package is formatted as an ecocomDP (Ecological Community
 Data Pattern). For more information on ecocomDP see
 https://github.com/EDIorg/ecocomDP. This Level 1 data package was
 derived from the Level 0 data package found here: https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/17/35. The
 abstract below was extracted from the Level 0 data package and is
 included for context:

These data describe the abundance and size of fish species as part
of SBCLTER's kelp forest monitoring program to track long-term
patterns in species abundance and diversity. This study began in
2000 in the Santa Barbara Channel, California, USA. The abundance
and size of all taxa of resident kelp forest fish encountered along
permanent transects are recorded at nine reef sites located along
the mainland coast of the Santa Barbara Channel and at two sites on
the north side of Santa Cruz Island. These sites reflect several
oceanographic regimes in the channel and vary in distance from
sources of terrestrial runoff. In these surveys, fish were counted
in either a 40x2m benthic quadrat, or in the water parcel 0-2m off
the bottom over the same area.


The two tables in this data package include: 1) The annual benthic
fish community survey which was conducted on 11 reefs once a year
around late July or early August; and 2) The monthly fish survey
which was conducted once a month at a subset of the sites (3 of the
annual sites)


The time period of data collection for the annual benthic fish
community survey varied among the 11 kelp forest sites. Sampling at
BULL, CARP, and NAPL began in 2000, sampling at the other 6 mainland
sites (AHND, AQUE, IVEE, GOLB, ABUR, MOHK) began in 2001 (transects
3, 5, 6, 7, 8 at IVEE were added in 2011). Data collection at the
two Santa Cruz Island sites (SCTW and SCDI) began in 2004. The
monthly fish survey at ABUR (Transect 1, 2, and 3), AQUE
(Transect1), and MOHK (Transect 1) in 2002. The Transect 2 and 3 at
ABUR were discontinued in June 2006.


See Methods for more information. 

 The primary research objective of the Santa Barbara Coastal LTER is to investigate
    the importance of land and ocean processes in structuring giant kelp
     (Macrocystis pyrifera ) forest ecosystems. As in many temperate
    regions, the shallow rocky reefs in the Santa Barbara Channel, California, are dominated
    by giant kelp forests. Because of their close proximity to shore, kelp forests are
    influenced by physical and biological processes occurring on land as well as in the open
    ocean. SBC LTER research focuses on measuring and modeling the patterns, transport, and
    processing of material constituents (e.g., nutrients, carbon, sediment, organisms, and
    pollutants) from terrestrial watersheds and the coastal ocean to these reefs.
    Specifically, we are examining the effects of these material inputs on the primary
    production of kelp, and the population dynamics, community structure, and trophic
    interactions of kelp forest ecosystems."
18,L2cvMTF0ZnZ4ODd3Yg==,https://datasetsearch.research.google.com/search?docid=L2cvMTF0ZnZ4ODd3Yg==,Data from: Kelp distribution model across Brittany (France),https://datasetsearch.research.google.com/search?src=0&query=versions%3AData%20from%3A%20Kelp%20distribution%20model%20across%20Brittany%20%28France%29&docid=L2cvMTF0ZnZ4ODd3Yg%3D%3D&vers=MTc1NTU1NDcwMjA2MTQyMTUzNzg%3D,https://scholar.google.com/scholar?q=allintitle%3A+%22Kelp+distribution+model+across+Brittany+%28France%29%22,https://sextant.ifremer.fr/geonetwork/srv/api/records/9617fdd6-e960-4e17-8d23-8f75911d774c; https://catalogue.geonormandie.fr/geonetwork/apps/api/records/9617fdd6-e960-4e17-8d23-8f75911d774c; https://demo.georchestra.org/geonetwork/srv/api/records/9617fdd6-e960-4e17-8d23-8f75911d774c?language=all,3,ogc:wms; www:link-1.0-http--metadata-url,2,2010-04-11,IFREMER,NA,"{""type"":""Feature"",""bbox"":[47.2181,-5.66031,50.1396,-0.2395240000000003],""geometry"":{""type"":""GeometryCollection"",""geometries"":[{""type"":""Polygon"",""coordinates"":[[[47.2181,-5.66031],[47.2181,-0.239524],[50.1396,-0.239524],[50.1396,-5.66031],[47.2181,-5.66031]]]}]}}",University of Nantes,"Data represents percentage cover of kelp forest. The Habitat model was generated from kelp forest presence/absence determined from acoustic surveys of laminarial algae. KdPar, sea surface temperature, depth and current speed were used as predictive variables. Habitat model represents only the areas where kelp forests may occur, not the areas confirmed in field observations."
19,L2cvMTF2d2xneHNzbg==,https://datasetsearch.research.google.com/search?docid=L2cvMTF2d2xneHNzbg==,"When, where and how? A guide to kelp restoration in California using spatio-temporal models of kelp dynamics. California. Biological and environmental predictors of kelp density. Site classification for kelp restoration (2004-2021)",NA,NA,https://commons.datacite.org/doi.org/10.25494/p6/when_where_and_how_kelp_restoration_guidebook_2; https://opc.dataone.org/view/doi%3A10.25494%2FP6%2FWhen_where_and_how_kelp_restoration_guidebook_2; https://search-dev.test.dataone.org/view/doi%3A10.25494%2FP6%2FWhen_where_and_how_kelp_restoration_guidebook_2,3,,0,NA,https://www.datacite.org/,NA,NA,Anita Giraldo-Opsina; Jennifer Caselle; Mark Carr; Tom Bell; Dan Malone,"Biological and environmental predictors of kelp density. Data includes information on kelp density from in situ surveys from Reef Check and PISCO long-term monitoring programs (2006-2021 and 2004-2021 respectively). Biological predictors were also obtained from in situ surveys while environmental predictors were obtained or derived from remote sensing products. Seafloor terrain bathymetry data was obtained from Multibeam Bathymetry surveys and other environmental predictors from satellite imagery. These datasets were used to identify the best predictors of the density of two kelp species in California: the bull kelp, Nereocystis luetkeana, and the giant kelp, Macrocystis pyrifera."
20,L2cvMTF3aDNmYmY4bg==,https://datasetsearch.research.google.com/search?docid=L2cvMTF3aDNmYmY4bg==,SBC LTER: Reef: Seasonal Kelp Forest Community Dynamics: Taxon-specific seasonal net primary production (NPP) for macroalgae,NA,NA,https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-sbc&identifier=183,1,csv(12771565 byte); csv(2414 byte),2,2024-10-01,EDI,"Jan 10, 2008","{""type"":""Feature"",""bbox"":[-121.119,33.4677,-119.119,35.4677],""geometry"":{""type"":""GeometryCollection"",""geometries"":[{""type"":""Point"",""coordinates"":[-120.119,34.4677]}]}}",Daniel C Reed; Robert J Miller,"This dataset provides estimates of seasonal net primary production
   (NPP) for all taxa of macroalgae sampled in fixed plots of the SBC
   LTER's seasonal kelp forest monitoring sites. The five reefs
   (Arroyo Quemada 34°28.048’N, 120°07.031’W; Carpinteria
   34°23.474’N, 119°32.510’W; Isla Vista 34°23.275’N, 119°32.792’W;
   Mohawk 34°23.649’N, 119°43.762’W; and Naples 34° 25.342’N, 119°
   57.102’W) ranged in depth from 5.8 m to 8.9 m (MLLW) and were
   chosen to represent a range of physical and biological
   characteristics known to influence subtidal macroalgal assemblages
   in the region. NPP of understory taxa was calculated using field
   measurements of irradiance and biomass (derived from abundance)
   and laboratory estimates of taxon-specific photosynthetic
   parameters. NPP for the giant kelp, Macrocystis
   pyrifera, was calculated using linear relationships
   between frond density in a given season and average NPP for that
   season."
21,L2cvMTF3bXYxZzFfNg==,https://datasetsearch.research.google.com/search?docid=L2cvMTF3bXYxZzFfNg==,Kelp,NA,NA,https://arc-gis-hub-home-arcgishub.hub.arcgis.com/maps/f4e56bb78b21455f99040a45c8cbec00,1,,0,2020-04-06,NA,NA,NA,NA,"Pertaining to 2016 Data:

This vector dataset is a thematic map representing mosaicked multi-spectral imagery, targeting both exposed and submerged kelp beds along the California coastline and Channel Islands. The imagery used to create this classification was acquired at a spatial resolution of 0.3 meters using a Microsoft UltraCam Eagle digital camera acquiring in the red, green, blue, and near-infrared bands. The image mosaic product used for the classification is a result of the resampling of the 0.3 meter data to 2 meter resolution. The data are projected in California Teale Albers using North American Datum 1983. Surface kelp canopy and subsurface kelp classifications are separate. The data was collected and processed by Sandoval & Associates, LLC under contract by the California Department of Fish and Wildlife (CDFW). CDFW must be credited with the distribution of these data. The imagery was collected September 3-25, 2016. This dataset is complete at this time, although the user should note any omissions. DISCLAIMER The user is cautioned against making direct comparisons between the various kelp surveys for the following reasons: (1)Timing of the survey is important, particularly with respect to growing season, conditions in the ocean, storms, and harvest levels preceding the dates of imagery collection. Season variability may account for differences in surveys which may not reflect a change in the bed's extent, productivity, or harvest level. (2) Statisical significance in change of area should be evaluated. To do this, a variance parameter is needed, which is obtained by repeated measurements. (3) Survey methods may not be consistent. Some method of calibration between the methods should be performed in order to insure a change of area is not due to survey instrumentation and not misinterpreted as a biological change. (4) An area where no kelp data are present may represent an area devoid of kelp, or may represent an area where kelp was not detected due to poor photo quality, missing photo coverage, or other issues with data collection and processing. Image coverage is extensive for the state, but the user is advised to consult the supplementary information for each year to determine whether imagery were acquired for an area of interest.This version is resampled to 5m cell grid from source vectors. This version is for cartographic uses only."
22,L2cvMTFuX3hwZHRnZA==,https://datasetsearch.research.google.com/search?docid=L2cvMTFuX3hwZHRnZA==,Monitoring and Evaluation of Kelp Forest Ecosystems in the MLPA Marine Protected Area Network,https://datasetsearch.research.google.com/search?src=0&query=versions%3AMonitoring%20and%20Evaluation%20of%20Kelp%20Forest%20Ecosystems%20in%20the%20MLPA%20Marine%20Protected%20Area%20Network&docid=L2cvMTFuX3hwZHRnZA%3D%3D&vers=MTc1MTI3MDAyNDAwMjE4MDE0Njc%3D,NA,https://knb.ecoinformatics.org/view/MLPA_kelpforest.metadata.1,1,,0,2021-10-01,California Ocean Protection Council Data Repository,"Sep 7, 1999","{""type"":""Feature"",""bbox"":[-125.0,32.0,-117.0,42.0],""geometry"":{""type"":""GeometryCollection"",""geometries"":[{""type"":""Polygon"",""coordinates"":[[[-125.0,32.0],[-125.0,42.0],[-117.0,42.0],[-117.0,32.0],[-125.0,32.0]]]}]}}",Mark H. Carr; Jennifer E. Caselle; Brian N. Tissot; Daniel J. Pondella; Daniel P. Malone; Kathryn D. Koehn; Jeremy T. Claisse; Jonathan P. Williams,"Abstract The kelp forest monitoring datasets provided here are assembled from
  four academic institutions involved in the baseline and long-term
  monitoring phases of California’s statewide Marine Protection Area
  implementation and evaluation process. These datasets include the
  baseline periods for all regions, and additional historical data.
  The Partnership for Interdisciplinary Studies of Coastal Oceans
  (PISCO) kelp forest program, administered out of the University of
  California campuses in Santa Cruz and Santa Barbara and funded
  primarily by the David and Lucile Packard Foundation, has been
  monitoring across California since 1999, and with a focus on Marine
  Protected Areas. The Vantuna Research Group at Occidental College
  has conducted monitoring in the southern California region since
  1966, and has been using similar sampling methods to the PISCO
  program to monitor kelp forests in the region since the 2004
  wide-scale monitoring effort of the Cooperative Research and
  Assessment of Nearshore Ecosystems (CRANE) Program. Researchers at
  Humboldt State University began monitoring sites in the north coast
  region in 2014 and 2015 using the PISCO sampling methodology. Data
  have been integrated across all four programs. To comprehensively and quantitatively characterize the ecological
  community and geological features at each kelp forest site, four different sampling methods
  are employed, all of which are conducted visually by SCUBA divers.
  Fish transects and benthic macroalgae and invertebrate transects
  overlap with, but are spatially distinct from one another. Surveys
  are conducted annually, during the summer or early fall. Typically,
  two to four sites inside a given MPA and two to four sites outside
  of the MPA are surveyed in a given year, with the number and shape
  of sites varying depending on habitat (e.g. onshore-offshore
  steepness of the reef) and longshore width of the MPA. Sampling
  history varies by program, MPA, and sampling site."
23,L2cvMTFqOWJjM2sxYw==,https://datasetsearch.research.google.com/search?docid=L2cvMTFqOWJjM2sxYw==,Data from: Kelp forests at the end of the earth: 45 years later,https://datasetsearch.research.google.com/search?src=0&query=versions%3AData%20from%3A%20Kelp%20forests%20at%20the%20end%20of%20the%20earth%3A%2045%20years%20later&docid=L2cvMTFqOWJjM2sxYw%3D%3D&vers=NTk4ODA2Mjk3NjQxOTU0ODk1MA%3D%3D,https://doi.org/10.1371/journal.pone.0229259,https://datadryad.org/stash/dataset/doi:10.5061/dryad.6djh9w0xd,1,zip,1,2020-02-13,Dryad,2020,NA,Alan Friedlander; Enric Ballesteros; Tom Bell; Jennifer Caselle; Claudio Campagna; Mathias Hune; Alex Munoz; Pelayo Salinas-de-Leon; Enric Sala; Paul Dayton,"Characterization of the benthos was conducted by scuba divers along two 25-m long transects.Transects were run parallel to the shoreline. For sessile and mobile invertebrates, the number of individuals was estimated on 1-m of either side of the transect line (50 m2). For colonial organisms (sponges, some cnidarians, bryozoans, and some tunicates) colonies, rather than individuals, were counted. Only non-cryptic invertebrates ≥ 1 cm were enumerated.

For fish surveys, a scuba diver counted and sized all fishes within 1-m of either side of a 25 m transect line (50 m2) at each survey site. The transect extended to the surface or as far as visibility allowed, including species associated with the kelp canopy and water column. Total fish lengths were estimated to the nearest cm. In addition, photographs were taken in situ to assist with species identification, document underwater coloration, and associated habitat."
24,L2cvMTFyeHh4MHNmeA==,https://datasetsearch.research.google.com/search?docid=L2cvMTFyeHh4MHNmeA==,Data_Sheet_1_Spatial Variability in the Resistance and Resilience of Giant Kelp in Southern and Baja California to a Multiyear Heatwave.PDF,NA,https://doi.org/10.3389/fmars.2019.00413,https://frontiersin.figshare.com/articles/dataset/Data_Sheet_1_Spatial_Variability_in_the_Resistance_and_Resilience_of_Giant_Kelp_in_Southern_and_Baja_California_to_a_Multiyear_Heatwave_PDF/8980766/1,1,pdf,1,2019-07-23,Frontiers,NA,NA,Kyle C. Cavanaugh; Daniel C. Reed; Tom W. Bell; Max C. N. Castorani; Rodrigo Beas-Luna,"In 2014–2016 the west coast of North America experienced a marine heatwave that was unprecedented in the historical record in terms of its duration and intensity. This event was expected to have a devastating impact on populations of giant kelp, an important coastal foundation species found in cool, nutrient rich waters. To evaluate this expectation, we used a time series of satellite imagery to examine giant kelp canopy biomass before, during, and after this heatwave across more than 7 degrees of latitude in southern and Baja California. We examined spatial patterns in resistance, i.e., the initial response of kelp, and resilience, i.e., the abundance of kelp 2 years after the heatwave ended. The heatwave had a large and immediate negative impact on giant kelp near its southern range limit in Baja. In contrast, the impacts of the heatwave were delayed throughout much of the central portion of our study area, while the northern portions of our study area exhibited high levels of resistance and resilience to the warming, despite large positive temperature anomalies. Giant kelp resistance throughout the entire region was most strongly correlated with the mean temperature of the warmest month of the heatwave, indicating that the loss of canopy was more sensitive to exceeding an absolute temperature threshold than to the magnitude of relative changes in temperature. Resilience was spatially variable and not significantly related to SST metrics or to resistance, indicating that local scale environmental and biotic processes played a larger role in determining the recovery of kelp from this extreme warming event. Our results highlight the resilient nature of giant kelp, but also point to absolute temperature thresholds that are associated with rapid loss of kelp forests."
25,L2cvMTFqXzdjbnJxMg==,https://datasetsearch.research.google.com/search?docid=L2cvMTFqXzdjbnJxMg==,Data from: Giant Kelp Microbiome Altered in the Presence of Epiphytes,NA,https://doi.org/10.1002/lol2.10157,https://search.dataone.org/view/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-sbc%2F132%2F1; https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-sbc.132.1,2,,0,2020-06-26,http://www.lternet.edu/,"May 1, 2018","{""type"":""Feature"",""bbox"":[-121.119,33.4678,-119.119,35.4678],""geometry"":{""type"":""GeometryCollection"",""geometries"":[{""type"":""Point"",""coordinates"":[-120.119,34.4678]}]}}",Santa Barbara Coastal LTER; Anna K. James; Chance J. English; Nick J. Nidzieko; Craig A. Carlson; Lizzy G. Wilbanks,"This data package includes data tables documenting microbial
  community on kelp blades as well as surrounding water column, and R
  script that analyzes diversity of the microbiomes in kelp forests. Samples were collected using stand up paddle boards at two kelp beds
  in the Santa Barbara Channel: Arroyo Quemado (AQ: 34° 28.127′ N,
  120° 07.285′ W) and Mohawk Reef (MR; 34° 23.660′ N, 119° 43.800′ W)
  from May to August, 2018. Seawater samples were also collected as
  part of this project and to compare kelp microbiomes to microbial
  communities in the surrounding water column. The raw sequencing reads were archived in the Sequence Read Archive
  data repository through NCBI
  (https://www.ncbi.nlm.nih.gov/bioproject/PRJNA612503) This work was conducted by AK James, CJ English, N Nidzieko, CA
  Carlson, and EG Wilbanks. This data package is a mirror of a GitHub project:
  https://github.com/ajamesk10/KELP_SBC_16S_2018"
