query_name,query_type,category,prefix,purpose,ok,n_hazard,hz_bang,hz_crosstab,hz_hardcoded_cruise,hz_string_numeric,hz_access_fn,hz_query_ref,sql_file
UQ-Rpt_Oxyumol/Kg_equation,UPDATE,correction-history,UQ,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/UQ-Rpt_Oxyumol_Kg_equation.sql
UQ-Rpt_R_Oxyumol/Kg,UPDATE,correction-history,UQ,,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,accdb/sql/UQ-Rpt_R_Oxyumol_Kg.sql
UQ-Ship_Code,UPDATE,correction-history,UQ,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/UQ-Ship_Code.sql
UQ_AppendTo_DIC,APPEND,correction-history,UQ,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/UQ_AppendTo_DIC.sql
UQ_Blt_Cnt_Renumber,UPDATE,correction-history,UQ,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/UQ_Blt_Cnt_Renumber.sql
UQ_Depth_ID_CharLen_BottleTable,UPDATE,correction-history,UQ,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/UQ_Depth_ID_CharLen_BottleTable.sql
UQ_Depth_ID_SBB_BottleTable,UPDATE,correction-history,UQ,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/UQ_Depth_ID_SBB_BottleTable.sql
UQ_StaName,UPDATE,correction-history,UQ,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/UQ_StaName.sql
UQ_Sta_ID_SBB_BottleTable,UPDATE,correction-history,UQ,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/UQ_Sta_ID_SBB_BottleTable.sql
UQ_Table2Table_Bottle_To_DIC,UPDATE,correction-history,UQ,,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,accdb/sql/UQ_Table2Table_Bottle_To_DIC.sql
UQ_Table2Table_Bottle_To_DIC_csv,UPDATE,correction-history,UQ,,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,accdb/sql/UQ_Table2Table_Bottle_To_DIC_csv.sql
UQ_UpdateRpt_Line,UPDATE,correction-history,UQ,,TRUE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,accdb/sql/UQ_UpdateRpt_Line.sql
UQ_UpdateRpt_Sta_4digits,UPDATE,correction-history,UQ,,TRUE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,accdb/sql/UQ_UpdateRpt_Sta_4digits.sql
UQ_UpdateRpt_Sta_5digits,UPDATE,correction-history,UQ,,TRUE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,accdb/sql/UQ_UpdateRpt_Sta_5digits.sql
UQ_reupdateProdo,UPDATE,correction-history,UQ,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/UQ_reupdateProdo.sql
Uq-ShipName,UPDATE,correction-history,(other),,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/Uq-ShipName.sql
Anomalies ISL 0 IM,SELECT,derived-product,Anomalies,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/Anomalies_ISL_0_IM.sql
Anomalies ISL 1 Station,SELECT,derived-product,Anomalies,,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,accdb/sql/Anomalies_ISL_1_Station.sql
Anomalies ISL 2 Lines,SELECT,derived-product,Anomalies,,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,accdb/sql/Anomalies_ISL_2_Lines.sql
Anomalies ISL 3 Cruise,SELECT,derived-product,Anomalies,,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,accdb/sql/Anomalies_ISL_3_Cruise.sql
Anomalies ISL 4 Year,SELECT,derived-product,Anomalies,,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,accdb/sql/Anomalies_ISL_4_Year.sql
Anomalies Sigma 0 IM,SELECT,derived-product,Anomalies,,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/Anomalies_Sigma_0_IM.sql
Anomalies Sigma 1 Lines,SELECT,derived-product,Anomalies,,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,accdb/sql/Anomalies_Sigma_1_Lines.sql
Anomalies Sigma 1 Regions Cruise,SELECT,derived-product,Anomalies,,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,accdb/sql/Anomalies_Sigma_1_Regions_Cruise.sql
Anomalies Sigma 2 Cruises,SELECT,derived-product,Anomalies,,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,accdb/sql/Anomalies_Sigma_2_Cruises.sql
Anomalies Sigma 2 Regions Ann,SELECT,derived-product,Anomalies,,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,accdb/sql/Anomalies_Sigma_2_Regions_Ann.sql
Anomalies Sigma 3 Year,SELECT,derived-product,Anomalies,,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,accdb/sql/Anomalies_Sigma_3_Year.sql
Anomalies Sigma for Cruise Maps,SELECT,derived-product,Anomalies,,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,accdb/sql/Anomalies_Sigma_for_Cruise_Maps.sql
Cluster - Chl a: Station_Cruise for Cluster,CROSS_TAB,derived-product,Analysis,,TRUE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,accdb/sql/Cluster_-_Chl_a_Station_Cruise_for_Cluster.sql
Cluster Tests,CROSS_TAB,derived-product,Analysis,,TRUE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,accdb/sql/Cluster_Tests.sql
Data for HarmCoefSigma Calc,CROSS_TAB,derived-product,Analysis,,TRUE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,accdb/sql/Data_for_HarmCoefSigma_Calc.sql
Data for Line93 SigmaMap,SELECT,derived-product,Analysis,,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/Data_for_Line93_SigmaMap.sql
Data for Matlab ML Calc,SELECT,derived-product,Analysis,,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/Data_for_Matlab_ML_Calc.sql
Data for Matlab NC Calc,SELECT,derived-product,Analysis,,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/Data_for_Matlab_NC_Calc.sql
Data for OMZ Sigma Map Matlab,SELECT,derived-product,Analysis,,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/Data_for_OMZ_Sigma_Map_Matlab.sql
Data for Sigma Map Matlab,SELECT,derived-product,Analysis,,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/Data_for_Sigma_Map_Matlab.sql
Depth Data - 1 Stations,SELECT,derived-product,Analysis,,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/Depth_Data_-_1_Stations.sql
Depth Data - 2 Cruises,SELECT,derived-product,Analysis,,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,accdb/sql/Depth_Data_-_2_Cruises.sql
Depth Data - 3 Annual,SELECT,derived-product,Analysis,,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,accdb/sql/Depth_Data_-_3_Annual.sql
Isopycnal Properties - 1 Station,SELECT,derived-product,Isopycnal,,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/Isopycnal_Properties_-_1_Station.sql
Isopycnal Properties - 2 Cruises,SELECT,derived-product,Isopycnal,,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,accdb/sql/Isopycnal_Properties_-_2_Cruises.sql
Isopycnal Properties - 3 Annual,SELECT,derived-product,Isopycnal,,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,accdb/sql/Isopycnal_Properties_-_3_Annual.sql
ML Data 1 Stations,SELECT,derived-product,MLD,,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/ML_Data_1_Stations.sql
ML Data 1 Stations_Jen,SELECT,derived-product,MLD,,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,accdb/sql/ML_Data_1_Stations_Jen.sql
ML Data 2 Cruises,SELECT,derived-product,MLD,,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,accdb/sql/ML_Data_2_Cruises.sql
ML Data 3 Annual,SELECT,derived-product,MLD,,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,accdb/sql/ML_Data_3_Annual.sql
Zoop_Vols,SELECT,derived-product,Zooplankton,,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,accdb/sql/Zoop_Vols.sql
Zooplankton - 1 Station - I,SELECT,derived-product,Zooplankton,,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/Zooplankton_-_1_Station_-_I.sql
Zooplankton - 2 Station,SELECT,derived-product,Zooplankton,,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,accdb/sql/Zooplankton_-_2_Station.sql
Zooplankton - 3 Cruise,SELECT,derived-product,Zooplankton,,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,accdb/sql/Zooplankton_-_3_Cruise.sql
Zooplankton - 4 Annual,SELECT,derived-product,Zooplankton,,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,accdb/sql/Zooplankton_-_4_Annual.sql
ExportQuery_BottleAll,SELECT,export-or-info,Export,,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,accdb/sql/ExportQuery_BottleAll.sql
ExportQuery_Cast_All,SELECT,export-or-info,Export,,TRUE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,accdb/sql/ExportQuery_Cast_All.sql
ExportQuery_Zoop,SELECT,export-or-info,Export,,TRUE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,accdb/sql/ExportQuery_Zoop.sql
TI - Bottle,SELECT,export-or-info,TI -,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TI_-_Bottle.sql
TI - Cast,SELECT,export-or-info,TI -,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TI_-_Cast.sql
TI - Cruise,SELECT,export-or-info,TI -,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TI_-_Cruise.sql
TI - Single Cruise Station Loc,SELECT,export-or-info,TI -,,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,accdb/sql/TI_-_Single_Cruise_Station_Loc.sql
TI - Zooplankton,SELECT,export-or-info,TI -,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TI_-_Zooplankton.sql
Anomalies ISL 1 Station_Jen,MAKE_TABLE,materialization,Anomalies,,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,accdb/sql/Anomalies_ISL_1_Station_Jen.sql
DBOutput,MAKE_TABLE,materialization,(other),,TRUE,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,accdb/sql/DBOutput.sql
DIC_MkTbl_For_Web,MAKE_TABLE,materialization,(other),,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/DIC_MkTbl_For_Web.sql
MK_Tbl_DICs_SalCompare,MAKE_TABLE,materialization,MakeTable,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/MK_Tbl_DICs_SalCompare.sql
MLD_NutriclineDepth Make Table,MAKE_TABLE,materialization,MLD,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/MLD_NutriclineDepth_Make_Table.sql
MT-Bottle_113Sta,MAKE_TABLE,materialization,MakeTable,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/MT-Bottle_113Sta.sql
MT-Cast_113Sta,MAKE_TABLE,materialization,MakeTable,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/MT-Cast_113Sta.sql
Make Bottle_All,MAKE_TABLE,materialization,MakeTable,,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,accdb/sql/Make_Bottle_All.sql
Make Cast_All,MAKE_TABLE,materialization,MakeTable,,TRUE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,accdb/sql/Make_Cast_All.sql
Make_LTER_Bottle_All,MAKE_TABLE,materialization,(other),,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,accdb/sql/Make_LTER_Bottle_All.sql
Mati_Hydro_Query,MAKE_TABLE,materialization,(other),,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/Mati_Hydro_Query.sql
Mati_Meta_Query,MAKE_TABLE,materialization,(other),,TRUE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,accdb/sql/Mati_Meta_Query.sql
NH4,MAKE_TABLE,materialization,(other),,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/NH4.sql
St_Stations MT,MAKE_TABLE,materialization,(other),,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/St_Stations_MT.sql
TI - BottleData,MAKE_TABLE,materialization,TI -,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TI_-_BottleData.sql
TM - NMFS_Station_ID,MAKE_TABLE,materialization,TM -,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TM_-_NMFS_Station_ID.sql
10m Properties Cruises,CROSS_TAB,unclassified,(other),,TRUE,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,accdb/sql/10m_Properties_Cruises.sql
8246 to 818 469 Query,SELECT,unclassified,(other),,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/8246_to_818_469_Query.sql
DIC_Station_Query,SELECT,unclassified,(other),,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,accdb/sql/DIC_Station_Query.sql
Line Station Coverage,CROSS_TAB,unclassified,(other),,TRUE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,accdb/sql/Line_Station_Coverage.sql
Nearshore Station Coverage,CROSS_TAB,unclassified,(other),,TRUE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,accdb/sql/Nearshore_Station_Coverage.sql
Prodo_NameProb,SELECT,unclassified,(other),,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/Prodo_NameProb.sql
Query_MinMax,SELECT,unclassified,(other),,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/Query_MinMax.sql
RS Deep basin O2,SELECT,unclassified,(other),,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/RS_Deep_basin_O2.sql
SBB O2 below 560m,SELECT,unclassified,(other),,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/SBB_O2_below_560m.sql
SSB Deep Properties,SELECT,unclassified,(other),,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/SSB_Deep_Properties.sql
TQ_DeepValues: PropertyCluster,CROSS_TAB,unclassified,(other),,TRUE,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,accdb/sql/TQ_DeepValues_PropertyCluster.sql
Temp Line90 -MT,CROSS_TAB,unclassified,(other),,TRUE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,accdb/sql/Temp_Line90_-MT.sql
~sq_fCruises,SELECT,unclassified,(other),,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/sq_fCruises.sql
Find duplicates for 1504NH Volumesdb,SELECT,validate,FindDuplicates,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/Find_duplicates_for_1504NH_Volumesdb.sql
Find duplicates for 1604_btldb,SELECT,validate,FindDuplicates,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/Find_duplicates_for_1604_btldb.sql
Find duplicates for Bottle_All,SELECT,validate,FindDuplicates,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/Find_duplicates_for_Bottle_All.sql
Find duplicates for Cast,SELECT,validate,FindDuplicates,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/Find_duplicates_for_Cast.sql
QC - BottomDepthCheck_AllValues,SELECT,validate,QC,,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,accdb/sql/QC_-_BottomDepthCheck_AllValues.sql
QC - CharLengthBottle,SELECT,validate,QC,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/QC_-_CharLengthBottle.sql
QC-DIC_Btl_CntComp,SELECT,validate,QC,,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,accdb/sql/QC-DIC_Btl_CntComp.sql
QC-DIC_DepthComp,SELECT,validate,QC,,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,accdb/sql/QC-DIC_DepthComp.sql
QC-DIC_DepthIDComp,SELECT,validate,QC,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/QC-DIC_DepthIDComp.sql
QC-DIC_Depth_Sal,SELECT,validate,QC,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/QC-DIC_Depth_Sal.sql
QC_CharLengthCast,SELECT,validate,QC,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/QC_CharLengthCast.sql
QC_DIC_Oxy_um-Kg,SELECT,validate,QC,,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,accdb/sql/QC_DIC_Oxy_um-Kg.sql
QC_Weather,SELECT,validate,QC,,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,accdb/sql/QC_Weather.sql
TQ - Bottom Depth_AVg_STDEV,SELECT,validate,TQ -,these are querries that can be used for quality control of the database,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TQ_-_Bottom_Depth_AVg_STDEV.sql
TQ - BottomDepthPerStation,SELECT,validate,TQ -,these are querries that can be used for quality control of the database,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TQ_-_BottomDepthPerStation.sql
TQ - BottomDepth_Vs_AvgBottomDepth,SELECT,validate,TQ -,these are querries that can be used for quality control of the database,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TQ_-_BottomDepth_Vs_AvgBottomDepth.sql
TQ - DeepValues_Avg,SELECT,validate,TQ -,these are querries that can be used for quality control of the database,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TQ_-_DeepValues_Avg.sql
TQ - DeepValues_Avg-ADK,SELECT,validate,TQ -,these are querries that can be used for quality control of the database,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TQ_-_DeepValues_Avg-ADK.sql
TQ - DeepValues_Avg-jen,SELECT,validate,TQ -,these are querries that can be used for quality control of the database,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TQ_-_DeepValues_Avg-jen.sql
TQ - LatLongAvgCluster-jen,CROSS_TAB,validate,TQ -,these are querries that can be used for quality control of the database,TRUE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TQ_-_LatLongAvgCluster-jen.sql
TQ - Property Tests_AllDiscreet per depth,SELECT,validate,TQ -,these are querries that can be used for quality control of the database,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TQ_-_Property_Tests_AllDiscreet_per_depth.sql
TQ - StationNameChecker,SELECT,validate,TQ -,these are querries that can be used for quality control of the database,TRUE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,accdb/sql/TQ_-_StationNameChecker.sql
TR - Bottle & Cast: Cst_Cnt,SELECT,validate,TR -,test that all records in Bottle have matches in Cast,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TR_-_Bottle_Cast_Cst_Cnt.sql
TR - Cast & Bottle: Cst_Cnt,SELECT,validate,TR -,test that all records in Cast have matches in Bottle,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TR_-_Cast_Bottle_Cst_Cnt.sql
TR - Cast & Bottle: St_ID,SELECT,validate,TR -,test that tables Cast and Bottle use the same St_IDs,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TR_-_Cast_Bottle_St_ID.sql
TR - Cast & Cruise: Cruise,SELECT,validate,TR -,test that all cruises defined in Cast are listed in Cruises,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TR_-_Cast_Cruise_Cruise.sql
"TR - Cast & Station_ID: St_ID, DBSta_ID",SELECT,validate,TR -,test that the table Station_ID has all St_ID and DBSta_ID listed in table Cast,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TR_-_Cast_Station_ID_St_ID_DBSta_ID.sql
TR - Cast & Zooplankton: Possible Matches,SELECT,validate,TR -,these are the querries that test for proper linkage between tables,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,accdb/sql/TR_-_Cast_Zooplankton_Possible_Matches.sql
TR - Cast & Zooplankton: Station,SELECT,validate,TR -,these are the querries that test for proper linkage between tables,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TR_-_Cast_Zooplankton_Station.sql
TR - Chl & Bottle: Btl_Cnt,SELECT,validate,TR -,test that all records in Chl have matches in Bottle,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TR_-_Chl_Bottle_Btl_Cnt.sql
TR - Cruise & Cast: Cruise,SELECT,validate,TR -,test that all records in Cruise have matches in Cast,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TR_-_Cruise_Cast_Cruise.sql
TR - Cruise & Zooplankton: Cruise,SELECT,validate,TR -,test that all records in Cruise have matches in Zooplankton,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TR_-_Cruise_Zooplankton_Cruise.sql
TR - Cruises from Cast,SELECT,validate,TR -,these are the querries that test for proper linkage between tables,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TR_-_Cruises_from_Cast.sql
TR - Keeling_DIC & Cast: Cruise-St_ID,SELECT,validate,TR -,these are the querries that test for proper linkage between tables,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TR_-_Keeling_DIC_Cast_Cruise-St_ID.sql
TR - Nuts & Bottle: Btl_Cnt,SELECT,validate,TR -,test that all records in Nuts have matches in Bottle,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TR_-_Nuts_Bottle_Btl_Cnt.sql
TR - Prodo Bottle & Prodo_Cast: Cst_Cnt,SELECT,validate,TR -,Prodo_Bottle without matching Cst_Cnt in Prodo_Cast,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TR_-_Prodo_Bottle_Prodo_Cast_Cst_Cnt.sql
TR - Prodo_Cast & Cast: Cst_Cnt,SELECT,validate,TR -,these are the querries that test for proper linkage between tables,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TR_-_Prodo_Cast_Cast_Cst_Cnt.sql
TR - Prodo_Cast & Prodo_Bottle: Cst_Cnt,SELECT,validate,TR -,test that all records in Prodo_Cast have matches in Prodo_Bottle,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TR_-_Prodo_Cast_Prodo_Bottle_Cst_Cnt.sql
TR - Station_ID & Cast: DbSta_ID,SELECT,validate,TR -,these are the querries that test for proper linkage between tables,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/TR_-_Station_ID_Cast_DbSta_ID.sql
