table_name,field_name,units,values,description,source
Cast,Lon_Dec,n.a.,,Observed Longitude in decimal,0-Field Descriptions
Cast,Lon_Deg,degrees,,Observed Longitude in degrees,0-Field Descriptions
Cast,Lon_Hem,n.a.,,Observed Longitude Hemisphere,0-Field Descriptions
Cast,Lon_Min,minutes,,Observed Longitude in minutes,0-Field Descriptions
Cast,Month,n.a.,,,0-Field Descriptions
Cast,Order_Occ,n.a.,,Order of stations occupied per cruise,0-Field Descriptions
Cast,Orig_Sta_ID,n.a.,,IEH Reported Station ID,0-Field Descriptions
Cast,Quarter,n.a.,Winter (1) Spring (2) Summer (3) Fall (4),Quarter of the year,0-Field Descriptions
Cast,Rpt_Line,n.a.,4 digit line number,Reported Line Number,0-Field Descriptions
Cast,Rpt_Sta,n.a.,4 digit station number,Reported Station Number,0-Field Descriptions
Cast,Secchi,,,,0-Field Descriptions
Cast,Ship_Code,n.a.,,Ship's NODC Code,0-Field Descriptions
Cast,Ship_Name,n.a.,,Ship's Name,0-Field Descriptions
Cast,St_Line,n.a.,,Nearest Standard Line,0-Field Descriptions
Cast,St_Station,n.a.,,Nearest Standard Station Number,0-Field Descriptions
Cast,Sta_Code,n.a.,See Station_ID St_Code for codes,Station Designation,0-Field Descriptions
Cast,Sta_ID,n.a.,4 digit Line and 4 digit Station,Line and Station,0-Field Descriptions
Cast,Time,n.a.,UTC,Time at terminal depth,0-Field Descriptions
Cast,Year,n.a.,,,0-Field Descriptions
Chl,Btl_Cnt,n.a.,,bottle count - all bottles ever sampled are consecutively numbered,0-Field Descriptions
Chl,ChlorA,ug L-1,,chlorophyll a measured fluorometrically,0-Field Descriptions
Chl,Chlqua,n.a.,"6= data OK but taken from CTD, 8= value is suspect, 9= missing data",quality code,0-Field Descriptions
Chl,Phaeop,ug L-1,,phaeopigment concentration measured fluormetrically,0-Field Descriptions
Chl,Phaqua,n.a.,"6= data OK but taken from CTD, 8= value is suspect, 9= missing data",quality code,0-Field Descriptions
Cruises,BegDate1,n.a.,,Begin Date on cruises where multiple ships are used,0-Categories
Cruises,BegDate2,n.a.,,Begin Date on cruises where multiple ships are used,0-Categories
Cruises,BegDate3,n.a.,,Begin Date on cruises where multiple ships are used,0-Categories
Cruises,BegDate4,n.a.,,Begin Date on cruises where multiple ships are used,0-Categories
Cruises,BegDate5,n.a.,,Begin Date on cruises where multiple ships are used,0-Categories
Cruises,BegDate6,n.a.,,Begin Date on cruises where multiple ships are used,0-Categories
Cruises,Code-L90,n.a.,L,Flags Stations occupied along Line 90,0-Categories
Cruises,Code-SC,n.a.,SC,Flags the current 9 quarterly-sampled SCCOOS stations,0-Categories
Cruises,Code-ST,n.a.,ST,Flags the current 66 quarterly-sampled stations,0-Categories
Cruises,Cruise,n.a.,4 digit Year and 2 digit month of the cruise,Year and Month of cruise,0-Categories
Cruises,EndDate1,n.a.,,End Date on cruises where multiple ships are used,0-Categories
Cruises,EndDate2,n.a.,,End Date on cruises where multiple ships are used,0-Categories
Cruises,EndDate3,n.a.,,End Date on cruises where multiple ships are used,0-Categories
Cruises,EndDate4,n.a.,,End Date on cruises where multiple ships are used,0-Categories
Cruises,EndDate5,n.a.,,End Date on cruises where multiple ships are used,0-Categories
Cruises,EndDate6,n.a.,,End Date on cruises where multiple ships are used,0-Categories
Cruises,ID,n.a.,,Access primary key,0-Categories
Cruises,Ship 1,n.a.,,Ship's name on cruises where multiple ships are used,0-Categories
Cruises,Ship 5,n.a.,,Ship's name on cruises where multiple ships are used,0-Categories
Cruises,Ship2,n.a.,,Ship's name on cruises where multiple ships are used,0-Categories
Cruises,Ship3,n.a.,,Ship's name on cruises where multiple ships are used,0-Categories
Cruises,Ship4,n.a.,,Ship's name on cruises where multiple ships are used,0-Categories
Cruises,Ship6,n.a.,,Ship's name on cruises where multiple ships are used,0-Categories
Cruises,StasOcc1,n.a.,,Stations Occupied on cruises where multiple ships are used,0-Categories
Cruises,StasOcc2,n.a.,,Stations Occupied on cruises where multiple ships are used,0-Categories
Cruises,StasOcc3,n.a.,,Stations Occupied on cruises where multiple ships are used,0-Categories
Cruises,StasOcc4,n.a.,,Stations Occupied on cruises where multiple ships are used,0-Categories
Cruises,StasOcc5,n.a.,,Stations Occupied on cruises where multiple ships are used,0-Categories
Cruises,StasOcc6,n.a.,,Stations Occupied on cruises where multiple ships are used,0-Categories
NO2,Btl_Cnt,n.a.,,bottle count - all bottles ever sampled are consecutively numbered,0-Categories
NO2,NO2q,n.a.,"6= data OK but taken from CTD, 8= value is suspect, 9= missing data",quality code,0-Categories
NO2,NO2ug,micro Moles per Liter,,Nitrite concentration,0-Categories
NO3,Btl_Cnt,n.a.,,bottle count - all bottles ever sampled are consecutively numbered,0-Categories
NO3,NO2q,n.a.,"6= data OK but taken from CTD, 8= value is suspect, 9= missing data",,0-Categories
NO3,NO2ug,micro Moles per Liter,,Nitrate concentration,0-Categories
Nuts,Btl_Cnt,n.a.,,bottle count - all bottles ever sampled are consecutively numbered,0-Categories
Nuts,NH3q,n.a.,"6= data OK but taken from CTD, 8= value is suspect, 9= missing data",quality code,0-Categories
Nuts,NH3ug,micro Moles per Liter,,Ammonium concentration,0-Categories
Nuts,NO2q,n.a.,"6= data OK but taken from CTD, 8= value is suspect, 9= missing data",quality code,0-Categories
Nuts,NO2ug,micro Moles per Liter,,Nitrite concentration,0-Categories
Nuts,NO3q,n.a.,"6= data OK but taken from CTD, 8= value is suspect, 9= missing data",quality code,0-Categories
Nuts,NO3ug,micro Moles per Liter,,Nitrate concentration,0-Categories
Nuts,P04q,n.a.,"6= data OK but taken from CTD, 8= value is suspect, 9= missing data",quality code,0-Categories
Nuts,PO4ug,micro Moles per Liter,,Phosphate concentration,0-Categories
Nuts,Si03q,n.a.,"6= data OK but taken from CTD, 8= value is suspect, 9= missing data",quality code,0-Categories
Nuts,SiO3ug,micro Moles per Liter,,Silicate concentration,0-Categories
PO4,Btl_Cnt,n.a.,,bottle count - all bottles ever sampled are consecutively numbered,0-Categories
PO4,PO4q,n.a.,"6= data OK but taken from CTD, 8= value is suspect, 9= missing data",quality code,0-Categories
PO4,PO4ug,micro Moles per Liter,,Phosphate concentration,0-Categories
Prodo BottleProdo_Bottle,Darkaq,n.a.,"6= data OK but taken from CTD, 8= value is suspect, 9= missing data",quality code,0-Categories
Prodo_Bottle,Btl_Cnt,n.a.,,Bottle Count - all bottles ever sampled are consecutively numbered,0-Categories
Prodo_Bottle,C14A1p,n.a.,1 or 2 decimal places,14C Assimilation Replicate 1 precision,0-Categories
Prodo_Bottle,C14A1q,n.a.,"6= data OK but taken from CTD, 8= value is suspect, 9= missing data",quality code,0-Categories
Prodo_Bottle,C14A2p,n.a.,1 or 2 decimal places,14C Assimilation Replicate 2 precision,0-Categories
Prodo_Bottle,C14A2q,n.a.,"6= data OK but taken from CTD, 8= value is suspect, 9= missing data",quality code,0-Categories
Prodo_Bottle,C14As1,milligrams C per cubic meter per half light day,,14C Assimilation of replicate 1,0-Categories
Prodo_Bottle,C14As2,milligrams C per cubic meter per half light day,,14C Assimilation Replicate 2,0-Categories
Prodo_Bottle,Cst_Cnt,n.a.,,Cast Count - all casts consecutively numbered,0-Categories
Prodo_Bottle,DarkAp,n.a.,1 or 2 decimal places,14C Assimilation Dark Bottle precision,0-Categories
Prodo_Bottle,DarkAs,milligrams C per cubic meter per half light day,,14C Assimilation Dark Bottle,0-Categories
Prodo_Bottle,IncTim,n.a.,,Incubation Time,0-Categories
Prodo_Bottle,LightP,percent,,Light intensities expressed as a percentage,0-Categories
Prodo_Bottle,MeanAp,n.a.,1 or 2 decimal places,Mean 14C Assimilation of Bottle 1 and 2 precision,0-Categories
Prodo_Bottle,MeanAq,n.a.,"6= data OK but taken from CTD, 8= value is suspect, 9= missing data",quality code,0-Categories
Prodo_Bottle,MeanAs,milligrams C per cubic meter per half light day,,Mean 14C Assimilation of Bottle 1 and 2,0-Categories
Prodo_Cast,Civil_T,time,,Time of Civil Twilight PST,0-Categories
Prodo_Cast,Cst_Cnt,n.a.,,Cast Count - all casts consecutively numbered,0-Categories
Prodo_Cast,Inc_End,time,,Incubation End Time PST,0-Categories
Prodo_Cast,Inc_Str,time,,Incubation Start Time PST,0-Categories
Prodo_Cast,IntC14,milligrams C per square meter per half light day,,Integrated Primary Productivity,0-Categories
Prodo_Cast,PST_LAN,time,,Time of Local Apparent Noon PST,0-Categories
Prodo_Cast,TimeZone,n.a.,GMT +8,Time Zone,0-Categories
Rpt_Data,Btl_Cnt,n.a.,,Bottle Count - all bottles ever sampled are consecutively numbered,0-Categories
Rpt_Data,R_CHLA,micrograms per liter,,Reported Chlorophyll-a,0-Categories
Rpt_Data,R_DYNHT,Dynamic Meters,,Reported Dynamic Height,0-Categories
Rpt_Data,R_Depth,Meters,,Reported Depth in Meters,0-Categories
Rpt_Data,R_NO2,micro Moles per Liter,,Reported Nitrite,0-Categories
Rpt_Data,R_NO3,micro Moles per Liter,,Reported Nitrate,0-Categories
Rpt_Data,R_O2,Milliliter O2 per Liter seawater,,Reported Oxygen ml/L,0-Categories
Rpt_Data,R_O2Sat,Percent,,Reported Percent Oxygen Saturation,0-Categories
Rpt_Data,R_PHAEO,micrograms per liter,,Reported Phaeophytin,0-Categories
Rpt_Data,R_PO4,micro Moles per Liter,,Reported Phosphate,0-Categories
Rpt_Data,R_POTEMP,Deg C,,Reported Potential Temperature,0-Categories
Rpt_Data,R_PRES,decibars,,Pressure in decibars,0-Categories
Rpt_Data,R_SALINITY,"Practical Salinity Scale, 1978 (UNESCO, 1981a)",,Reported Salinity,0-Categories
Rpt_Data,R_SAMP,n.a.,,Sample number,0-Categories
Rpt_Data,R_SIGMA,n.a.,,Reported Potential Density of water,0-Categories
Rpt_Data,R_SIO3,micro Moles per Liter,,Reported Silicate,0-Categories
Rpt_Data,R_SVA,n.a.,,Reported Specific Volume Anomaly,0-Categories
SIO3,Btl_Cnt,n.a.,,bottle count - all bottles ever sampled are consecutively numbered,0-Categories
SIO3,SIO3qu,n.a.,"6= data OK but taken from CTD, 8= value is suspect, 9= missing data",quality code,0-Categories
SIO3,SIO3ug,micro Moles per Liter,,Nitrite concentration,0-Categories
SST_Remote,Date,Date,,Date Data was acquired,0-Categories
SST_Remote,MODIS_SST,Degrees C,,Sea Surface Temperature from MODIS (The Moderate Resolution Imaging Spectroradiometer),0-Categories
Ships,Country Code,n.a.,,Part of the Ships NODC Code (Identifier),0-Categories
Ships,ID,n.a.,,Autonumbered Count,0-Categories
Ships,Operator,n.a.,,Part of the Ships NODC Code (Identifier),0-Categories
Ships,Ship_Code,n.a.,,Ship's NODC Code,0-Categories
Ships,Ship_Name,n.a.,,Ship's Name,0-Categories
StaAct_NMFS,Cruise,n.a.,"4 digit year, 2 digit month followed by Ship ID",Cruise Name,0-Categories
StaAct_NMFS,Cruz_Sta,n.a.,century year month line and station ccyymmllllssss,Cruise name and station,0-Categories
StaAct_NMFS,ID,n.a.,,Autonumbered Count,0-Categories
StaAct_NMFS,Ship_Code,n.a.,,Ship's NODC Code,0-Categories
StaAct_NMFS,StaDB_ID,,,,0-Categories
StaAct_NMFS,Sta_ID,n.a.,,Line and Station to the nearest tenths,0-Categories
Sta_Code,Description,n.a.,,Description of the station designation,0-Categories
Sta_Code,ID,n.a.,,Autonumbered Count,0-Categories
Sta_Code,Sta_Code,n.a.,,Station Designation,0-Categories
Station_ID,St_Code,n.a.,ST - Standard CalCOFI Station,station designation,0-Categories
