date,note,initials
2013-06-04,Fixed 1202 import errors in Rpt_Data Table and BtlNum&RecInd in Bottle Table for 1202,JLW
2013-06-05,Fixed DIC importation errors,JLW
2013-06-26,"Inserted LTER Bottles that were left out of 20-0501, 20-0504, 20-0507, 20-0511.  Fixed btl#19 on 20-0707 76.7 55.0",JLW
2013-06-26,Imported 20-1301 Zooplankton to the Zooplankton Table,JLW
2013-08-06,Added 201207 DIC data to DIC table,JLW
2013-08-22,Imported preliminary data from 2013-07NH,JLW
2013-08-26,Imported 2012-10 DIC data,JLW
2013-09-03,Fixed Prodo 0-IntC14 issues,JLW
2013-10-04,Fixed prodo station 90.45 on 20-1008NH,JLW
2013-10-08,Imported Final data from 20-1210,JLW
2013-10-08,Added Oxy_µmol/Kg field to Bottle Table,JLW
2013-10-09,Added 2013-01 and 2013-04 DIC data to the DICs table,JLW
2013-10-14,Added Niskin and Bottle ID2 columns to DICs table,JLW
2013-10-18,Added Comments and Proposed Changes columns to DICs table,JLW
2013-11-01,"Fixed errors in DICs Table, added Quality Comment column",JLW
2013-12-05,Added 2013-07 DIC data to the DICs table,JLW
2014-01-02,Imported preliminary data from 2013-11NH,JLW
2014-01-14,Imported Final data from 20-1301,JLW
2014-03-20,Imported preliminary data from 2014-02,JLW
2014-03-21,"Fixed 2013-01 naming errors in cast table, there was an import error on line 67.7, bottle table not affected",JLW
2014-05-12,Re-imported 20-1402 Prodo Bottle Data.  Errorneous data points found on non-prodo stations,JLW
2014-05-13,Imported preliminary data from 2014-04,JLW
2014-05-30,Imported 20-1304 and 20-1307 Zooplankton to the Zooplankton Table,JLW
2014-06-03,Imported DIC's from 20-1311 to DIC Table,JLW
2014-06-09,Changed all positive longitudes to negative in Table Station_ID and Table Cast,JLW
2014-06-12,Made additional notes to 0-Cast & Zooplankton_Notes Table based on Q's from June 2014 R. Goerike Comments email,JLW
2014-06-12,201301 sta 90.80 nuts removed on 515m bottle; mistrip found.  500m ISL nuts also removed.  Salt & Oxy are CTD1,JLW
2014-08-14,Imported preliminary data from 2014-07,JLW
2014-08-25,Imported DIC Data from 2014-02 into the DICs Table,JLW
2014-08-26,Fixed errors in weather.  Zero's in dry and wet bulb temps fixed.,JLW
2014-09-10,"Re-Imported 2013-01, imported final data from 2013-04 and 2013-07",JLW
2014-10-01,Added CruiseAlias column to zooplankton to solve 8405 and 8406 issue. They are now merged as 198405 in CruiseAlias column,JLW
2014-10-16,Imported final data from 2013-11 and 2014-02,JLW
2014-10-24,Imported DIC data from 20-1404 into the DICs table - pH samples are measured separately starting on 20-1404,JLW
2014-11-10,Added CruiseAlias column to Cast Table to solve 8405 and 8406 issue. They are now merged as 198405 in CruiseAlias column,JLW
2014-12-16,Imported preliminary data from 2014-11,JLW
2015-03-17,Imported preliminary data from 2015-01,JLW
2015-03-20,Imported DIC data from 2014-07,JLW
2015-05-13,"Table Bottle/Column Btl_Cnt corrected from 1501-1504.  Values went from 848047 to 848748, is now fixed to be consecutive and match total records in table",JLW
2015-05-13,Imported preliminary data from 2015-04,JLW
2015-05-13,Imported Zooplankton through 2014-04,JLW
2015-06-08,Imported final data from 2014-04 and 2014-07,JLW
2015-06-09,Fixed 90.45 Prodo in 20-1008.  Had values from station 93.3 26.7 of that cruise,JLW
2015-07-17,Added pH data for 201407 to DICs table,JLW
2015-07-22,"Fixed Data Type to number designation for DIC, TA, and pH in DICs Table",JLW
2015-08-21,Imported preliminary data from 2015-07,JLW
2015-09-09,Imported final data from 2014-11,JLW
2015-09-29,Imported final data from 2015-01,JLW
2015-10-20,Imported DIC data from 2014-11 and 2015-01 into the DICs Table,JLW
2015-12-07,Fixed Cruise_ID incremental issue from 2012-11 through present in Cast Table,JLW
2015-12-18,Imported preliminary data from 2015-11,JLW
2016-02-19,Imported preliminary data from 2016-01,JLW
2016-03-02,Imported DIC data from 2015-04 into the DICs Table,JLW
2016-05-09,Imported preliminary data from 2016-04,JLW
2016-06-01,Imported final data from 201407 Zooplankton in the Zooplankton table,JLW
2016-08-19,Imported preliminary data from 2016-07,JLW
2016-08-19,Imported final data from 2015-04 and 201604 Zooplankton in the Zooplankton table,JLW
2016-09-02,Imported final data from 2015-07,JLW
2016-09-07,Imported DIC data from 2015-07 into the DICs Table,JLW
2016-09-22,Imported DIC data from 2008-08 into the DICs Table,JLW
2016-10-24,Imported final data from 2015-11,JLW
2016-10-25,Imported final data from 2014-11 Zooplankton in the Zooplankton table,JLW
2016-12-14,Imported preliminary data from 2016-11,JLW
2017-02-13,Imported preliminary data from 2017-01,JLW
2017-02-28,Incubation times (IncTim column) for primary productivity data were calculated in Prodo_Bottle Table,JLW
2017-03-01,"Dates from 201107-201207, in the date column, were corrected to match UTC time in the Cast Table",JLW
2017-03-02, Imported final data from CalCOFI Cruise 2016-01,JLW
2017-03-02,"Imported Zooplankton final data from 2015-01, 2015-07 and 201511 in the Zooplankton table",JLW
2017-03-07,Imported Zooplankton final data from 2016-01 in the Zooplankton table,JLW
2017-05-19,Imported preliminary data from 2017-04,JLW
2017-06-08,Imported final data from 2016-04,JLW
2017-06-08,Imported Zooplankton data from 2016-07 to the Zooplankton table,JLW
2017-06-12,"Fixed 201704-sta 93.3 40.0 lat,long, distance, etc in Cast table (at-depth lat/long wrong in Event Log & caused the error)",JLW
2017-06-23,Temperature inversion seen in CTD data but not in reported data on cruise 20-1101 cast 106 (63.3 80.0) at 320 and 378m. Switched temp values for those depths in data.,JLW
2017-07-18,Imported final data from 2016-07 & 2016-11,JLW
2017-08-30,Imported preliminary data from 2017-08,JLW
2017-09-06,Imported Zooplankton data from 2017-04 to the Zooplankton table,JLW
2017-09-19,Imported final data from 2017-01,JLW
2017-09-28,Cruise 8402 in Prodo_Cast had +08 in time zone where no prodo data existed. Removed all erroneous entries,JLW
2017-09-28,Cruise 201108 had no LAN or Civil Twilight - fixed,JLW
2017-11-01,"A few cruises had no ship name, ship code only - fixed",JLW
2017-12-12,Imported preliminary data from 2017-11,JLW
2018-02-27,Imported preliminary data from 2018-02,JLW
2018-03-22,Imported final data from 2017-04 & 2017-08,JLW
2018-05-15,Cast #34587 had PST not UTC. Corrected,JLW
2018-05-15,Imported preliminary data from 2018-04,JLW
2018-07-10,Imported preliminary data from 2018-04,JLW
2018-07-24,Fixed lat/long for sta 82 for Prelim_2018-04 data,JLW
2018-08-10,Imported final data from 2017-11,JLW
2018-09-11,Imported Zooplankton data from 2017-01 and 201804 to the Zooplankton table,JLW
2018-11-13,Imported preliminary data from 2018-10,ADK
2018-12-04,Imported final data from 2018-02,ADK
2018-12-14,"Fixed Query """"UQ_AppendTo_DIC""""",JLW
2018-12-14,Imported Zooplankton data from 201802 to the Zooplankton table,ADK
2018-12-17,Fixed 1511 Cast 43 surface bottle. Was not labeled as bottle #23.,JLW
2019-02-26,Imported preliminary data from 2019-02,ADK
2019-03-07,Imported final data from 2018-04,ADK
2019-05-01,Imported preliminary data from 2019-04,ADK
2019-06-07,Imported final data from 2018-06,ADK
2019-08-13,Imported preliminary data from 2019-07,ADK
2019-08-13,Fixed bottom depths in Cast table for 1904 83.3 60.0 (3576m to 1440m) and 1907 90.0 35.0 (3120m to 312m),ADK
2019-08-15,"Changed """"Make Bottle_All"""" (make table query) to remove redundant columns (now only has 6 columns from """"Rpt_Data"""" table)",ADK
2019-09-10,Imported final data from 2018-10 and 2019-02,ADK
2019-11-13,Re-imported preliminary data from 2019-07 (to fix incorrect chl values),ADK
2019-12-12,Updated the Primary Productivity units in '0-Categories' table to clarify that measurements were per half light day,ADK
2020-02-14,Imported preliminary data from 2019-11,ADK
2020-03-04,Imported preliminary data from 2020-01,ADK
2020-04-29,Imported final data from 2019-04 and 2019-07,ADK
2020-04-30,Fixed issue in [Cast].[Cast_ID] ; colon in time notation from Cst_Cnt 33088-35376 that was not consistent with preceding records,ADK
2020-07-02,Imported final data from 2019-11,ADK
2020-09-02,Imported preliminary data from 2020-07,ADK
2020-10-08,Re-imported preliminary data from 2020-07 to fix incorrect nutrient values,ADK
2020-12-01,Imported preliminary data from 2020-10,ADK
2021-02-26,"Fixed issue in [Bottle].[Depth_ID] ; 1911OC 93.3 110.0 had error in Depth_ID so that """"line"""" was used instead of """"cruise""""",ADK
2021-02-26,Imported preliminary data from 2021-01,ADK
2021-04-22,Imported preliminary nutrient data from 2021-01,ADK
2021-06-02,Removed two chl values (Btl_Cnt 889941 and 891045 had -99 for ChlorA and Phaeop) - can remove this note after updating with final data,ADK
2021-06-21,Imported preliminary data from 2021-05,ADK
2021-08-24,Imported preliminary data from 2021-07,ADK
2021-09-17,Imported final data from 2020-01,ADK
2022-01-28,Imported preliminary data from 2021-11,ADK
2022-07-05,Imported preliminary data from 2022-04,RCL
2022-10-25,Reimported preliminary data from 2022-04 since their was missing stations,RCL
2022-10-25,Imported preliminary data from 2022-08,RCL
2023-02-16,Imported preliminary data from 2022-11,RCL
2023-06-26,Imported final data from 2020-10 into Bottle and Cast Tables,RCL
2023-06-26,Imported final data from 2020-07 into Bottle and Cast Tables,RCL
2023-09-01,"Updated time/date issue for 2107SR, clock switched between UCT, PST, PDT",RCL
2023-09-01,Imported preliminary data from 2023-01,RCL
2023-09-01,Imported preliminary data from 2023-04,RCL
2023-09-01,Added new Enhanced Stations to ST_Stations,RCL
2023-09-08,"Reimported 2007, glitch in Decoder: Cst_num 35433, 35431 only Terp data no bottle, reimported data and fixed bottle data",
2023-09-08,"Fixed bottle numbering issues: 2107, 2211, 2204, and 2301 starting at bottle 904917 - 906424",
2023-09-08,"Reimported 2007, glitch in Decoder: Cst_num 35435, 35436 missing nuts data, reimport fixed",
2023-09-08,"2007, glitch between Decoder and Gtool: Cst_num 35439, 35441, 35442, 35430, 35421, 35409, 35413, 35392, 35381 code 9 but with data, went through and cleared data where there were mistrips and populated data that was correct",
2023-10-04,Imported final data from 2021-01 into Bottle and Cast Tables,
2023-10-16,Imported final data from 2021-05 into Bottle and Cast Tables,
