table_name,field_name,match_type,canonical_target,units,description
Prodo_Bottle,C14A2q,unmatched,,n.a.,quality code
Prodo_Bottle,Cst_Cnt,unmatched,,n.a.,Cast Count - all casts consecutively numbered
Prodo_Bottle,DarkAp,unmatched,,n.a.,14C Assimilation Dark Bottle precision
Prodo_Bottle,IncTim,unmatched,,n.a.,Incubation Time
Prodo_Bottle,MeanAp,unmatched,,n.a.,Mean 14C Assimilation of Bottle 1 and 2 precision
Prodo_Bottle,MeanAq,unmatched,,n.a.,quality code
Prodo_Cast,Civil_T,unmatched,,time,Time of Civil Twilight PST
Prodo_Cast,Cst_Cnt,unmatched,,n.a.,Cast Count - all casts consecutively numbered
Prodo_Cast,Inc_End,unmatched,,time,Incubation End Time PST
Prodo_Cast,Inc_Str,unmatched,,time,Incubation Start Time PST
Prodo_Cast,IntC14,unmatched,,milligrams C per square meter per half light day,Integrated Primary Productivity
Prodo_Cast,PST_LAN,unmatched,,time,Time of Local Apparent Noon PST
Prodo_Cast,TimeZone,unmatched,,n.a.,Time Zone
Rpt_Data,Btl_Cnt,unmatched,,n.a.,Bottle Count - all bottles ever sampled are consecutively numbered
Rpt_Data,R_CHLA,unmatched,,micrograms per liter,Reported Chlorophyll-a
Rpt_Data,R_NO2,unmatched,,micro Moles per Liter,Reported Nitrite
Rpt_Data,R_NO3,unmatched,,micro Moles per Liter,Reported Nitrate
Rpt_Data,R_O2,unmatched,,Milliliter O2 per Liter seawater,Reported Oxygen ml/L
Rpt_Data,R_O2Sat,unmatched,,Percent,Reported Percent Oxygen Saturation
Rpt_Data,R_PHAEO,unmatched,,micrograms per liter,Reported Phaeophytin
Rpt_Data,R_PO4,unmatched,,micro Moles per Liter,Reported Phosphate
Rpt_Data,R_POTEMP,unmatched,,Deg C,Reported Potential Temperature
Rpt_Data,R_PRES,unmatched,,decibars,Pressure in decibars
Rpt_Data,R_SALINITY,unmatched,,"Practical Salinity Scale, 1978 (UNESCO, 1981a)",Reported Salinity
Rpt_Data,R_SAMP,unmatched,,n.a.,Sample number
Rpt_Data,R_SIGMA,unmatched,,n.a.,Reported Potential Density of water
Rpt_Data,R_SIO3,unmatched,,micro Moles per Liter,Reported Silicate
Rpt_Data,R_SVA,unmatched,,n.a.,Reported Specific Volume Anomaly
SIO3,Btl_Cnt,unmatched,,n.a.,bottle count - all bottles ever sampled are consecutively numbered
SIO3,SIO3qu,unmatched,,n.a.,quality code
SIO3,SIO3ug,unmatched,,micro Moles per Liter,Nitrite concentration
SST_Remote,Date,unmatched,,Date,Date Data was acquired
SST_Remote,MODIS_SST,unmatched,,Degrees C,Sea Surface Temperature from MODIS (The Moderate Resolution Imaging Spectroradiometer)
Ships,Country Code,unmatched,,n.a.,Part of the Ships NODC Code (Identifier)
Ships,Operator,unmatched,,n.a.,Part of the Ships NODC Code (Identifier)
StaAct_NMFS,Cruz_Sta,unmatched,,n.a.,Cruise name and station
StaAct_NMFS,StaDB_ID,unmatched,,,
Sta_Code,Description,unmatched,,n.a.,Description of the station designation
Sta_Code,Sta_Code,unmatched,,n.a.,Station Designation
Station_ID,St_Code,unmatched,,n.a.,station designation
