archive,path,study,data_stage,cast_dir,n_bytes,sha256,n_rows,n_issues,cruise_key
20-0004JD_CTDFinalQC.zip,20-0004JD_CTDFinalQC/db-csvs/20-0004JD_CTDBTL_001-066ID.csv,0004JD,final,D,12463166,fd133074885eeed8e0a6d1f0fcb2de22057582396a780d41884fdc616625f2d8,29456,0,2000-04-31JD
20-0004JD_CTDFinalQC.zip,20-0004JD_CTDFinalQC/db-csvs/20-0004JD_CTDBTL_001-066IU.csv,0004JD,final,U,12471827,3d5e064c69d39042dbdfa1898a6a849347357d7be6ec86094f091cb02f8bf8dc,29485,0,2000-04-31JD
20-0007NH_CTDFinalDB.zip,20-0007NH_CTDFinalDB/20-0007NH_CTDBTL_001-066ID.csv,0007NH,final,D,12700595,4a2e8e69b425302a845b87fd6807681a9696e5117aadfb6e6f102317afedd899,29632,0,2000-07-32NM
20-0007NH_CTDFinalDB.zip,20-0007NH_CTDFinalDB/20-0007NH_CTDBTL_001-066IU.csv,0007NH,final,U,12706176,973ad02a76fbf09f81a5ccebccb655365ea0b7342f239bfe9480fa37922d4327,29659,0,2000-07-32NM
20-0007NH_CTDFinalQC.zip,20-0007NH_CTDFinalQC/db-csvs/20-0007NH_CTDBTL_001-066ID.csv,0007NH,final,D,12700595,4a2e8e69b425302a845b87fd6807681a9696e5117aadfb6e6f102317afedd899,29632,0,2000-07-32NM
20-0007NH_CTDFinalQC.zip,20-0007NH_CTDFinalQC/db-csvs/20-0007NH_CTDBTL_001-066IU.csv,0007NH,final,U,12706176,973ad02a76fbf09f81a5ccebccb655365ea0b7342f239bfe9480fa37922d4327,29659,0,2000-07-32NM
20-0010NH_CTDFinalDB.zip,20-0010NH_CTDFinalDB/20-0010NH_CTDBTL_002-074D.csv,0010NH,final,D,11529979,5d344dba95dd8f2760df363c42b775a1097499c230784e493ff5c4dcbd30d621,27171,0,2000-10-32NM
20-0010NH_CTDFinalDB.zip,20-0010NH_CTDFinalDB/20-0010NH_CTDBTL_002-074U.csv,0010NH,final,U,11536614,8da896535bef1e5c75c61f3ff8988832fdb9752714d3efc3fa9084d9ba037879,27199,0,2000-10-32NM
20-0010NH_CTDFinalQC.zip,20-0010NH_CTDFinalQC/db-csvs/20-0010NH_CTDBTL_002-074D.csv,0010NH,final,D,11529979,5d344dba95dd8f2760df363c42b775a1097499c230784e493ff5c4dcbd30d621,27171,0,2000-10-32NM
20-0010NH_CTDFinalQC.zip,20-0010NH_CTDFinalQC/db-csvs/20-0010NH_CTDBTL_002-074U.csv,0010NH,final,U,11536614,8da896535bef1e5c75c61f3ff8988832fdb9752714d3efc3fa9084d9ba037879,27199,0,2000-10-32NM
20-0010NH_CTDFinalQC.zip,20-0010NH_CTDFinalQC/db-csvs/orig/20-0010NH_CTDBTL_001-074ID.csv,0010NH,final,D,11545047,e34cc5f76c9322f8ebcae01abd29642f739f3347a079a6d5c4f7e71a75c51374,27209,21,2000-10-32NM
20-0010NH_CTDFinalQC.zip,20-0010NH_CTDFinalQC/db-csvs/orig/20-0010NH_CTDBTL_001-074IU.csv,0010NH,final,U,11541059,c0fe157c673305cf4d6d876e2e44b1bd1e30bc367b50d91f90291cf00c33c8ae,27210,0,2000-10-32NM
20-0101JD_CTDFinalDB.zip,20-0101JD_CTDFinalDB/20-0101JD_CTDBTL_001-066D.csv,0101JD,final,D,12319309,1b7a5d6f94a982ec57175d673f117605bd40e6ae063eddfdf466efed68d78f2f,29350,0,2001-01-31JD
20-0101JD_CTDFinalDB.zip,20-0101JD_CTDFinalDB/20-0101JD_CTDBTL_001-066U.csv,0101JD,final,U,12305779,265feaebc6dd3da69a3c944ae83bd8328e723857b0952158aa99d7318c893219,29288,0,2001-01-31JD
20-0101JD_CTDFinalQC.zip,20-0101JD_CTDFinalQC/db-csvs/20-0101JD_CTDBTL_001-066D.csv,0101JD,final,D,12319309,1b7a5d6f94a982ec57175d673f117605bd40e6ae063eddfdf466efed68d78f2f,29350,0,2001-01-31JD
20-0101JD_CTDFinalQC.zip,20-0101JD_CTDFinalQC/db-csvs/20-0101JD_CTDBTL_001-066U.csv,0101JD,final,U,12305779,265feaebc6dd3da69a3c944ae83bd8328e723857b0952158aa99d7318c893219,29288,0,2001-01-31JD
20-0101JD_CTDFinalQC.zip,20-0101JD_CTDFinalQC/db-csvs/orig/20-0101JD_CTDBTL_001-023ID.csv,0101JD,final,D,4779453,393a82c097f7f57542c82b7cfd6b7bdba691467190e2cdb934bd020bb326d83b,11394,0,2001-01-31JD
20-0101JD_CTDFinalQC.zip,20-0101JD_CTDFinalQC/db-csvs/orig/20-0101JD_CTDBTL_001-023IU.csv,0101JD,final,U,4739824,6588c38ad8f5ab6fe4a0d1b106f37f1514c5fe924eed22285552f73b5abc397b,11280,0,2001-01-31JD
20-0101JD_CTDFinalQC.zip,20-0101JD_CTDFinalQC/db-csvs/orig/20-0101JD_CTDBTL_024-039ID.csv,0101JD,final,D,2779622,954eab71cf5af5f2f4c7978955fe9b755f2436348c10cda0a957196a2186b2e1,6617,0,2001-01-31JD
20-0101JD_CTDFinalQC.zip,20-0101JD_CTDFinalQC/db-csvs/orig/20-0101JD_CTDBTL_024-039IU.csv,0101JD,final,U,2791943,18334b8fe8cf4a68d038ca4673a8d30cf65eafde213996141fd9c04734f8801d,6639,0,2001-01-31JD
20-0101JD_CTDFinalQC.zip,20-0101JD_CTDFinalQC/db-csvs/orig/20-0101JD_CTDBTL_040-066ID.csv,0101JD,final,D,4761568,4a59c8721c3fed33753f7d5e62997ff9f0f6f13967f8a9d3d91186256b6a1b33,11339,0,2001-01-31JD
20-0101JD_CTDFinalQC.zip,20-0101JD_CTDFinalQC/db-csvs/orig/20-0101JD_CTDBTL_040-066IU.csv,0101JD,final,U,4775676,9fd95a47a0d037ea79bb16e084aa9dd979c02fd20f63466913f35acfec041787,11369,0,2001-01-31JD
20-0104JD_CTDFinalDB.zip,20-0104JD_CTDFinalDB/20-0104JD_CTDBTL_001-513D.csv,0104JD,final,D,12377349,cd5a904e93796a4b47f3e6d08d6b376ed538e0c6f9b461e07bffe005d9fd38b1,29536,7,2001-04-31JD
20-0104JD_CTDFinalDB.zip,20-0104JD_CTDFinalDB/20-0104JD_CTDBTL_001-513U.csv,0104JD,final,U,12416958,12c014f9f4bca04f810622a5894089250ddbd23fb3f8f9acdc080f24482339af,29603,7,2001-04-31JD
20-0107NH_CTDFinalDB.zip,20-0107NH_CTDFinalDB/20-0107NH_CTDBTL_001-066D.csv,0107NH,final,D,11692538,25424725e2aa0f52744df93db0fd4d2d1611dbce96f857169b13191c48696726,27887,1,2001-07-32NM
20-0107NH_CTDFinalDB.zip,20-0107NH_CTDFinalDB/20-0107NH_CTDBTL_001-066U.csv,0107NH,final,U,11686558,febaf7029f99f7f104a03efe2390a171811bc8f7e8aad050c38179a530f572fa,27915,1,2001-07-32NM
20-0107NH_CTDFinalQC.zip,20-0107NH_CTDFinalQC/db-csvs/20-0107NH_CTDBTL_001-066D.csv,0107NH,final,D,11692538,25424725e2aa0f52744df93db0fd4d2d1611dbce96f857169b13191c48696726,27887,1,2001-07-32NM
20-0107NH_CTDFinalQC.zip,20-0107NH_CTDFinalQC/db-csvs/20-0107NH_CTDBTL_001-066U.csv,0107NH,final,U,11686558,febaf7029f99f7f104a03efe2390a171811bc8f7e8aad050c38179a530f572fa,27915,1,2001-07-32NM
20-0107NH_CTDFinalQC.zip,20-0107NH_CTDFinalQC/db-csvs/orig_dbcsvs/20-0107NH_CTDBTL_001-012ID.csv,0107NH,final,D,2383043,c19763ba5ab4929603beafb99e156b52a11f0b97038fc75b4935d95aece310f4,5699,0,2001-07-32NM
20-0107NH_CTDFinalQC.zip,20-0107NH_CTDFinalQC/db-csvs/orig_dbcsvs/20-0107NH_CTDBTL_001-012IU.csv,0107NH,final,U,2381886,0dc82abf7eb8d5a3ca4907b0bc11d39ac175485a5a1710e02f8484de6b1b9601,5699,0,2001-07-32NM
20-0107NH_CTDFinalQC.zip,20-0107NH_CTDFinalQC/db-csvs/orig_dbcsvs/20-0107NH_CTDBTL_013-066ID.csv,0107NH,final,D,9310008,5a0d6c43a84d49e8e77c4d5a8e50e74c7757a31da4cb29fe2426c1299fbe47db,22188,1,2001-07-32NM
20-0107NH_CTDFinalQC.zip,20-0107NH_CTDFinalQC/db-csvs/orig_dbcsvs/20-0107NH_CTDBTL_013-066IU.csv,0107NH,final,U,9314544,9afead474fa14348b78e2d08d56b88b0c18789fcae8c0dd15591613b416382c1,22216,1,2001-07-32NM
20-0110NH_CTDFinalDB.zip,20-0110NH_CTDFinalDB/20-0110NH_CTDBTL_001-066D.csv,0110NH,final,D,12434008,93f8f3f49b002d412fff589884077257bd58684b38321fac770a5c4ec4467e2b,29543,2,2001-10-32NM
20-0110NH_CTDFinalDB.zip,20-0110NH_CTDFinalDB/20-0110NH_CTDBTL_001-066U.csv,0110NH,final,U,12475103,1fc051162ddcb7ea334815586d192ed1a0cf7e559fe6f228f191b3f9e42a1856,29672,2,2001-10-32NM
20-0110NH_CTDFinalQC.zip,20-0110NH_CTDFinalQC/db-csvs/20-0110NH_CTDBTL_001-066D.csv,0110NH,final,D,12434008,93f8f3f49b002d412fff589884077257bd58684b38321fac770a5c4ec4467e2b,29543,2,2001-10-32NM
20-0110NH_CTDFinalQC.zip,20-0110NH_CTDFinalQC/db-csvs/20-0110NH_CTDBTL_001-066U.csv,0110NH,final,U,12475103,1fc051162ddcb7ea334815586d192ed1a0cf7e559fe6f228f191b3f9e42a1856,29672,2,2001-10-32NM
20-0201JD_CTDFinalDB.zip,20-0201JD_CTDFinalDB/20-0201JD_CTDBTL_001-066ID.csv,0201JD,final,D,12373935,29447107e56f976f5aab3f1963a92c503ce7e5b17e531af9348b8d6e048359a4,29407,0,2002-01-31JD
20-0201JD_CTDFinalDB.zip,20-0201JD_CTDFinalDB/20-0201JD_CTDBTL_001-066IU.csv,0201JD,final,U,12390658,7e7fc37e0221c50015dae894fe5c36f4a60d97ce48afb9cf817ccc278c6a73f5,29469,0,2002-01-31JD
20-0204JD_CTDFinalDB.zip,20-0204JD_CTDFinalDB/20-0204JD_CTDBTL_001-535D.csv,0204JD,final,D,12065278,763937afd5131b920d936756fc75c57dc980519b2dc76c16c5be6f89749bc94c,29118,2,2002-04-31JD
20-0204JD_CTDFinalDB.zip,20-0204JD_CTDFinalDB/20-0204JD_CTDBTL_001-535U.csv,0204JD,final,U,12504959,0fc0390662eea7c16bc6bebc57d385a6a0e479bb93699b89ad6b977af546219b,30182,2,2002-04-31JD
20-0207NH_CTDFinalDB.zip,20-0207NH_CTDFinalDB/20-0207NH_CTDBTL_001-066D.csv,0207NH,final,D,12403787,add6a16937ede1b982c8439830cf5ba1c6fcee5e3927215aa13a75fbf560e7df,29510,0,2002-07-32NM
20-0207NH_CTDFinalDB.zip,20-0207NH_CTDFinalDB/20-0207NH_CTDBTL_001-066U.csv,0207NH,final,U,12439924,ed01a8f7629fe46c202b6b10e74e705580205e893c83d3d1646ccbebe5f9556f,29603,0,2002-07-32NM
20-0207NH_CTDFinalQC.zip,20-0207NH_CTDFinalQC/db_csvs/20-0207NH_CTDBTL_001-066D.csv,0207NH,final,D,12403787,add6a16937ede1b982c8439830cf5ba1c6fcee5e3927215aa13a75fbf560e7df,29510,0,2002-07-32NM
20-0207NH_CTDFinalQC.zip,20-0207NH_CTDFinalQC/db_csvs/20-0207NH_CTDBTL_001-066U.csv,0207NH,final,U,12439924,ed01a8f7629fe46c202b6b10e74e705580205e893c83d3d1646ccbebe5f9556f,29603,0,2002-07-32NM
20-0211NH_CTDFinalDB.zip,20-0211NH_CTDFinalDB/20-0211NH_CTDBTL_001-066D.csv,0211NH,final,D,12537697,d7c621747722edc4d243e61e482ffd25180b962d23f46135eb08a6588d4a73f9,29606,0,2002-11-32NM
20-0211NH_CTDFinalDB.zip,20-0211NH_CTDFinalDB/20-0211NH_CTDBTL_001-066U.csv,0211NH,final,U,12532603,ed29a943b55f2108cb835d6cf2d00d69fab0589d74161f7e8c5851326a2cf651,29615,0,2002-11-32NM
20-0211NH_CTDFinalQC.zip,20-0211NH_CTDFinalQC/db_csvs/20-0211NH_CTDBTL_001-066D.csv,0211NH,final,D,12405284,39e1920b29c2b27ae6de2d1ce2049c9d3981cea5b7e2b57c2e0cddd31153038e,29609,0,2002-11-32NM
20-0211NH_CTDFinalQC.zip,20-0211NH_CTDFinalQC/db_csvs/20-0211NH_CTDBTL_001-066U.csv,0211NH,final,U,12399662,9aecf91f77f42cba565e8028839f92479f7bd806d8f70e38b913b6133563a69d,29613,0,2002-11-32NM
20-0302JD_CTDFinalQC.zip,20-0302JD_CTDFinalQC/db_csvs/20-0302JD_CTDBTL_001-100D.csv,0302JD,final,D,17710137,25966a0c547f3d7bbb5a2c7e696f9eeba2a4699893360f1bd7d53daba2bf438a,42856,0,2003-02-31JD
20-0302JD_CTDFinalQC.zip,20-0302JD_CTDFinalQC/db_csvs/20-0302JD_CTDBTL_001-100U.csv,0302JD,final,U,17718872,5347c5d3e0a121cf8e6bfc74536f3befa1db38d857701d4fbd9e0f3a8b71f723,42901,0,2003-02-31JD
20-0302JD_CTDFinalQC.zip,20-0302JD_CTDFinalQC/db_csvs/south-north/20-0302JD_CTDBTL_001-073ID.csv,0302JD,final,D,13397126,9b9b0b36189a3c8607eb4ab0fa1b4dbee514ec1a849bb69d57693893e8fd4a20,31990,0,2003-02-31JD
20-0302JD_CTDFinalQC.zip,20-0302JD_CTDFinalQC/db_csvs/south-north/20-0302JD_CTDBTL_001-073IU.csv,0302JD,final,U,13403660,342b296692c5e85e050acc3feca052803fcfafb6321c19f56924248408eaba95,32022,0,2003-02-31JD
20-0302JD_CTDFinalQC.zip,20-0302JD_CTDFinalQC/db_csvs/south-north/20-0302JD_CTDBTL_074-100ID.csv,0302JD,final,D,4313657,c3a17e3d7141f551a27cc4eda934deabe763a7083d94ded979dc80787068d257,10866,0,2003-02-31JD
20-0302JD_CTDFinalQC.zip,20-0302JD_CTDFinalQC/db_csvs/south-north/20-0302JD_CTDBTL_074-100IU.csv,0302JD,final,U,4318039,6e5a950b6f1fdadaad9b8edd9f6ba0d7bd87073390bee05396f3c681339a450a,10879,0,2003-02-31JD
20-0304JD_CTDFinalDB.zip,20-0304JD_CTDFinalDB/20-0304JD_CTDBTL_068-167ID.csv,0304JD,final,D,5644313,0da9e35434b5244113229e20f4627b6479d31e333c0ac04132dac75b4cfe91f2,15696,0,2003-04-31JD
20-0304JD_CTDFinalDB.zip,20-0304JD_CTDFinalDB/20-0304JD_CTDBTL_068-167IU.csv,0304JD,final,U,5663432,9b2e84b319770fadf40c860e41fe72daaf976223d5bbcf08abe5a554b4f32ea8,15751,0,2003-04-31JD
20-0304RR_CTDFinalDB.zip,20-0304RR_CTDFinalDB/20-0304RR_CTDBTL_001-067ID.csv,0304RR,final,D,12225955,4bcd09076ffa6725ab20a4075165822ef9f6518a6fc14bb1389323b3f74c733a,29507,1,2003-04-33RR
20-0304RR_CTDFinalDB.zip,20-0304RR_CTDFinalDB/20-0304RR_CTDBTL_001-067IU.csv,0304RR,final,U,12253102,766b4eddcc2e19f43ebc8226e2802c8d040ab814ccf37a53780c0aab3c4cabae,29574,1,2003-04-33RR
20-0307NH_CTDFinalQC.zip,20-0307NH_CTDFinalQC/db_csvs/20-0307NH_CTDBTL_001-526ID.csv,0307NH,final,D,11342253,7ac0c5d71b0324848af82e07b77991a3f4c3d93201807e881268abd59bd86502,26697,0,2003-07-32NM
20-0307NH_CTDFinalQC.zip,20-0307NH_CTDFinalQC/db_csvs/20-0307NH_CTDBTL_001-526IU.csv,0307NH,final,U,11278670,92a4a00d617d134cda2e5b4b696e34024ed304787ab5e98f3eab2f07130fa42a,26544,0,2003-07-32NM
20-0307NH_CTDFinalQC.zip,20-0307NH_CTDFinalQC/db_csvs/20-0307NH_CTDBTL_044-060ID.csv,0307NH,final,D,480857,d61a785826da16a04dda3476ab741f8ad21991686865da69241f3bdd4eb661fb,1128,0,2003-07-32NM
20-0307NH_CTDFinalQC.zip,20-0307NH_CTDFinalQC/db_csvs/20-0307NH_CTDBTL_044-060IU.csv,0307NH,final,U,482411,6effabf03bf400c02f0fc5838c27b04bc95dbddbedf6c7420d93d513bff6deee,1132,0,2003-07-32NM
20-0310NH_CTDFinalQC.zip,20-0310NH_CTDFinalQC/db_csvs/20-0310NH_CTDBTL_001-066D.csv,0310NH,final,D,12658005,eb1bcf041b194d8045068b77d312e8376fb9462540c818a57d259794692320f3,29723,0,2003-10-32NM
20-0310NH_CTDFinalQC.zip,20-0310NH_CTDFinalQC/db_csvs/20-0310NH_CTDBTL_001-066U.csv,0310NH,final,U,12662032,d609539fe017f08ff0032ddecbb504c087ea817fb1defc15e1b8cb9e46d2cb6d,29780,0,2003-10-32NM
20-0401JD_CTDFinalQC.zip,20-0401JD_CTDFinalQC/db_csvs/20-0401JD_CTDBTL_001-098ID.csv,0401JD,final,D,19423000,eb3018950f0a990b8ac934a7e3e5f111da566061be00f65f6991a844eedb2c7e,46804,0,2004-01-31JD
20-0401JD_CTDFinalQC.zip,20-0401JD_CTDFinalQC/db_csvs/20-0401JD_CTDBTL_001-098IU.csv,0401JD,final,U,19676322,590f72615d7516be4f1d49852ca284e987a6219dc74a17a62d68897e86b9de76,47405,0,2004-01-31JD
20-0404NHJD_CTDFinalQC.zip,20-0404NHJD_CTDFinalQC/db_csvs/20-0404JD_CTDBTL_067-094ID.csv,0404JD,final,D,6269220,1275c6e4e581ed8a297d611e1de2188e156e42d9cfb924f69da5e16e386484f7,15696,0,2004-04-31JD
20-0404NHJD_CTDFinalQC.zip,20-0404NHJD_CTDFinalQC/db_csvs/20-0404JD_CTDBTL_067-094IU.csv,0404JD,final,U,6282489,9400158fe49234b5fe28481533dfa4a71564dba6e61007cc3f20993d9d9fc9db,15730,0,2004-04-31JD
20-0404NHJD_CTDFinalQC.zip,20-0404NHJD_CTDFinalQC/db_csvs/20-0404NH_CTDBTL_001-066ID.csv,0404NH,final,D,12546337,7ee3ee477b1b23744fd475f1c5a3715fe3e93d6be4c2bde3ac6a876ddb210779,29572,0,2004-04-32NM
20-0404NHJD_CTDFinalQC.zip,20-0404NHJD_CTDFinalQC/db_csvs/20-0404NH_CTDBTL_001-066IU.csv,0404NH,final,U,12569012,b1931adbc8a5951b60c7c9b18fc8307cc80960b8ed45d9fddfa43b8bbd453685,29629,0,2004-04-32NM
20-0407JD_CTDFinalQC.zip,20-0407JD_CTDFinalQC/db_csvs/20-0407JD_CTDBTL_001-012ID.csv,0407JD,final,D,2198802,bdb5989198a8e2c5587bea71c6c077bcaf293cb527c9b1fe432304e766bf3d23,5196,0,2004-07-31JD
20-0407JD_CTDFinalQC.zip,20-0407JD_CTDFinalQC/db_csvs/20-0407JD_CTDBTL_001-012IU.csv,0407JD,final,U,2202994,79882149b63cc7792e8a5022fe14aa5827e5f85670999e659b78d7120742bf83,5206,0,2004-07-31JD
20-0407JD_CTDFinalQC.zip,20-0407JD_CTDFinalQC/db_csvs/20-0407JD_CTDBTL_013-074ID.csv,0407JD,final,D,10318782,2fac4394a73acfcc8897a51a7885376bfc6ece0586da4157ab0ba95616278172,24325,1,2004-07-31JD
20-0407JD_CTDFinalQC.zip,20-0407JD_CTDFinalQC/db_csvs/20-0407JD_CTDBTL_013-074IU.csv,0407JD,final,U,10335354,183f8491a1d3bab7f805c52bbd0400d6d0699c126faf0a7d5e5da1a98f311617,24366,1,2004-07-31JD
20-0407JD_CTDFinalQC.zip,20-0407JD_CTDFinalQC/db_csvs/pieces/20-0407JD_CTDBTL_001-002ID.csv,0407JD,final,D,31963,bc332c033a9e30b63a1dfc28e9c6205a9899a7307bf58f15a357ceb101325231,71,0,2004-07-31JD
20-0407JD_CTDFinalQC.zip,20-0407JD_CTDFinalQC/db_csvs/pieces/20-0407JD_CTDBTL_001-002IU.csv,0407JD,final,U,32829,94a374c9488514561d6fa09fb2e07cc9dd681e1bb6ec23086884133f3f97b30e,73,0,2004-07-31JD
20-0407JD_CTDFinalQC.zip,20-0407JD_CTDFinalQC/db_csvs/pieces/20-0407JD_CTDBTL_003-012ID.csv,0407JD,final,D,2167517,f315eab747373f32207a3c130d209c09f97a040ec59fe3dccbadb3876dc7bdaa,5125,0,2004-07-31JD
20-0407JD_CTDFinalQC.zip,20-0407JD_CTDFinalQC/db_csvs/pieces/20-0407JD_CTDBTL_003-012IU.csv,0407JD,final,U,2170843,7f1046c358ddd7d7c24827381e87d4034a4b14902232f13f9dc05c98491b1b19,5133,0,2004-07-31JD
20-0407JD_CTDFinalQC.zip,20-0407JD_CTDFinalQC/db_csvs/pieces/20-0407JD_CTDBTL_013-028ID.csv,0407JD,final,D,3399175,183d56b9207e50aa218c584bb430ac912ac1fe6438957ed0d8a7b6b97e5b2670,8012,0,2004-07-31JD
20-0407JD_CTDFinalQC.zip,20-0407JD_CTDFinalQC/db_csvs/pieces/20-0407JD_CTDBTL_013-028IU.csv,0407JD,final,U,3402818,c4f59782e03cf8907b31ae2ba0da12a6c9152da850f717fd469dff7fc21d7a28,8021,0,2004-07-31JD
20-0407JD_CTDFinalQC.zip,20-0407JD_CTDFinalQC/db_csvs/pieces/20-0407JD_CTDBTL_029-039ID.csv,0407JD,final,D,1395099,6af42a3765ce2a4d5a5833d688456c4cd134f8eb088c8611b02a97fa94025475,3289,0,2004-07-31JD
20-0407JD_CTDFinalQC.zip,20-0407JD_CTDFinalQC/db_csvs/pieces/20-0407JD_CTDBTL_029-039IU.csv,0407JD,final,U,1398296,09a42bbd3a2a3cd5d72a8d6027d29abd883bdd40be8e0a3203aa0dcb3e68a6d9,3297,0,2004-07-31JD
20-0407JD_CTDFinalQC.zip,20-0407JD_CTDFinalQC/db_csvs/pieces/20-0407JD_CTDBTL_040-074ID.csv,0407JD,final,D,5525864,b6644cff9350616f8af8531af03db2093354559f14d44453fd6b6ec44f3214ed,13024,1,2004-07-31JD
20-0407JD_CTDFinalQC.zip,20-0407JD_CTDFinalQC/db_csvs/pieces/20-0407JD_CTDBTL_040-074IU.csv,0407JD,final,U,5535596,f1164c378f98dd36bb7e695ccfd8b8c37db354691170e2f14347887057df3178,13048,1,2004-07-31JD
20-0411RR_CTDFinalQC.zip,20-0411RR_CTDFinalQC/db_csvs/20-0411RR_CTDBTL_001-965ID.csv,0411RR,final,D,13329923,d182793b3d927c3b04c6603e5c69ed5925c4fb2ee4efca1a52b0e89c32e7f1c7,32648,0,2004-11-33RR
20-0411RR_CTDFinalQC.zip,20-0411RR_CTDFinalQC/db_csvs/20-0411RR_CTDBTL_001-965IU.csv,0411RR,final,U,13329785,3701598de2446d5be221915216e947fb57c205bc76887f55b674adf88ddc6fdb,32661,0,2004-11-33RR
20-0501NH_CTDFinalQC.zip,20-0501NH_CTDFinalQC/db_csvs/20-0501NH_CTDBTL_001-075D.csv,0501NH,final,D,12347380,6ec9f00674bc1c68f7405b08888731a6360e3e3c66e6c73ef1763fea95d3265e,29827,0,2005-01-32NM
20-0501NH_CTDFinalQC.zip,20-0501NH_CTDFinalQC/db_csvs/20-0501NH_CTDBTL_001-075U.csv,0501NH,final,U,12360359,985bb0e376f2dfdc2f91da0d963a78dc6a87e0c0597e204d2050af9dcc3694e7,29862,0,2005-01-32NM
20-0504NH_CTDFinalQC.zip,20-0504NH_CTDFinalQC/db_csvs/20-0504NH_CTDBTL_001-075D.csv,0504NH,final,D,12476847,deb7f94e4bdfa7d7f0769efc5f98a3e29457d645413fc2ff6a568cb7a8f2f747,29920,1,2005-04-32NM
20-0504NH_CTDFinalQC.zip,20-0504NH_CTDFinalQC/db_csvs/20-0504NH_CTDBTL_001-075U.csv,0504NH,final,U,12485773,25bf220dd84e64ca9c4ea873e9b033ae599fa122126074735937b3f2c5b477d7,29969,79,2005-04-32NM
20-0507NH_CTDFinalQC.zip,20-0507NH_CTDFinalQC/db_csvs/20-0507NH_CTDBTL_001-075D.csv,0507NH,final,D,12539839,a72ccd2dfd69233bbc2087c96a120a25df3e1a0a1cd356264b89899f410169f0,30008,3,2005-07-32NM
20-0507NH_CTDFinalQC.zip,20-0507NH_CTDFinalQC/db_csvs/20-0507NH_CTDBTL_001-075U.csv,0507NH,final,U,12562214,8272b755188e87230cb7c44db966f79e180c2b29eb0144c3d31d361ef669461b,30048,3,2005-07-32NM
20-0511NH_CTDFinalQC.zip,20-0511NH_CTDFinalQC/db_csvs/20-0511NH_CTDBTL_001-072D.csv,0511NH,final,D,11230591,c71f20e33d8d26a6df5a6c40a03033df395ac21a2061f3ae1141ee9d72e0ab8a,28204,1,2005-11-32NM
20-0511NH_CTDFinalQC.zip,20-0511NH_CTDFinalQC/db_csvs/20-0511NH_CTDBTL_001-072U.csv,0511NH,final,U,11276565,03aaa5381ee43ff7ea0c6513399eb975a31ede884fdc264ca40502a301ce1834,28313,1,2005-11-32NM
