id,packageid,title,authors,organizations,pubdate,spatialCoverage
knb-lter-cce.164,knb-lter-cce.164.2,"Seasonal seabird density by species and seasonal density anomaly for four seabird species off Southern California from from sampling aboard California Cooperative Oceanic Fisheries Investigations (CalCOFI) cruises, 1987 - 2006.","Sydeman, Bill","Farallon Institute Advanced Ecosystem Research
CalCOFI - Scripps Institution of Oceanography
FIAER",2017,"
        "
knb-lter-cce.21,knb-lter-cce.21.3,"Measurements of dissolved inorganic concentrations of nutrient iron and of iron limitation at selected stations and depths from CalCOFI cruises in the California Current System, Nov. 2002 - July 2004 (completed)","Barbeau, Katherine","California Current Ecosystem LTER
CalCOFI - Scripps Institution of Oceanography
SIO",2017,"
        "
knb-lter-cce.57,knb-lter-cce.57.3,"Size group (pico, nano, micro) and group total carbon estimates from cell counts via epifluorescent microscopy (EPI) of heterotrophic and autotrophic plankton from CCE-CalCOFI Augmented cruises in the California Current System, 2004 - 2011 (ongoing).","Landry, Michael","California Current Ecosystem LTER
SIO",2017,"
        "
knb-lter-cce.119,knb-lter-cce.119.5,"Size fractionation for total Chl a within the surface layer and calculated size distribution of total Chl a from discrete bottle samples collected during CCE LTER process cruises in the CCE region, 2006 - 2017 (ongoing).","Goericke, Ralf","California Current Ecosystem LTER
SIO",2017,"
        "
knb-lter-cce.194,knb-lter-cce.194.6,"Picophytoplankton and bacteria total carbon estimates from cell counts analyzed with flow cytometry (FCM) from CCE-CalCOFI Augmented cruises in the California Current System, 2004 - 2019 (ongoing).","Landry, Michael","California Current Ecosystem LTER
SIO",2019,"
        "
knb-lter-cce.255,knb-lter-cce.255.3,"Bird and mammal observations aboard CalCOFI (1987-2021, ongoing), NMFS (1996-2021, ongoing) and CPR (2003-2006, completed) cruises.","Sydeman, Bill","Farallon Institute Advanced Ecosystem Research
CalCOFI - Scripps Institution of Oceanography
California Current Ecosystem LTER
FIAER",2021,"
        "
knb-lter-cce.159,knb-lter-cce.159.6,"Picophytoplankton and bacteria abundances analyzed with flow cytometry (FCM) from CCE-CalCOFI Augmented cruises in the California Current System, 2004 - 2019 (ongoing).","Landry, Michael","California Current Ecosystem LTER
SIO",2019,"
        "
knb-lter-cce.188,knb-lter-cce.188.4,"Data pertaining to lobster phyllosoma, Panulirus interruptus, collection methods, locations, identification and staging (1951-2008, months of July and August)","Koslow, Tony","CalCOFI - Scripps Institution of Oceanography
SIO",2017,"
        "
knb-lter-cce.253,knb-lter-cce.253.2,"Total dissolved organic carbon measurements at standard depths in the water column from nine CalCOFI cruises, 2008-2010.","Aluwihare, Lihini","California Current Ecosystem LTER
CalCOFI - Scripps Institution of Oceanography
SIO",2018,"
        "
knb-lter-cce.152,knb-lter-cce.152.2,"Mean annual Secchi depth measurements in the period starting in 1969 provide a measure of water column transparency in the CalCOFI inshore and offshore areas, 1969 - 2004.","Ohman, Mark","California Current Ecosystem LTER
SIO",2017,"
        "
knb-lter-cce.319,knb-lter-cce.319.1,"The co-occurrence of MHW characteristics and in situ sampling from CCE-CalCOFI Augmented Cruises in the California Current System,1983~2021","Chen, Tz-Chian
Stukel (Co-Lead PI), Mike","California Current Ecosystem LTER
CalCOFI - Scripps Institution of Oceanography
FSU",2024,"ENVELOPE(-126.486, -117.394, 37.84743, 29.84637)"
knb-lter-cce.58,knb-lter-cce.58.3,"Cell counts (per liter) by size groups of diatoms, autotrophic and heterotrophic plankton, via epifluorescent microscopy (EPI) from CCE-CalCOFI Augmented cruises in the California Current System, 2004 - 2011 (ongoing).","Landry, Michael","California Current Ecosystem LTER
SIO",2017,"
        "
knb-lter-cce.316,knb-lter-cce.316.1,"High Performance Liquid Chromatography (HPLC) pigment analysis from rosette bottle samples at various depths from CalCOFI-CCE Augmented cruises in the California Current System, 2002 to 2023 (ongoing).","Goericke, Ralf
Stukel, Mike
Dovel, Shonna","California Current Ecosystem LTER
CalCOFI - Scripps Institution of Oceanography
SIO
FSU",2023,"ENVELOPE(-126.486, -117.394, 37.84743, 29.84637)"
knb-lter-cce.284,knb-lter-cce.284.2,Nitrogen and oxygen stable isotopes of nitrate from CalCOFI lines 80 and 93 plus station 081.8 046.9. Collected on cruises from 2010 to 2016.,"Aluwihare, Lihini
White, Margot","California Current Ecosystem LTER
SIO
Biogeoscience - ETH Zurich, Switzerland",2021,"
        "
knb-lter-cce.254,knb-lter-cce.254.4,Temporal and spatial changes of the abundance and species composition of phytoplankton in the California Current from samples collected aboard CalCOFI cruises from summer 1996 through 2022.,"Venrick, Elizabeth","CalCOFI - Scripps Institution of Oceanography
California Current Ecosystem LTER
SIO",2023,"ENVELOPE(-126.486, -117.394, 37.84743, 29.84637)"
knb-lter-cce.249,knb-lter-cce.249.3,"Size fractionation of total Chl a larger and smaller than 8 μm data generated by Mike Mullin of the Marine Life Research Group, aboard CalCOFI (California Cooperative Oceanic Fisheries Investigations) cruises of the coast of California, January 1994 - October 1996.","Mullin, Michael","Marine Life Research Group
Director MLRG",2017,"
        "
knb-lter-cce.314,knb-lter-cce.314.1,Secchi disk depth (ZSD) measurements in the California Current 1949-2021,"Kahru, Mati","Scripps Institution of Oceanography",2023,"ENVELOPE(-143.14, -107.52, 46.15, 19.92)"
knb-lter-cce.312,knb-lter-cce.312.2,"Dry weight biomass measurements of net-collected mesozooplankton. Samples collected in
      the CCE-LTER region on Process Cruises from 2006 to the present. Summaries for each Lagrangian
      Cycle.","Ohman, Mark","California Current Ecosystem LTER
SIO",2022,"ENVELOPE(-126.486, -117.394, 37.84743, 29.84637)"
knb-lter-cce.176,knb-lter-cce.176.6,"Water column primary production per day integrated over the euphotic zone from CCE LTER process cruises in the California Current System, 2006 - 2021 (ongoing).","Goericke, Ralf","California Current Ecosystem LTER
SIO",2023,"ENVELOPE(-126.486, -117.394, 37.84743, 29.84637)"
knb-lter-cce.180,knb-lter-cce.180.4,"Size group (pico, nano, micro) and group total carbon estimates from cell counts via epifluorescent microscopy (EPI) of heterotrophic and autotrophic plankton from CCE LTER process cruises in the California Current region, 2006 - 2016","Landry, Michael","California Current Ecosystem LTER
SIO",2019,"
        "
knb-lter-cce.283,knb-lter-cce.283.1,"Chl a from discrete bottles samples from the Cal Poly Pier, 2017-present.","Pasulka, Alexis","Cal Poly/SLO",2019,"
        "
knb-lter-cce.76,knb-lter-cce.76.4,"Picophytoplankton and bacteria total carbon estimates from cell counts analyzed with flow cytometry (FCM) from CCE LTER process cruises in the California Current region, 2006 - 2017.","Landry, Michael","California Current Ecosystem LTER
SIO",2019,"
        "
knb-lter-cce.71,knb-lter-cce.71.6,"Primary production estimates from 14C uptake (in situ), determined by the incorporation of inorganic carbon into particulate organic carbon (POC) due to photosynthesis at selected light levels from CCE LTER process cruises in the California Current System, 2006 - 2021 (ongoing).","Goericke, Ralf","California Current Ecosystem LTER
SIO",2023,"ENVELOPE(-126.486, -117.394, 37.84743, 29.84637)"
knb-lter-cce.55,knb-lter-cce.55.4,"Picophytoplankton and bacteria abundances analyzed with flow cytometry (FCM) from CCE LTER process cruises the California Current region, 2006 - 2017.","Landry, Michael","California Current Ecosystem LTER
SIO",2019,"
        "
knb-lter-cce.72,knb-lter-cce.72.4,"High Performance Liquid Chromatography (HPLC) pigment analysis from rosette bottle samples at various depths from CCE LTER process cruises in the California Current System, 2006 to 2017.","Goericke, Ralf","California Current Ecosystem LTER
SIO",2019,"
        "
knb-lter-cce.104,knb-lter-cce.104.12,Particulate organic carbon and nitrogen measurements at selected depths in the water column in the CCE region since 2006 - 2021 (ongoing).,"Aluwihare, Lihini","California Current Ecosystem LTER
SIO",2024,"ENVELOPE(-126.486, -117.394, 37.84743, 29.84637)"
knb-lter-cce.277,knb-lter-cce.277.1,"Picoplankton and Bacteria Abundance analyzed with flow cytometry (FCM) collected aboard student cruises, SKrillEx I (2014), SKrillEx II (2015), and Falkor (2013).","Brandon, Jennifer","California Current Ecosystem LTER
SIO",2018,"
        "
knb-lter-cce.311,knb-lter-cce.311.2,Gut Fluorescence measurements of mesozooplankton grazing on autotrophic prey. Samples collected in the CCE-LTER region on Process Cruises from 2006 to the present. Summaries for each Lagrangian Cycle.,"Ohman, Mark","California Current Ecosystem LTER
SIO",2022,"ENVELOPE(-126.486, -117.394, 37.84743, 29.84637)"
knb-lter-cce.179,knb-lter-cce.179.4,"Cell counts (per liter) by size groups of diatoms, autotrophic and heterotrophic plankton, via epifluorescent microscopy (EPI) from CCE LTER process cruises in the California Current region, 2006 - 2016.","Landry, Michael","California Current Ecosystem LTER
SIO",2019,"
        "
knb-lter-cce.20,knb-lter-cce.20.6,"Total dissolved organic carbon and nitrogen measurements at selected depths in the water column from CCE LTER process cruises in the California Current System, 2006 - 2021 (ongoing).","Aluwihare, Lihini","California Current Ecosystem LTER
SIO",2024,"ENVELOPE(-126.486, -117.394, 37.84743, 29.84637)"
knb-lter-cce.292,knb-lter-cce.292.1,"Three ~50m vertical profiles of the dissolved O2/Ar ion current ratio in seawater with depth, measured at high vertical resolution using Membrane Inlet Mass Spectrometry. 2017.","Kranz, Sven
Kelly, Thomas
Wang, Seaver
Cassar, Nicolas","California Current Ecosystem LTER
Florida State University
FSU
Duke University",2019,"
        "
knb-lter-hfr.170,knb-lter-hfr.170.12,"Thresholds and Regime Shifts at Four LTER Sites (CCE, JRN, PAL, SBC) 1951-2009","Bestelmeyer, Brandon
Ellison, Aaron","
        ",2023,"ENVELOPE(-121.8, -64.0, +34.5, -64.8)"
knb-lter-cce.62,knb-lter-cce.62.7,"Exported particulate carbon and nitrogen measurements from 4-day sediment trap deployments in the CCE region, 2007 - 2019 (ongoing).","Stukel, Mike
Landry, Michael","California Current Ecosystem LTER
FSU
SIO",2022,"ENVELOPE(-126.486, -117.394, 37.84743, 29.84637)"
edi.1769,edi.1769.1,Salinity is diagnostic of maximum potential chlorophyll and phytoplankton community structure in an Eastern Boundary Upwelling System,"Gangrade, Shailja","
        ",2024,"ENVELOPE(-130.0, -115.0, 45.0, 30.0)"
knb-lter-sbc.172,knb-lter-sbc.172.2,Estimates of nitrogen and phosphorus excretion rates in individual marine and estuarine animals,"White, Mack
Kui, Li
Chen, Angel
Strickland, Bradley
Peters, Joey
Grier, Shalanda
Capone, Dante
Cawley, Grace
Emery, Kyle A
Enright, Lauren N
Stajner, Anya
Nelson, James A.
Castorani, Max C. N.
Caselle, Jennifer
Hopcroft, Russell
Rehage, Jennifer
Burkepile, Deron
Lyon, Nicholas
Ohman, Mark D","
        ",2024,"ENVELOPE(-149.83, -70.89, 59.05, -17.49)"
knb-lter-sbc.162,knb-lter-sbc.162.1,SBC LTER: Reef: California kelp canopy and environmental variable dynamics,"Bell, Tom W","
        ",2023,"ENVELOPE(-124.4219, -117.1421, 41.9516, 32.5516)"
knb-lter-sbc.56,knb-lter-sbc.56.4,SBC LTER: Reef: Feeding relationships for kelp forest species,"Byrnes, Jarrett Edward
Reed, Daniel C
Cardinale, Bradley Joseph
Cavanaugh, Kyle C
Holbrook, Sally J
Schmitt, Russell J","Santa Barbara Coastal LTER",2022,"ENVELOPE(-120.475, -119.255, 34.531, 34)"
