measurement_type,band,year,anom,n_cruises,n_values
chlorophyll_a,100-200,1998,0.0347,7,1649
chlorophyll_a,100-200,1999,-0.0024,4,1489
chlorophyll_a,100-200,2000,-0.0063,4,1563
chlorophyll_a,100-200,2001,0.0051,4,1609
chlorophyll_a,100-200,2002,-0.0099,4,1475
chlorophyll_a,100-200,2003,-0.0079,4,1570
chlorophyll_a,100-200,2004,-0.0015,4,1421
chlorophyll_a,100-200,2005,0.0095,4,1506
chlorophyll_a,100-200,2006,-0.0081,4,1436
chlorophyll_a,100-200,2007,-0.0128,4,1378
chlorophyll_a,100-200,2008,-0.0214,4,1331
chlorophyll_a,100-200,2009,-0.0163,4,1173
chlorophyll_a,100-200,2010,-0.0139,4,1043
chlorophyll_a,100-200,2011,-0.0048,4,1331
chlorophyll_a,100-200,2012,-0.006,4,1224
chlorophyll_a,100-200,2013,-0.0114,4,1355
chlorophyll_a,100-200,2014,-0.005,4,1114
chlorophyll_a,100-200,2015,0.0112,4,1277
chlorophyll_a,100-200,2016,0.0091,4,1353
chlorophyll_a,100-200,2017,-0.0034,4,1305
chlorophyll_a,100-200,2018,-0.003,3,829
chlorophyll_a,100-200,2019,0.0091,4,1026
chlorophyll_a,100-200,2020,0.0021,3,896
chlorophyll_a,100-200,2021,-0.0093,1,298
chlorophyll_a,200-500,1978,0.0054,3,17
chlorophyll_a,200-500,1983,0.0156,4,11
chlorophyll_a,200-500,1984,0.0044,4,8
chlorophyll_a,200-500,1985,-0.0046,2,6
chlorophyll_a,200-500,1986,0.0058,2,20
chlorophyll_a,200-500,1987,0.0014,2,27
chlorophyll_a,200-500,1988,0.0017,4,182
chlorophyll_a,200-500,1989,0.0007,4,225
chlorophyll_a,200-500,1990,-0.0022,4,118
chlorophyll_a,200-500,1991,0.0008,3,182
chlorophyll_a,200-500,1992,-0.0012,4,212
chlorophyll_a,200-500,1993,-0.0019,4,278
chlorophyll_a,200-500,1994,-0.0062,4,35
chlorophyll_a,200-500,1995,0.0003,4,52
chlorophyll_a,200-500,1996,0.0015,3,22
chlorophyll_a,200-500,1997,0.0022,3,22
chlorophyll_a,200-500,1998,-0.0006,6,26
chlorophyll_a,200-500,1999,0.0018,4,54
chlorophyll_a,200-500,2000,-0.0022,4,64
chlorophyll_a,200-500,2001,0.0016,4,60
chlorophyll_a,200-500,2002,0.0014,4,59
chlorophyll_a,200-500,2003,-0.002,4,41
chlorophyll_a,200-500,2004,0.0064,3,39
chlorophyll_a,200-500,2005,-0.0014,4,54
chlorophyll_a,200-500,2006,-0.0033,4,29
chlorophyll_a,200-500,2007,-0.0,4,44
chlorophyll_a,200-500,2008,-0.0009,4,154
chlorophyll_a,200-500,2009,-0.0026,4,170
chlorophyll_a,200-500,2010,-0.0004,4,159
chlorophyll_a,200-500,2011,0.0012,4,212
chlorophyll_a,200-500,2012,0.0051,4,141
chlorophyll_a,200-500,2013,-0.0002,4,190
chlorophyll_a,200-500,2014,-0.0018,4,113
chlorophyll_a,200-500,2015,0.0008,4,150
chlorophyll_a,200-500,2016,0.0032,4,193
chlorophyll_a,200-500,2017,-0.0004,4,153
chlorophyll_a,200-500,2018,-0.0075,3,93
chlorophyll_a,200-500,2019,-0.001,4,95
chlorophyll_a,200-500,2020,0.0049,3,152
chlorophyll_a,200-500,2021,0.0015,1,59
chlorophyll_a,50-100,1978,-0.044,6,644
chlorophyll_a,50-100,1983,0.095,7,192
chlorophyll_a,50-100,1984,0.0488,10,2134
chlorophyll_a,50-100,1985,-0.0423,3,688
chlorophyll_a,50-100,1986,-0.053,4,615
chlorophyll_a,50-100,1987,0.0865,3,528
chlorophyll_a,50-100,1988,0.0079,4,1213
chlorophyll_a,50-100,1989,-0.001,5,1632
chlorophyll_a,50-100,1990,-0.0427,4,1210
chlorophyll_a,50-100,1991,-0.0133,4,1151
chlorophyll_a,50-100,1992,-0.015,4,1439
chlorophyll_a,50-100,1993,0.0205,4,1506
chlorophyll_a,50-100,1994,-0.018,4,1305
chlorophyll_a,50-100,1995,0.0094,4,1425
chlorophyll_a,50-100,1996,-0.0164,4,1440
chlorophyll_a,50-100,1997,0.011,4,1139
chlorophyll_a,50-100,1998,-0.0162,7,1436
chlorophyll_a,50-100,1999,0.0428,4,1431
chlorophyll_a,50-100,2000,-0.0253,4,1417
chlorophyll_a,50-100,2001,0.0627,4,1461
chlorophyll_a,50-100,2002,-0.0275,4,1401
chlorophyll_a,50-100,2003,-0.0208,4,1443
chlorophyll_a,50-100,2004,0.015,4,1336
chlorophyll_a,50-100,2005,0.0529,4,1404
chlorophyll_a,50-100,2006,-0.0248,4,1306
chlorophyll_a,50-100,2007,0.0207,4,1256
chlorophyll_a,50-100,2008,-0.0237,4,1304
chlorophyll_a,50-100,2009,-0.0234,4,1126
chlorophyll_a,50-100,2010,-0.0274,4,1029
chlorophyll_a,50-100,2011,-0.0089,4,1282
chlorophyll_a,50-100,2012,-0.0337,4,1182
chlorophyll_a,50-100,2013,0.001,4,1265
chlorophyll_a,50-100,2014,0.0052,4,1039
chlorophyll_a,50-100,2015,0.0635,4,1154
chlorophyll_a,50-100,2016,-0.0044,4,1238
chlorophyll_a,50-100,2017,-0.0274,4,1254
chlorophyll_a,50-100,2018,0.0203,3,796
chlorophyll_a,50-100,2019,-0.0033,4,979
chlorophyll_a,50-100,2020,0.0103,3,741
chlorophyll_a,50-100,2021,0.0146,1,205
nitrate,0-10,1969,-0.6837,8,141
nitrate,0-10,1971,-0.1713,1,4
nitrate,0-10,1972,-0.3799,7,55
nitrate,0-10,1976,1.0173,1,4
nitrate,0-10,1978,-0.3379,6,304
nitrate,0-10,1983,-0.2054,7,74
nitrate,0-10,1984,-0.5069,10,631
nitrate,0-10,1985,-0.1921,3,229
nitrate,0-10,1986,-0.3226,4,223
nitrate,0-10,1987,-0.3475,3,172
nitrate,0-10,1988,-0.0606,5,390
nitrate,0-10,1989,0.235,5,529
nitrate,0-10,1990,-0.4143,4,412
nitrate,0-10,1991,-0.3381,4,371
nitrate,0-10,1992,-0.591,4,526
nitrate,0-10,1993,-0.2628,4,586
nitrate,0-10,1994,-0.4836,4,524
nitrate,0-10,1995,-0.2528,4,564
nitrate,0-10,1996,-0.067,4,772
nitrate,0-10,1997,-0.3634,4,465
nitrate,0-10,1998,-0.7308,3,430
nitrate,0-10,1999,0.4292,4,565
nitrate,0-10,2000,0.0143,4,564
nitrate,0-10,2001,-0.2679,4,577
nitrate,0-10,2002,0.2384,4,587
nitrate,0-10,2003,-0.4456,4,609
nitrate,0-10,2004,-0.2113,4,599
nitrate,0-10,2005,-0.3376,4,648
nitrate,0-10,2006,-0.2375,4,590
nitrate,0-10,2007,0.5259,4,593
nitrate,0-10,2008,0.8565,4,622
nitrate,0-10,2009,-0.1759,4,582
nitrate,0-10,2010,0.0297,4,526
nitrate,0-10,2011,0.2525,4,630
nitrate,0-10,2012,0.3666,4,589
nitrate,0-10,2013,0.821,4,669
nitrate,0-10,2014,-0.477,4,518
nitrate,0-10,2015,-1.0673,4,363
nitrate,0-10,2016,-0.4568,4,366
nitrate,0-10,2017,-0.212,4,293
nitrate,0-10,2018,-0.6322,3,132
nitrate,0-10,2019,-0.3819,4,234
nitrate,0-10,2020,-0.0616,3,279
nitrate,0-10,2021,0.9819,1,135
nitrate,10-50,1969,-1.0029,8,385
nitrate,10-50,1971,-0.3499,1,14
nitrate,10-50,1972,-1.019,7,143
nitrate,10-50,1976,18.3638,1,9
nitrate,10-50,1978,0.5556,6,850
nitrate,10-50,1983,-2.2339,7,210
nitrate,10-50,1984,-1.471,10,2140
nitrate,10-50,1985,-0.5895,4,912
nitrate,10-50,1986,-0.779,4,784
nitrate,10-50,1987,-3.7719,3,611
nitrate,10-50,1988,-0.105,4,1427
nitrate,10-50,1989,0.0349,5,1931
nitrate,10-50,1990,-1.533,4,1486
nitrate,10-50,1991,-0.8498,4,1281
nitrate,10-50,1992,-1.4684,4,1613
nitrate,10-50,1993,-1.009,4,1678
nitrate,10-50,1994,-1.0144,4,1368
nitrate,10-50,1995,-0.4859,4,1443
nitrate,10-50,1996,-0.0136,4,1651
nitrate,10-50,1997,-0.8151,4,1172
nitrate,10-50,1998,-1.8579,3,1115
nitrate,10-50,1999,0.57,4,1491
nitrate,10-50,2000,0.3002,4,1472
nitrate,10-50,2001,-0.5921,4,1518
nitrate,10-50,2002,0.2301,4,1471
nitrate,10-50,2003,0.0279,4,1508
nitrate,10-50,2004,-0.15,4,1409
nitrate,10-50,2005,0.1321,4,1553
nitrate,10-50,2006,-0.1339,4,1437
nitrate,10-50,2007,0.5251,4,1397
nitrate,10-50,2008,1.3429,4,1481
nitrate,10-50,2009,-0.1034,4,1302
nitrate,10-50,2010,0.5259,4,1156
nitrate,10-50,2011,0.9346,4,1440
nitrate,10-50,2012,0.3513,4,1324
nitrate,10-50,2013,0.756,4,1407
nitrate,10-50,2014,-1.3872,4,1089
nitrate,10-50,2015,-2.1363,4,886
nitrate,10-50,2016,-0.7432,4,1008
nitrate,10-50,2017,-0.6583,4,738
nitrate,10-50,2018,-1.5393,3,342
nitrate,10-50,2019,-1.476,4,544
nitrate,10-50,2020,-0.4135,3,562
nitrate,10-50,2021,0.9677,1,177
nitrate,100-200,1969,-1.4734,7,346
nitrate,100-200,1971,-1.6486,1,17
nitrate,100-200,1972,-4.4817,7,171
nitrate,100-200,1976,-5.4261,1,6
nitrate,100-200,1978,-0.6502,6,839
nitrate,100-200,1983,-6.1196,7,196
nitrate,100-200,1984,-1.3562,10,2054
nitrate,100-200,1985,-1.8336,3,592
nitrate,100-200,1986,-1.6591,4,520
nitrate,100-200,1987,-3.2648,2,402
nitrate,100-200,1988,0.6946,4,1053
nitrate,100-200,1989,0.3502,5,1420
nitrate,100-200,1990,-0.787,4,1064
nitrate,100-200,1991,-1.6441,4,956
nitrate,100-200,1992,-2.1029,4,1229
nitrate,100-200,1993,-2.4078,4,1348
nitrate,100-200,1994,-2.3704,4,1349
nitrate,100-200,1995,-2.8135,4,1644
nitrate,100-200,1996,-0.8769,4,1393
nitrate,100-200,1997,-1.0509,4,1233
nitrate,100-200,1998,-4.7522,3,1326
nitrate,100-200,1999,0.4564,4,1491
nitrate,100-200,2000,0.4516,4,1576
nitrate,100-200,2001,0.1265,4,1607
nitrate,100-200,2002,0.7966,4,1474
nitrate,100-200,2003,0.675,4,1579
nitrate,100-200,2004,0.6999,4,1408
nitrate,100-200,2005,1.0049,4,1513
nitrate,100-200,2006,1.0025,4,1438
nitrate,100-200,2007,0.8603,4,1362
nitrate,100-200,2008,1.8788,4,1316
nitrate,100-200,2009,0.9479,4,1166
nitrate,100-200,2010,0.7983,4,1034
nitrate,100-200,2011,1.8779,4,1324
nitrate,100-200,2012,2.1142,4,1214
nitrate,100-200,2013,0.7559,4,1340
nitrate,100-200,2014,-1.0745,4,1104
nitrate,100-200,2015,-1.6592,4,1272
nitrate,100-200,2016,-1.1015,4,1328
nitrate,100-200,2017,-0.2638,4,1281
nitrate,100-200,2018,-1.488,3,821
nitrate,100-200,2019,-2.4516,4,1008
nitrate,100-200,2020,-0.0313,3,971
nitrate,100-200,2021,1.8261,1,292
nitrate,200-500,1969,-0.0355,7,236
nitrate,200-500,1971,0.1696,1,16
nitrate,200-500,1972,-1.9191,7,158
nitrate,200-500,1976,-2.2973,1,11
nitrate,200-500,1978,0.1114,6,936
nitrate,200-500,1983,-2.4407,7,171
nitrate,200-500,1984,-0.423,10,1964
nitrate,200-500,1985,0.0026,3,487
nitrate,200-500,1986,-0.6467,4,391
nitrate,200-500,1987,-1.2982,2,357
nitrate,200-500,1988,0.3742,4,950
nitrate,200-500,1989,0.0493,5,1384
nitrate,200-500,1990,-0.7847,4,913
nitrate,200-500,1991,-1.4655,4,974
nitrate,200-500,1992,-1.4464,4,1219
nitrate,200-500,1993,-1.0963,4,1428
nitrate,200-500,1994,-0.9501,4,1541
nitrate,200-500,1995,-1.2084,4,1917
nitrate,200-500,1996,-0.3724,4,1547
nitrate,200-500,1997,-0.349,4,1437
nitrate,200-500,1998,-1.5199,3,1458
nitrate,200-500,1999,0.3241,4,1708
nitrate,200-500,2000,0.4172,4,1870
nitrate,200-500,2001,0.2969,4,1902
nitrate,200-500,2002,0.4118,4,1774
nitrate,200-500,2003,0.1053,4,1949
nitrate,200-500,2004,-0.215,4,1670
nitrate,200-500,2005,0.097,4,1799
nitrate,200-500,2006,0.2497,4,1754
nitrate,200-500,2007,0.3158,4,1647
nitrate,200-500,2008,0.4925,4,1697
nitrate,200-500,2009,0.1673,4,1351
nitrate,200-500,2010,0.3926,4,1129
nitrate,200-500,2011,0.9829,4,1438
nitrate,200-500,2012,1.1127,4,1262
nitrate,200-500,2013,0.4305,4,1430
nitrate,200-500,2014,-0.2844,4,1112
nitrate,200-500,2015,-0.7699,4,1321
nitrate,200-500,2016,-0.5431,4,1382
nitrate,200-500,2017,-0.0151,4,1283
nitrate,200-500,2018,-0.1848,3,790
nitrate,200-500,2019,-0.9284,4,999
nitrate,200-500,2020,-0.2768,3,1039
nitrate,200-500,2021,0.4304,1,304
nitrate,50-100,1969,-2.9092,8,321
nitrate,50-100,1971,1.7354,1,17
nitrate,50-100,1972,-4.0534,7,156
nitrate,50-100,1976,34.6513,1,7
nitrate,50-100,1978,-0.2418,6,732
nitrate,50-100,1983,-8.3355,7,189
nitrate,50-100,1984,-2.2094,10,1959
nitrate,50-100,1985,-2.115,3,689
nitrate,50-100,1986,-2.0367,4,613
nitrate,50-100,1987,-4.9171,3,524
nitrate,50-100,1988,-0.3181,5,1212
nitrate,50-100,1989,0.4107,5,1622
nitrate,50-100,1990,-1.789,4,1207
nitrate,50-100,1991,-1.6031,4,1116
nitrate,50-100,1992,-3.1991,4,1414
nitrate,50-100,1993,-2.331,4,1502
nitrate,50-100,1994,-2.289,4,1292
nitrate,50-100,1995,-1.9681,4,1425
nitrate,50-100,1996,-0.4603,4,1435
nitrate,50-100,1997,-1.7251,4,1140
nitrate,50-100,1998,-4.9929,3,1093
nitrate,50-100,1999,1.1721,4,1430
nitrate,50-100,2000,0.412,4,1413
nitrate,50-100,2001,-0.7221,4,1463
nitrate,50-100,2002,0.594,4,1411
nitrate,50-100,2003,0.7745,4,1452
nitrate,50-100,2004,0.7207,4,1335
nitrate,50-100,2005,0.3138,4,1412
nitrate,50-100,2006,0.706,4,1304
nitrate,50-100,2007,0.896,4,1255
nitrate,50-100,2008,2.4003,4,1300
nitrate,50-100,2009,0.7853,4,1122
nitrate,50-100,2010,0.7655,4,1026
nitrate,50-100,2011,1.9322,4,1280
nitrate,50-100,2012,1.3994,4,1172
nitrate,50-100,2013,0.5722,4,1261
nitrate,50-100,2014,-2.2473,4,1021
nitrate,50-100,2015,-3.276,4,985
nitrate,50-100,2016,-1.5734,4,1028
nitrate,50-100,2017,-0.6733,4,1036
nitrate,50-100,2018,-1.7536,3,607
nitrate,50-100,2019,-2.7275,4,742
nitrate,50-100,2020,-0.4518,3,676
nitrate,50-100,2021,1.9874,1,186
nitrate,500-1000,1969,-0.6436,3,26
nitrate,500-1000,1971,3.675,1,4
nitrate,500-1000,1972,-0.2781,7,32
nitrate,500-1000,1976,-0.68,1,2
nitrate,500-1000,1978,0.7617,6,136
nitrate,500-1000,1983,-1.1971,7,32
nitrate,500-1000,1984,0.7087,10,330
nitrate,500-1000,1985,1.1097,3,112
nitrate,500-1000,1986,0.2493,4,87
nitrate,500-1000,1987,0.4354,2,75
nitrate,500-1000,1988,0.6111,4,170
nitrate,500-1000,1989,0.405,5,246
nitrate,500-1000,1990,-0.0721,4,174
nitrate,500-1000,1991,-0.123,4,159
nitrate,500-1000,1992,-0.1398,4,188
nitrate,500-1000,1993,0.0332,4,220
nitrate,500-1000,1994,-0.0831,4,204
nitrate,500-1000,1995,-0.2833,4,224
nitrate,500-1000,1996,0.2171,4,230
nitrate,500-1000,1997,-0.0305,4,181
nitrate,500-1000,1998,-0.1951,3,177
nitrate,500-1000,1999,0.6124,4,253
nitrate,500-1000,2000,0.5067,4,225
nitrate,500-1000,2001,0.4339,4,240
nitrate,500-1000,2002,0.3282,4,238
nitrate,500-1000,2003,0.0114,4,227
nitrate,500-1000,2004,-0.3258,4,220
nitrate,500-1000,2005,-0.1892,4,227
nitrate,500-1000,2006,-0.231,4,204
nitrate,500-1000,2007,0.1659,4,205
nitrate,500-1000,2008,-0.4213,4,232
nitrate,500-1000,2009,-0.3057,4,183
nitrate,500-1000,2010,-0.0647,4,176
nitrate,500-1000,2011,-0.0539,4,218
nitrate,500-1000,2012,0.0499,4,199
nitrate,500-1000,2013,-0.3855,4,209
nitrate,500-1000,2014,-0.3992,4,179
nitrate,500-1000,2015,-0.6854,4,201
nitrate,500-1000,2016,-0.4856,4,212
nitrate,500-1000,2017,-0.215,4,217
nitrate,500-1000,2018,-0.3476,3,132
nitrate,500-1000,2019,-0.5975,4,168
nitrate,500-1000,2020,-0.2077,3,158
nitrate,500-1000,2021,0.4813,1,52
oxygen_umol_kg,0-10,1950,-13.8487,8,174
oxygen_umol_kg,0-10,1951,-18.2224,4,61
oxygen_umol_kg,0-10,1952,-8.8925,9,148
oxygen_umol_kg,0-10,1953,5.5325,9,150
oxygen_umol_kg,0-10,1955,0.936,2,77
oxygen_umol_kg,0-10,1956,7.3113,2,53
oxygen_umol_kg,0-10,1957,-18.0463,5,120
oxygen_umol_kg,0-10,1958,-9.4362,11,223
oxygen_umol_kg,0-10,1959,-15.9234,11,478
oxygen_umol_kg,0-10,1960,-10.3062,11,310
oxygen_umol_kg,0-10,1961,-5.1114,8,174
oxygen_umol_kg,0-10,1962,-6.2547,7,151
oxygen_umol_kg,0-10,1963,0.9305,7,119
oxygen_umol_kg,0-10,1964,4.5913,4,102
oxygen_umol_kg,0-10,1965,7.9677,4,101
oxygen_umol_kg,0-10,1966,0.4373,3,138
oxygen_umol_kg,0-10,1968,0.467,1,21
oxygen_umol_kg,0-10,1969,5.8881,9,134
oxygen_umol_kg,0-10,1971,14.7506,1,4
oxygen_umol_kg,0-10,1972,3.287,8,54
oxygen_umol_kg,0-10,1973,15.3149,1,1
oxygen_umol_kg,0-10,1974,6.8349,2,10
oxygen_umol_kg,0-10,1975,8.9258,5,36
oxygen_umol_kg,0-10,1976,1.9962,1,4
oxygen_umol_kg,0-10,1978,6.0604,6,303
oxygen_umol_kg,0-10,1982,7.465,1,50
oxygen_umol_kg,0-10,1983,-11.4311,8,83
oxygen_umol_kg,0-10,1984,-2.2231,10,629
oxygen_umol_kg,0-10,1985,0.2639,3,220
oxygen_umol_kg,0-10,1986,-0.8379,4,231
oxygen_umol_kg,0-10,1987,-11.39,3,172
oxygen_umol_kg,0-10,1988,-0.3619,5,390
oxygen_umol_kg,0-10,1989,2.0601,5,530
oxygen_umol_kg,0-10,1990,-1.4895,4,410
oxygen_umol_kg,0-10,1991,0.0939,4,389
oxygen_umol_kg,0-10,1992,-3.4406,4,529
oxygen_umol_kg,0-10,1993,-4.5424,4,584
oxygen_umol_kg,0-10,1994,-3.3985,4,527
oxygen_umol_kg,0-10,1995,-3.0319,4,575
oxygen_umol_kg,0-10,1996,-1.2112,4,698
oxygen_umol_kg,0-10,1997,-3.3287,4,464
oxygen_umol_kg,0-10,1998,-6.2668,7,577
oxygen_umol_kg,0-10,1999,3.3789,4,562
oxygen_umol_kg,0-10,2000,-0.6437,4,558
oxygen_umol_kg,0-10,2001,1.0624,4,570
oxygen_umol_kg,0-10,2002,3.9541,4,581
oxygen_umol_kg,0-10,2003,4.3364,4,602
oxygen_umol_kg,0-10,2004,-2.1193,4,597
oxygen_umol_kg,0-10,2005,6.1964,4,635
oxygen_umol_kg,0-10,2006,-0.5575,4,590
oxygen_umol_kg,0-10,2007,-1.4401,4,595
oxygen_umol_kg,0-10,2008,2.1382,4,612
oxygen_umol_kg,0-10,2009,3.6234,4,582
oxygen_umol_kg,0-10,2010,0.1663,4,523
oxygen_umol_kg,0-10,2011,2.7318,4,630
oxygen_umol_kg,0-10,2012,0.547,4,603
oxygen_umol_kg,0-10,2013,-5.5662,4,671
oxygen_umol_kg,0-10,2014,-7.5214,4,552
oxygen_umol_kg,0-10,2015,-11.4822,4,617
oxygen_umol_kg,0-10,2016,-8.266,4,654
oxygen_umol_kg,0-10,2017,-4.9929,4,619
oxygen_umol_kg,0-10,2018,-4.1906,3,398
oxygen_umol_kg,0-10,2019,-5.9008,4,550
oxygen_umol_kg,0-10,2020,-8.1141,3,463
oxygen_umol_kg,0-10,2021,-6.0481,1,166
oxygen_umol_kg,10-50,1950,-10.6255,8,559
oxygen_umol_kg,10-50,1951,-23.303,9,217
oxygen_umol_kg,10-50,1952,-1.2278,9,557
oxygen_umol_kg,10-50,1953,6.2715,9,522
oxygen_umol_kg,10-50,1955,-3.3702,2,347
oxygen_umol_kg,10-50,1956,4.19,2,198
oxygen_umol_kg,10-50,1957,-12.1228,5,440
oxygen_umol_kg,10-50,1958,-4.6032,11,804
oxygen_umol_kg,10-50,1959,-10.6148,11,1319
oxygen_umol_kg,10-50,1960,-6.7071,11,869
oxygen_umol_kg,10-50,1961,-4.6624,8,470
oxygen_umol_kg,10-50,1962,-5.971,7,455
oxygen_umol_kg,10-50,1963,4.1577,7,351
oxygen_umol_kg,10-50,1964,3.5823,4,282
oxygen_umol_kg,10-50,1965,9.2,4,302
oxygen_umol_kg,10-50,1966,3.2407,3,369
oxygen_umol_kg,10-50,1967,23.2407,1,3
oxygen_umol_kg,10-50,1968,7.1313,1,74
oxygen_umol_kg,10-50,1969,8.0186,9,343
oxygen_umol_kg,10-50,1971,8.3668,1,10
oxygen_umol_kg,10-50,1972,7.1893,8,143
oxygen_umol_kg,10-50,1973,21.2127,1,4
oxygen_umol_kg,10-50,1974,7.5865,2,21
oxygen_umol_kg,10-50,1975,11.4755,5,85
oxygen_umol_kg,10-50,1976,7.6542,1,9
oxygen_umol_kg,10-50,1978,-2.2262,6,924
oxygen_umol_kg,10-50,1982,4.2947,1,100
oxygen_umol_kg,10-50,1983,2.0294,8,224
oxygen_umol_kg,10-50,1984,6.2376,10,2148
oxygen_umol_kg,10-50,1985,6.4841,4,900
oxygen_umol_kg,10-50,1986,3.4486,4,815
oxygen_umol_kg,10-50,1987,27.3423,3,618
oxygen_umol_kg,10-50,1988,4.602,4,1431
oxygen_umol_kg,10-50,1989,6.7479,5,1939
oxygen_umol_kg,10-50,1990,6.5097,4,1494
oxygen_umol_kg,10-50,1991,5.0534,4,1339
oxygen_umol_kg,10-50,1992,3.6988,4,1627
oxygen_umol_kg,10-50,1993,-0.512,4,1675
oxygen_umol_kg,10-50,1994,1.1459,4,1370
oxygen_umol_kg,10-50,1995,-1.8413,4,1444
oxygen_umol_kg,10-50,1996,-2.8954,4,1638
