label,id,question,context,status,priority,proposed_answer,answer,asked_date,answered_date,who,related_table,related_field
Q12,mets_12,What is the column layout of 'Underway Data - SCS'?,"calcofi.org returns 403 Forbidden for the SCS pages, and no SCS example file was found anywhere in the full 73-cruise archive dump either. Out of scope for this ingest.",open,normal,,"CORRECTION to the earlier 'no example file exists anywhere': the underway page links {cruise}_SCS.txt for 9 cruises (2006-2008). They are simply not retrievable — every request 403s — so the schema is still unknown and SCS remains out of scope, but this is a permissions problem, not an absence. Ask CalCOFI to unblock /downloads/underway/*/*_SCS.txt.",,,Betty,mets_sample,*
Q13,mets_13,Should SCIMS and SCS both be ingested per cruise or does one supersede the other?,"Moot for SCS specifically (inaccessible, out of scope). SCIMS itself is in scope and ingested as its own schema (mets_schema_scims) -- no SCS rows exist to compare against.",open,normal,,"Still unanswerable: SCS files are linked but 403, so no SCIMS/SCS pair has ever been compared. The de-dup partitions on schema_variant so the two families could never be collapsed together even if both were ingested.",,2026-07-25,Betty,mets_sample,*
Q14,mets_14,"For 1207OS (2012), the site publishes only 'Raw Underway Data' with no other option -- what is its column layout, and is it the same schema as the single-TSG 'Final Underway Data' era that starts the same year (1203SH onward), or a distinct one-off format?","Resolved from bundled Underway_explantation.docx: single Seabird TSG 45, header-less CSV (date MM/DD/YYYY, time HH:MM:SS.sss, temp_C, conductivity S/m, salinity PSU). Two files (0702-03, 0709-30) are a split from a 7-day CTD-winch repair gap, not two schemas -- both share this format. Distinct from all Final-era schemas (no lat/lon, no TSG unit numbering).",answered,normal,,Confirmed via bundled docx -- see tbls_redefine.csv/flds_redefine.csv mets_schema_raw_2012.,,2026-07-26,Betty,mets_sample,*
Q18,mets_18,"How common is the 0903JD_UnderwayFinal.txt format (tab-separated, DATE_PST/TIME_PST/LA/LO/ST/SA/CAL_T/CAL_S) across other cruises -- was this a one-off for 0903JD, or does it appear elsewhere in the archive under a different filename?","Only found once, inside a nested zip for 0903JD (2009); no other cruise in the 73-cruise archive matched this exact column signature by filename pattern.",open,normal,,,,,,mets_sample,*
Q19,mets_19,Is DATE_PST/TIME_PST in the 0903JD file fixed -8:00 (PST year-round) or DST-aware (PST/PDT depending on date)?,"Needed to convert to UTC correctly; the cruise (7-24 Mar 2009) is in standard time so -8:00 applies here specifically, but the general convention needs confirming before applying to any other PST-labeled file found later.",open,normal,,,,,,mets_sample,datetime_start_utc
Q20,mets_20,"The Longitude_W column carries values that are already signed negative in some schema eras (e.g. -117.xx) and unsigned positive in others (e.g. 117.xx) -- is the unsigned form a publishing error we should keep negating, or does it mean something else in those files?","Both conventions occur in the published files. 169,124 samples across 5 cruises carry longitudes of +117.18 to +124.91 while the other 2,002,040 are negative. Reflected coordinates match no CalCOFI grid cell, and the core obs projection filters on grid_key IS NOT NULL while the sample arm does not, so 2013-01-3322, 2013-04-3322, 2014-02-3322 and 2014-04-32I1 reached release v2026.08.08 as 11,762 underway samples with zero observations -- 1,728,548 measurements and 1,147,814 obs_mets_full rows behind them. 2015-10-32OC lost 1,441 samples inside an otherwise healthy cruise, which no cruise-level check can see.",proposed,high,"IMPLEMENTED (ingest_calcofi_mets.qmd, chunk fix_lon_sign): negate longitude where it is positive, not NaN, and between 110 and 130 -- the mirrored CalCOFI window -- immediately before add_point_geom(), then assert no positive longitude survives. We treat the unsigned form as a publishing artifact rather than asking first, because the alternative is not a place a CalCOFI ship has been: +117 to +125 E at 29-37 N is inland China and the Taiwan Strait. The guard is narrow on purpose, so a genuine eastern-hemisphere coordinate would fail the assertion instead of being silently reflected. Please confirm the unsigned files are an error at source and should be corrected there.",,,,,mets_sample,longitude
Q22,mets_22,Are WindSpeed/WindDir in the xlsx underway files true or relative (apparent) wind?,Carried through all 22 xlsx workbooks with no unit or reference documentation; matters for any air-sea flux use.,open,normal,,,,,,mets_sample,wind_speed_ms;wind_dir_deg
Q23,mets_23,One xlsx workbook carries BOTH TSG_Temp_2 and TSG_Temp2 (plus TSG_Cond_2 twice). Are these two physical sensors or a duplicated export?,"Found by taking the union of column names across all 22 workbooks. Mapped to distinct targets (tsg2_temp_c and tsg2b_temp_c) so nothing is silently overwritten, but only one of them is likely real.",open,normal,,,,,Betty,mets_sample,tsg2_temp_c;tsg2b_temp_c
Q25,mets_25,"What is the depth of the underway seawater intake, and does it differ by vessel?","mets_thin projects into the core obs table with depth recorded as surface (0 m), matching swfsc_cufes. Real hull intakes sit a few metres below the waterline and the offset likely varies by ship, which matters when underway SST/salinity is compared against CTD or bottle values at depth.",open,normal,,,,,Betty,mets_sample,depth_min_m;depth_max_m
Q17,mets_17,Is the date/time in the 1207OS Raw Underway files UTC or local (Pacific) time?,"Same UTC-vs-local question as mets_02, but this schema has no other timestamp field to cross-check against -- datetime_start_utc is derived directly from date_mdy+time_hms_ms with no fallback.",open,low,,Explicitly left open/unresolved -- decided not to extend the mets_02 PST assumption here since it's a different schema/vendor/era; not worth blocking on. Currently still treated as UTC (unchanged behavior).,,,Betty,mets_sample,datetime_start_utc
Q26,mets_26,"Is -99 a missing-value sentinel across the whole underway series (not just the bottom-depth columns), and is 65535 a second sentinel on the temperature channels?","Resolved for sw_ph in `obs`: 492 values at exactly -99 plus 2 near -72.15 were removed via the declared 6..9 bound. The supplemental obs_mets_full shows the same marker is pervasive — 14 channels reach exactly -99, including tsg1_density, tsg1_conductivity, tsg2_temp_c, tsg2_salinity_psu, tsg1_sound_velocity, tsg2_density, atm_pressure_slc_mb, tsg2_sound_velocity and 6 more. Separately, pred_temp_c and tsg2_temp_c both top out at 65,500 degC, which looks like a 16-bit 0xFFFF fill rather than a reading. The ingest's SENTINEL_99 list covers only bottom_depth_m/bottom_depth_mb_m, deliberately, because -99 is a real value for long_wave_rad and air temperature — which is why we are asking per channel rather than applying one rule to all.",proposed,high,Confirm -99 means missing for the channels listed (and 65535 for the temperatures); we will then declare a bound per channel — not a blanket -99 rule — so sensors where -99 is genuine keep their data.,,2026-08-08,,,mets_measurement,sw_ph
Q27,mets_27,What are the physically possible ranges for the 9 METS measurement types whose published values fall outside the range we believe is possible?,"Bounds are now declared for 7 METS types (tsg1_temp_c, atm_pressure_mb, wind_speed_ms, wind_dir_deg, air_temp_c, sss_psu, oxygen) and no published value violates them. The remaining 9 do not fit any range we can defend — tsg1_salinity_psu: observed -0.0080..45.59, 2 of 45,996 value(s) outside the proposed 0..45; chl_fluor: observed -0.1120..41.27, 102 of 41,493 value(s) (0.25% of the type) outside the proposed 0..100; sst_c: observed 0.0071..9895.00, 3 of 39,796 value(s) outside the proposed -2..40; uws_flow: observed -99.0000..51.95, 40 of 35,167 value(s) (0.11% of the type) outside the proposed 0..1000; rel_humidity_pct: observed 7.7650..120.00, 2,393 of 27,811 value(s) (8.6% of the type) outside the proposed 0..100; long_wave_rad: observed -263.2000..717.00, 666 of 26,104 value(s) (2.6% of the type) outside the proposed 0..2000; short_wave_rad: observed -28.5800..1456.00, 5,201 of 26,104 value(s) (20% of the type) outside the proposed 0..2000; par_surf: observed -22.9400..3479.00, 6 of 11,201 value(s) (0.054% of the type) outside the proposed 0..15000; bottom_depth_m: observed -69.6800..4506.00, 14 of 536 value(s) (2.6% of the type) outside the proposed 0..11000. sst_c reaching 9,895 degC and uws_flow -99 look like sentinels; short_wave_rad/long_wave_rad/par_surf going negative may be a legitimate night-time sensor offset, in which case tell us how negative is acceptable.",proposed,high,We have NOT applied a bound to these 9 — doing so before you confirm would delete published observations. Proposal: treat sst_c > 40 and uws_flow = -99 as missing; allow a small negative floor on the radiation channels (a value you specify); confirm whether bottom_depth_m is positive-down.,,2026-08-08,,,mets_measurement,measurement_value
Q28,calcofi_mets_28,"Some observations in this dataset resolve no CalCOFI grid cell. Are these positions genuinely off-grid (transit, historical stations outside the modern pattern), a coarser spatial notion with no point position, or a coordinate error?","  9,877 of    511,459 obs rows (1.93%) resolve no CalCOFI grid cell;  9,740 of those carry no latitude/longitude at all. These are now RELEASED rather than dropped. Are they off-grid positions (transit, historical stations), a coarser spatial notion (region-pooled), or a coordinate error?",open,normal,"Until v2026.08.10 these rows were DROPPED from `obs` entirely by a `WHERE grid_key IS NOT NULL` filter, while their sampling events stayed in `sample` — so the dataset silently lost them. They are now released with a NULL grid_key. We are not proposing to re-exclude them; we need to know which of the three cases applies so the metadata can say so. A coordinate error is the one that matters most: the sign-flipped Longitude_W on five CalCOFI cruises was invisible precisely because being off-grid removed the rows without a trace.",,,,,obs,grid_key
Q29,calcofi_mets_29,Can the CalCOFI METS (Underway TSG/Meteorology) dataset be licensed CC-BY-4.0?,license is empty; calcofi.org states no license anywhere on the underway data page. CC-BY-4.0 is proposed as the standard license for calcofi.org-hosted program data. Checked 2026-09-03.,proposed,normal,CC-BY-4.0,,,,Rasmus Swalethorp,dataset,license
Q30,calcofi_mets_30,Can Rasmus Swalethorp be recorded as the PI/contact for the CalCOFI METS dataset?,pi_names is empty; no PI is stated on the calcofi.org page. Checked 2026-09-03.,proposed,normal,Rasmus Swalethorp,,,,Rasmus Swalethorp,dataset,pi_names
