tbl_old,tbl_new,fld_old,fld_new,type_old,type_new,fld_description,units,notes,mutation
mets_schema_dual_tsg_b,mets_sample,Lat,latitude,numeric,double,Latitude,decimal_degrees,,
mets_schema_dual_tsg_b,mets_sample,Lon,longitude,numeric,double,Longitude,decimal_degrees,,
mets_schema_dual_tsg_b,mets_sample,COG,course_over_ground_deg,numeric,double,Course over ground,degrees,,
mets_schema_dual_tsg_b,mets_sample,SOG,speed_over_ground_kt,numeric,double,Speed over ground,knots,,
mets_schema_dual_tsg_b,mets_sample,BottomDepth,bottom_depth_m,numeric,double,Bottom depth (single-beam),m,"-99 sentinel for missing -- coerce to NULL",
mets_schema_dual_tsg_b,mets_sample,BottomDepth_MB,bottom_depth_mb_m,numeric,double,Bottom depth (multibeam),m,"-99 sentinel for missing -- coerce to NULL",
mets_schema_dual_tsg_b,mets_sample,USWFlow,uws_flow,numeric,double,Underway seawater flow rate,,confirm units (Lpm assumed) -- see questions.csv,
mets_schema_dual_tsg_b,mets_sample,PARSurf,par_surf,numeric,double,Surface photosynthetically active radiation,,confirm units -- see questions.csv,
mets_schema_dual_tsg_b,mets_sample,LongWaveRad,long_wave_rad,numeric,double,Longwave radiation,W/m2,,
mets_schema_dual_tsg_b,mets_sample,ShortWaveRad,short_wave_rad,numeric,double,Shortwave radiation,W/m2,,
mets_schema_dual_tsg_b,mets_sample,WindSpeed,wind_speed_ms,numeric,double,Wind speed,m/s,confirm true vs relative wind -- see questions.csv,
mets_schema_dual_tsg_b,mets_sample,WindDir,wind_dir_deg,numeric,double,Wind direction,degrees,confirm true vs relative wind -- see questions.csv,
mets_schema_dual_tsg_b,mets_sample,AirTemp,air_temp_c,numeric,double,Air temperature,deg_C,,
mets_schema_dual_tsg_b,mets_sample,AtmPress,atm_pressure_mb,numeric,double,Atmospheric pressure (ship level),mb,,
mets_schema_dual_tsg_b,mets_sample,AtmPress_SLC,atm_pressure_slc_mb,numeric,double,Atmospheric pressure (sea-level corrected),mb,confirm correction method -- see questions.csv,
mets_schema_dual_tsg_b,mets_sample,RelHum,rel_humidity_pct,numeric,double,Relative humidity,percent,,
mets_schema_dual_tsg_b,mets_sample,TSG_Temp,tsg1_temp_c,numeric,double,TSG unit 1 temperature (physical sensor unconfirmed -- see questions.csv mets_03),deg_C,,
mets_schema_dual_tsg_b,mets_sample,TSG_Cond,tsg1_conductivity,numeric,double,TSG unit 1 conductivity,S/m,,
mets_schema_dual_tsg_b,mets_sample,TSG_Sal,tsg1_salinity_psu,numeric,double,TSG unit 1 salinity,PSU,,
mets_schema_dual_tsg_b,mets_sample,TSG_Dens,tsg1_density,numeric,double,TSG unit 1 density,kg/m3,confirm sigma-t vs in-situ density -- see questions.csv,
mets_schema_dual_tsg_b,mets_sample,SoundVel,tsg1_sound_velocity,numeric,double,TSG unit 1 sound velocity,m/s,,
mets_schema_dual_tsg_b,mets_sample,TSG_Temp_2,tsg2_temp_c,numeric,double,TSG unit 2 temperature (physical sensor unconfirmed -- see questions.csv mets_03),deg_C,,
mets_schema_dual_tsg_b,mets_sample,TSG_Sal_2,tsg2_salinity_psu,numeric,double,TSG unit 2 salinity,PSU,,
mets_schema_dual_tsg_b,mets_sample,TSG_Dens_2,tsg2_density,numeric,double,TSG unit 2 density,kg/m3,confirm sigma-t vs in-situ density -- see questions.csv,
mets_schema_dual_tsg_b,mets_sample,SoundVel_2,tsg2_sound_velocity,numeric,double,TSG unit 2 sound velocity,m/s,,
mets_schema_dual_tsg_b,mets_sample,SSTemp,sst_c,numeric,double,Sea surface temperature (independent sensor),deg_C,mostly null in sample rows checked -- confirm sensor -- see questions.csv,
mets_schema_dual_tsg_b,mets_sample,SW_pH,sw_ph,numeric,double,Seawater pH,,confirm scale (total vs seawater) -- see questions.csv,
mets_schema_dual_tsg_b,mets_sample,Oxygen,oxygen,numeric,double,Dissolved oxygen,,confirm units (mL/L vs umol/kg) -- see questions.csv,
mets_schema_dual_tsg_b,mets_sample,OxygenSat,oxygen_sat_pct,numeric,double,Dissolved oxygen saturation,percent,,
mets_schema_dual_tsg_b,mets_sample,OxygenTemp,oxygen_temp_c,numeric,double,Oxygen sensor temperature,deg_C,,
mets_schema_dual_tsg_b,mets_sample,ChlFluor,chl_fluor,numeric,double,Chlorophyll fluorescence (relative),,confirm units/calibration -- see questions.csv,
mets_schema_dual_tsg_b,mets_sample,Pred_TSGTemp,pred_temp_c,numeric,double,Model-predicted temperature,deg_C,confirm prediction method/source -- see questions.csv,
mets_schema_dual_tsg_b,mets_sample,Pred_TSGSal,pred_sal_psu,numeric,double,Model-predicted salinity,PSU,confirm prediction method/source -- see questions.csv,
mets_schema_dual_tsg_b,mets_sample,Pred_Chl,pred_chl,numeric,double,Model-predicted chlorophyll,,confirm prediction method/source -- see questions.csv,
mets_schema_raw_2012,mets_sample,col_1,date_mdy,character,varchar,Date (MM/DD/YYYY),,"header-less file; combine with col_2 to derive datetime_start_utc",
mets_schema_raw_2012,mets_sample,col_2,time_hms_ms,character,varchar,Time (HH:MM:SS.sss),,"header-less file; combine with col_1 to derive datetime_start_utc",
mets_schema_raw_2012,mets_sample,col_3,tsg1_temp_c,numeric,double,TSG (Seabird 45) temperature,deg_C,,
mets_schema_raw_2012,mets_sample,col_4,tsg1_conductivity,numeric,double,TSG (Seabird 45) conductivity,S/m,,
mets_schema_raw_2012,mets_sample,col_5,tsg1_salinity_psu,numeric,double,TSG (Seabird 45) salinity,PSU,,
mets_schema_scims,mets_sample,col_1,date_ymd,numeric,integer,"Date, format YYYYMMDD (assumed)",,"header-less file -- column identity unconfirmed, see questions.csv",
mets_schema_scims,mets_sample,col_2,time_hms,numeric,integer,"Time, format HHMMSS (assumed)",,"header-less file -- column identity unconfirmed, see questions.csv",
mets_schema_scims,mets_sample,col_3,unknown_counter,numeric,integer,Unidentified integer counter,,"does not match elapsed-seconds-since-midnight from col_2 in either of two confirmed examples (0501NH, 0511NH) -- see questions.csv",
mets_schema_scims,mets_sample,col_4,latitude,numeric,double,Latitude (assumed by position/range),decimal_degrees,"header-less file -- column identity unconfirmed, see questions.csv",
mets_schema_scims,mets_sample,col_5,longitude,numeric,double,Longitude (assumed by position/range),decimal_degrees,"header-less file -- column identity unconfirmed, see questions.csv",
mets_schema_scims,mets_sample,col_6,unknown_measurement_1,numeric,double,"Unidentified measurement (candidate: temperature; range ~13-19 across 0501NH/0511NH examples)",,"header-less file -- column identity unconfirmed, see questions.csv",
mets_schema_scims,mets_sample,col_7,unknown_measurement_2,numeric,double,"Unidentified measurement (candidate: conductivity/salinity; range ~1.3-2.6 across examples)",,"header-less file -- column identity unconfirmed, see questions.csv",
mets_schema_scims,mets_sample,col_8,unknown_measurement_3,numeric,double,"Unidentified measurement (range ~0.026-0.3 across examples)",,"header-less file -- column identity unconfirmed, see questions.csv",
mets_schema_scims,mets_sample,col_9,unknown_measurement_4,numeric,double,"Unidentified measurement (candidate: fluorescence; range ~0.2-0.76 across examples)",,"header-less file -- column identity unconfirmed, see questions.csv",
mets_schema_final_txt_pst,mets_sample,DATE_PST,date_pst,character,varchar,Date (Pacific time),,"combine with TIME_PST to derive datetime_start_utc (needs PST->UTC conversion)",
mets_schema_final_txt_pst,mets_sample,TIME_PST,time_pst,character,varchar,Time (Pacific time),,"combine with DATE_PST to derive datetime_start_utc (needs PST->UTC conversion)",
mets_schema_final_txt_pst,mets_sample,LA,latitude,numeric,double,Latitude,decimal_degrees,,
mets_schema_final_txt_pst,mets_sample,LO,longitude,numeric,double,Longitude,decimal_degrees,,
mets_schema_final_txt_pst,mets_sample,ST,tsg1_temp_c,numeric,double,Sea temperature (raw),deg_C,confirm sensor/raw-vs-calibrated distinction vs CAL_T -- see questions.csv,
mets_schema_final_txt_pst,mets_sample,SA,tsg1_salinity_psu,numeric,double,Salinity (raw),PSU,confirm sensor/raw-vs-calibrated distinction vs CAL_S -- see questions.csv,
mets_schema_final_txt_pst,mets_sample,CAL_T,tsg1_temp_c_calibrated,numeric,double,Calibrated temperature,deg_C,,
mets_schema_final_txt_pst,mets_sample,CAL_S,tsg1_salinity_psu_calibrated,numeric,double,Calibrated salinity,PSU,,
mets_schema_final_csv_utc,mets_sample,DATE_TIME_UTC,datetime_start_utc,character,timestamp,Observation timestamp (UTC confirmed by column name),,,
mets_schema_final_csv_utc,mets_sample,DATE_UTC,,character,,Redundant with DATE_TIME_UTC,,dropped -- derivable from datetime_start_utc,
mets_schema_final_csv_utc,mets_sample,TIME_UTC,,character,,Redundant with DATE_TIME_UTC,,dropped -- derivable from datetime_start_utc,
mets_schema_final_csv_utc,mets_sample,Latitude_N,latitude,numeric,double,Latitude,decimal_degrees,,
mets_schema_final_csv_utc,mets_sample,Longitude_W,longitude,numeric,double,"Longitude (column name says _W but values are already signed negative -- e.g. -117.xx -- confirm sign convention isn't double-applied)",decimal_degrees,confirm sign handling -- see questions.csv,
mets_schema_final_csv_utc,mets_sample,SST_degC,sst_c,numeric,double,Sea surface temperature (raw),deg_C,,
mets_schema_final_csv_utc,mets_sample,Salinity_PSU,sss_psu,numeric,double,Sea surface salinity (raw),PSU,,
mets_schema_final_csv_utc,mets_sample,Fluor_UG/L,chl_fluor,numeric,double,Fluorescence,ug/L,already in calibrated units per column name -- resolves mets_06 for this schema,
mets_schema_final_csv_utc,mets_sample,Flowmeter_LPM,uws_flow,numeric,double,Underway seawater flow rate,L/min,resolves mets_05 (units) for this schema,
mets_schema_final_csv_utc,mets_sample,Corr_SST_degC,sst_c_corrected,numeric,double,Corrected sea surface temperature,deg_C,,
mets_schema_final_csv_utc,mets_sample,Corr_SAL_PSU,sss_psu_corrected,numeric,double,Corrected sea surface salinity,PSU,,
mets_schema_final_csv_utc,mets_sample,Est_CHLA_UG/L,pred_chl,numeric,double,Estimated chlorophyll-a,ug/L,,
