table,column,name_long,units,description_md
obs,,Observation,,"The occurrence-headline long table: one scalar measurement per row, environmental (`realm = 'env'`) and biological (`realm = 'bio'`) together. Biological taxon is the global `taxon_key`; sub-occurrence detail (length/stage bins, behavior) lives in `obs_attribute`, and event-level effort in `sample_measurement`."
obs,obs_id,Observation ID,,"Surrogate key, renumbered globally when the release concatenates the per-dataset shards."
obs,realm,Realm,,"`env` for physical/chemical measurements, `bio` for organism observations."
obs,dataset_key,Dataset Key,,Provenance stamp: `provider_dataset`.
obs,sample_key,Sample Key,,The sampling event this observation came from; joins `sample`.
obs,grid_key,Grid Key,,"CalCOFI station grid cell, denormalized from `sample` so rollups need no join. NULL for region-pooled data."
obs,cruise_key,Cruise Key,,"Cruise, denormalized from `sample` so rollups need no join."
obs,latitude,Latitude,decimal degrees,Observation latitude (WGS84).
obs,longitude,Longitude,decimal degrees,Observation longitude (WGS84).
obs,datetime,Datetime,,Observation time (UTC). NULL for region-pooled data with no event time.
obs,depth_min_m,Depth Min,m,Shallowest depth this observation represents.
obs,depth_max_m,Depth Max,m,"Deepest depth this observation represents; equal to `depth_min_m` for point measurements (bottle, CTD scan)."
obs,taxon_key,Taxon Key,,"Global taxon key, `worms:<AphiaID>` or `itis:<TSN>` for birds. NULL for `env` rows. Joins `taxon`."
obs,life_stage,Life Stage,,"Life stage where the source resolves one (larva, adult, juvenile, egg, phyllosoma)."
obs,measurement_type,Measurement Type,,Measured quantity; joins the `measurement_type` vocabulary.
obs,measurement_value,Measurement Value,,"The measured value, in the units `measurement_type` declares."
obs,measurement_qual,Measurement Qualifier,,"Source quality flag, verbatim."
obs,measurement_prec,Measurement Precision,,Source-reported precision where available.
obs,hex_id,Hex ID,,"H3 cell at resolution 10, stored as UBIGINT. Aggregate coarser at query time with `h3_cell_to_parent(hex_id, res)` — there is no per-resolution column ladder."
obs_attribute,,Observation Attribute,,"Sub-occurrence attribution: the breakdown *within* an `obs` headline row. Covers numeric frequency distributions (length bins, stage numbers) and categorical breakdowns (seabird behavior). Counts here sum to the headline where the source is internally consistent."
obs_attribute,obs_attribute_id,Observation Attribute ID,,Surrogate key.
obs_attribute,dataset_key,Dataset Key,,Provenance stamp: `provider_dataset`.
obs_attribute,sample_key,Sample Key,,The sampling event; joins `sample`.
obs_attribute,taxon_key,Taxon Key,,Global taxon key; joins `taxon`.
obs_attribute,life_stage,Life Stage,,Life stage the attribution applies to.
obs_attribute,measurement_type,Measurement Type,,"The attribute being broken down: `body_length`, `stage` or `behavior`."
obs_attribute,bin_value,Bin Value,,"Numeric bin — length in mm, stage number. NULL for categorical attributes."
obs_attribute,bin_label,Bin Label,,"Category label — stage description, behavior name. NULL for purely numeric bins."
obs_attribute,count,Count,individuals,Number of individuals in this bin.
obs_attribute,measurement_qual,Measurement Qualifier,,"Source quality flag, verbatim."
sample_measurement,,Sample Measurement,,"Event-level (effort) measurements: quantities that describe the sampling event itself rather than anything observed in it — net volume filtered, standard haul factor, proportion sorted, bottle cast conditions. Kept apart from `obs` so effort is never mistaken for an observation."
sample_measurement,sample_measurement_id,Sample Measurement ID,,Surrogate key.
sample_measurement,sample_key,Sample Key,,The sampling event this effort measurement describes; joins `sample`.
sample_measurement,dataset_key,Dataset Key,,Provenance stamp: `provider_dataset`.
sample_measurement,measurement_type,Measurement Type,,Measured quantity; joins the `measurement_type` vocabulary.
sample_measurement,measurement_value,Measurement Value,,"The measured value, in the units `measurement_type` declares."
sample_measurement,measurement_qual,Measurement Qualifier,,"Source quality flag, verbatim."
obs_ctd_full,,Observation (Full CTD),,"Supplemental full-resolution CTD scans, identical in shape to `obs`. Excluded from the default table list and the ERD because of its size; opt in with `cc_get_db(supplemental = TRUE)`. The default `obs` carries CTD via the adaptively thinned `ctd_thin`."
taxon,,Taxon,,"One authoritative row per taxon, keyed by `taxon_key` = `worms:<AphiaID>` (or `itis:<TSN>` for birds). Replaces the per-dataset taxon tables; duplicates across datasets collapse to one row, with names and lineage coalesced by source priority."
taxon,taxon_key,Taxon Key,,"Global taxon key: lowercase authority prefix plus id, `worms:127023` or `itis:176754`."
taxon,worms_id,WoRMS ID,,WoRMS AphiaID.
taxon,itis_id,ITIS ID,,ITIS Taxonomic Serial Number.
taxon,gbif_id,GBIF ID,,GBIF backbone taxon key.
taxon,ncbi_id,NCBI ID,,NCBI Taxonomy id.
taxon,inat_id,iNaturalist ID,,iNaturalist taxon id.
taxon,scientific_name,Scientific Name,,Accepted scientific name.
taxon,common_name,Common Name,,Common name where one is recorded.
taxon,rank,Rank,,Taxonomic rank.
taxon,rank_order,Rank Order,,Ordinal for sorting ranks from kingdom down.
taxon,taxonomic_status,Taxonomic Status,,"WoRMS status (accepted, unaccepted, ...)."
taxon,parent_taxon_key,Parent Taxon Key,,Lineage parent; walk this to expand a taxon to its descendants.
taxon,kingdom,Kingdom,,Kingdom.
taxon,phylum,Phylum,,Phylum.
taxon,class,Class,,Class.
taxon,order_taxon,Order,,Order (named `order_taxon` because `order` is a SQL keyword).
taxon,family,Family,,Family.
dataset_taxon,,Dataset Taxon,,"Crosswalk from each dataset's own taxon vocabulary to the global `taxon_key`. `obs` resolves its taxon by joining this on (`dataset_key`, `ds_taxa_code`), so a dataset can keep its local codes without leaking them into the shared model."
dataset_taxon,ds_taxon_key,Dataset Taxon Key,,"Key of this crosswalk row, `<dataset-or-known-list>:<local code>`."
dataset_taxon,dataset_key,Dataset Key,,The dataset whose vocabulary this row belongs to.
dataset_taxon,taxon_key,Taxon Key,,The global taxon it resolves to; joins `taxon`.
dataset_taxon,ds_scientific_name,Dataset Scientific Name,,Scientific name as the source dataset spells it.
dataset_taxon,ds_common_name,Dataset Common Name,,Common name as the source dataset spells it.
dataset_taxon,ds_taxa_code,Dataset Taxa Code,,"The dataset's own code, as stored on its measurement rows."
taxon_group,,Taxon Group,,"Portable groupings of taxa (phytoplankton functional groups, seabirds, marine mammals). Many taxa per group; a taxon may belong to several."
taxon_group,taxon_group_key,Taxon Group Key,,"Group key, `<dataset-or-known-list>:<group>`."
taxon_group,description,Description,,Human-readable description of the group.
taxon_group,taxon_key,Taxon Key,,A member taxon; joins `taxon`.
