# metadata/measurement_chem.csv — one row per chemical entity behind a measurement key's face (D1-D2): role in
# the_thing | component | conjugate | method_product | one_of; via in nerc_s27 | registry. Columns: key, chebi_id, role, mass_fraction, via, source, source_url, note. Read with calcofi4db::read_measurement_chem(), appended with calcofi4db::register_measurement_chem() — never a bare write_csv().
key,chebi_id,role,mass_fraction,via,source,source_url,note
btl_chlorophyll_a,CHEBI:44898,method_product,,registry,acidification (the same analysis) strips the magnesium and turns chlorophyll a into pheophytin a (Lorenzen 1967); calcofi.org's Chlorophyll-a & Phaeopigment Sampling section,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/#:~:text=Chlorophyll-a%20%26%20Phaeopigment%20Sampling,what acid turns it into
btl_nitrate,CHEBI:17632,the_thing,,nerc_s27,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/NTRAZZXX/ -> S27 CS002879 owl:sameAs CHEBI:17632,http://vocab.nerc.ac.uk/collection/P01/current/NTRAZZXX/,
btl_nitrite,CHEBI:16301,the_thing,,nerc_s27,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/NTRIZZXX/ -> S27 CS002877 owl:sameAs CHEBI:16301,http://vocab.nerc.ac.uk/collection/P01/current/NTRIZZXX/,
btl_phaeopigment,CHEBI:44898,one_of,,registry,"NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/PHAEZZXX/ S27 CS002902 'phaeopigments' carries no ChEBI sameAs (a class, not one compound); pheophytin-a is the principal phaeopigment the acidification method measures (Lorenzen 1967)",http://vocab.nerc.ac.uk/collection/P01/current/PHAEZZXX/,one of several phaeopigments; the method cannot distinguish them
btl_phosphate,CHEBI:18367,the_thing,,nerc_s27,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/PHOSZZXX/ -> S27 CS026904 owl:sameAs CHEBI:18367,http://vocab.nerc.ac.uk/collection/P01/current/PHOSZZXX/,
btl_silicate,CHEBI:29241,the_thing,,nerc_s27,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/SLCAZZXX/ -> S27 CS026903 owl:sameAs CHEBI:29241,http://vocab.nerc.ac.uk/collection/P01/current/SLCAZZXX/,
chlorophyll_a,CHEBI:18230,the_thing,,nerc_s27,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/CPHLZZXX/ -> S27 CS002896 'chlorophyll-a' owl:sameAs CHEBI:18230,http://vocab.nerc.ac.uk/collection/P01/current/CPHLZZXX/,
chlorophyll_a,CHEBI:44898,method_product,,registry,acidification (the same analysis) strips the magnesium and turns chlorophyll a into pheophytin a (Lorenzen 1967); calcofi.org's Chlorophyll-a & Phaeopigment Sampling section,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/#:~:text=Chlorophyll-a%20%26%20Phaeopigment%20Sampling,what acid turns it into
dic,CHEBI:16526,component,,registry,"Dickson, Sabine & Christian (eds.) 2007, Guide to Best Practices for Ocean CO2 Measurements (PICES Special Publication 3); speciation fraction is pH/T/S-dependent, computed at build (PyCO2SYS) from the record's own DIC and alkalinity, never a fixed value here",https://doi.org/10.25607/OBP-1342,CO2(aq)
dic,CHEBI:17544,component,,registry,"Dickson, Sabine & Christian (eds.) 2007, Guide to Best Practices for Ocean CO2 Measurements (PICES Special Publication 3); speciation fraction is pH/T/S-dependent, computed at build (PyCO2SYS) from the record's own DIC and alkalinity, never a fixed value here",https://doi.org/10.25607/OBP-1342,HCO3-
dic,CHEBI:41609,component,,registry,"Dickson, Sabine & Christian (eds.) 2007, Guide to Best Practices for Ocean CO2 Measurements (PICES Special Publication 3); speciation fraction is pH/T/S-dependent, computed at build (PyCO2SYS) from the record's own DIC and alkalinity, never a fixed value here",https://doi.org/10.25607/OBP-1342,CO3^2-
dic_rep1,CHEBI:16526,component,,registry,"Dickson, Sabine & Christian (eds.) 2007, Guide to Best Practices for Ocean CO2 Measurements (PICES Special Publication 3); speciation fraction is pH/T/S-dependent, computed at build (PyCO2SYS) from the record's own DIC and alkalinity, never a fixed value here",https://doi.org/10.25607/OBP-1342,CO2(aq)
dic_rep1,CHEBI:17544,component,,registry,"Dickson, Sabine & Christian (eds.) 2007, Guide to Best Practices for Ocean CO2 Measurements (PICES Special Publication 3); speciation fraction is pH/T/S-dependent, computed at build (PyCO2SYS) from the record's own DIC and alkalinity, never a fixed value here",https://doi.org/10.25607/OBP-1342,HCO3-
dic_rep1,CHEBI:41609,component,,registry,"Dickson, Sabine & Christian (eds.) 2007, Guide to Best Practices for Ocean CO2 Measurements (PICES Special Publication 3); speciation fraction is pH/T/S-dependent, computed at build (PyCO2SYS) from the record's own DIC and alkalinity, never a fixed value here",https://doi.org/10.25607/OBP-1342,CO3^2-
nitrate,CHEBI:17632,the_thing,,nerc_s27,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/NTRAZZXX/ -> S27 CS002879 owl:sameAs CHEBI:17632,http://vocab.nerc.ac.uk/collection/P01/current/NTRAZZXX/,
nitrite,CHEBI:16301,the_thing,,nerc_s27,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/NTRIZZXX/ -> S27 CS002877 owl:sameAs CHEBI:16301,http://vocab.nerc.ac.uk/collection/P01/current/NTRIZZXX/,
oxygen_btl_ml_l,CHEBI:15379,the_thing,,nerc_s27,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/ -> S27 CS002779 'oxygen' owl:sameAs CHEBI:15379,http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/,
oxygen_btl_umol_kg,CHEBI:15379,the_thing,,nerc_s27,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/DOXMZZXX/ -> S27 CS002779 'oxygen' owl:sameAs CHEBI:15379,http://vocab.nerc.ac.uk/collection/P01/current/DOXMZZXX/,
oxygen_ml_l,CHEBI:15379,the_thing,,nerc_s27,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/ -> S27 CS002779 'oxygen' owl:sameAs CHEBI:15379,http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/,
oxygen_ml_l_1,CHEBI:15379,the_thing,,nerc_s27,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/ -> S27 CS002779 'oxygen' owl:sameAs CHEBI:15379,http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/,
oxygen_ml_l_1_cruise_corr,CHEBI:15379,the_thing,,nerc_s27,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/ -> S27 CS002779 'oxygen' owl:sameAs CHEBI:15379,http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/,
oxygen_ml_l_1_sta_corr,CHEBI:15379,the_thing,,nerc_s27,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/ -> S27 CS002779 'oxygen' owl:sameAs CHEBI:15379,http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/,
oxygen_ml_l_2,CHEBI:15379,the_thing,,nerc_s27,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/ -> S27 CS002779 'oxygen' owl:sameAs CHEBI:15379,http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/,
oxygen_ml_l_2_cruise_corr,CHEBI:15379,the_thing,,nerc_s27,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/ -> S27 CS002779 'oxygen' owl:sameAs CHEBI:15379,http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/,
oxygen_ml_l_2_sta_corr,CHEBI:15379,the_thing,,nerc_s27,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/ -> S27 CS002779 'oxygen' owl:sameAs CHEBI:15379,http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/,
oxygen_umol_kg,CHEBI:15379,the_thing,,nerc_s27,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/DOXMZZXX/ -> S27 CS002779 'oxygen' owl:sameAs CHEBI:15379,http://vocab.nerc.ac.uk/collection/P01/current/DOXMZZXX/,
oxygen_umol_kg_1,CHEBI:15379,the_thing,,nerc_s27,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/DOXMZZXX/ -> S27 CS002779 'oxygen' owl:sameAs CHEBI:15379,http://vocab.nerc.ac.uk/collection/P01/current/DOXMZZXX/,
oxygen_umol_kg_2,CHEBI:15379,the_thing,,nerc_s27,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/DOXMZZXX/ -> S27 CS002779 'oxygen' owl:sameAs CHEBI:15379,http://vocab.nerc.ac.uk/collection/P01/current/DOXMZZXX/,
phaeopigment,CHEBI:44898,one_of,,registry,"NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/PHAEZZXX/ S27 CS002902 'phaeopigments' carries no ChEBI sameAs (a class, not one compound); pheophytin-a is the principal phaeopigment the acidification method measures (Lorenzen 1967)",http://vocab.nerc.ac.uk/collection/P01/current/PHAEZZXX/,one of several phaeopigments; the method cannot distinguish them
phosphate,CHEBI:18367,the_thing,,nerc_s27,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/PHOSZZXX/ -> S27 CS026904 owl:sameAs CHEBI:18367,http://vocab.nerc.ac.uk/collection/P01/current/PHOSZZXX/,
r_ammonium,CHEBI:16134,conjugate,,registry,"conjugate base of ammonium (NH4+ <=> NH3); the Berthelot reaction the method uses forms indophenol blue from the neutral species in alkaline solution, so the equilibrium partner is drawn beside it",https://calcofi.org/sampling-info/methods/bottle-sampling-methods/,its conjugate base
r_ammonium,CHEBI:28938,the_thing,,nerc_s27,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/AMONZZXX/ -> S27 CS026908 'ammonium' owl:sameAs CHEBI:28938,http://vocab.nerc.ac.uk/collection/P01/current/AMONZZXX/,
r_oxygen_umol_kg,CHEBI:15379,the_thing,,nerc_s27,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/DOXMZZXX/ -> S27 CS002779 'oxygen' owl:sameAs CHEBI:15379,http://vocab.nerc.ac.uk/collection/P01/current/DOXMZZXX/,
salinity,CHEBI:15858,component,0.0019134,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Br- (bromide)
salinity,CHEBI:16189,component,0.0771319,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,SO4^2- (sulfate)
salinity,CHEBI:17544,component,0.0029805,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,HCO3- (bicarbonate)
salinity,CHEBI:17996,component,0.5503396,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Cl- (chloride)
salinity,CHEBI:18420,component,0.0365055,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Mg2+ (magnesium)
salinity,CHEBI:29101,component,0.3065958,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Na+ (sodium)
salinity,CHEBI:29103,component,0.0113495,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,K+ (potassium)
salinity,CHEBI:29108,component,0.0117186,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Ca2+ (calcium)
salinity_1,CHEBI:15858,component,0.0019134,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Br- (bromide)
salinity_1,CHEBI:16189,component,0.0771319,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,SO4^2- (sulfate)
salinity_1,CHEBI:17544,component,0.0029805,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,HCO3- (bicarbonate)
salinity_1,CHEBI:17996,component,0.5503396,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Cl- (chloride)
salinity_1,CHEBI:18420,component,0.0365055,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Mg2+ (magnesium)
salinity_1,CHEBI:29101,component,0.3065958,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Na+ (sodium)
salinity_1,CHEBI:29103,component,0.0113495,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,K+ (potassium)
salinity_1,CHEBI:29108,component,0.0117186,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Ca2+ (calcium)
salinity_1_corr,CHEBI:15858,component,0.0019134,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Br- (bromide)
salinity_1_corr,CHEBI:16189,component,0.0771319,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,SO4^2- (sulfate)
salinity_1_corr,CHEBI:17544,component,0.0029805,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,HCO3- (bicarbonate)
salinity_1_corr,CHEBI:17996,component,0.5503396,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Cl- (chloride)
salinity_1_corr,CHEBI:18420,component,0.0365055,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Mg2+ (magnesium)
salinity_1_corr,CHEBI:29101,component,0.3065958,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Na+ (sodium)
salinity_1_corr,CHEBI:29103,component,0.0113495,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,K+ (potassium)
salinity_1_corr,CHEBI:29108,component,0.0117186,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Ca2+ (calcium)
salinity_2,CHEBI:15858,component,0.0019134,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Br- (bromide)
salinity_2,CHEBI:16189,component,0.0771319,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,SO4^2- (sulfate)
salinity_2,CHEBI:17544,component,0.0029805,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,HCO3- (bicarbonate)
salinity_2,CHEBI:17996,component,0.5503396,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Cl- (chloride)
salinity_2,CHEBI:18420,component,0.0365055,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Mg2+ (magnesium)
salinity_2,CHEBI:29101,component,0.3065958,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Na+ (sodium)
salinity_2,CHEBI:29103,component,0.0113495,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,K+ (potassium)
salinity_2,CHEBI:29108,component,0.0117186,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Ca2+ (calcium)
salinity_2_corr,CHEBI:15858,component,0.0019134,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Br- (bromide)
salinity_2_corr,CHEBI:16189,component,0.0771319,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,SO4^2- (sulfate)
salinity_2_corr,CHEBI:17544,component,0.0029805,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,HCO3- (bicarbonate)
salinity_2_corr,CHEBI:17996,component,0.5503396,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Cl- (chloride)
salinity_2_corr,CHEBI:18420,component,0.0365055,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Mg2+ (magnesium)
salinity_2_corr,CHEBI:29101,component,0.3065958,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Na+ (sodium)
salinity_2_corr,CHEBI:29103,component,0.0113495,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,K+ (potassium)
salinity_2_corr,CHEBI:29108,component,0.0117186,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Ca2+ (calcium)
salinity_btl,CHEBI:15858,component,0.0019134,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Br- (bromide)
salinity_btl,CHEBI:16189,component,0.0771319,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,SO4^2- (sulfate)
salinity_btl,CHEBI:17544,component,0.0029805,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,HCO3- (bicarbonate)
salinity_btl,CHEBI:17996,component,0.5503396,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Cl- (chloride)
salinity_btl,CHEBI:18420,component,0.0365055,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Mg2+ (magnesium)
salinity_btl,CHEBI:29101,component,0.3065958,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Na+ (sodium)
salinity_btl,CHEBI:29103,component,0.0113495,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,K+ (potassium)
salinity_btl,CHEBI:29108,component,0.0117186,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Ca2+ (calcium)
salinity_pss78,CHEBI:15858,component,0.0019134,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Br- (bromide)
salinity_pss78,CHEBI:16189,component,0.0771319,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,SO4^2- (sulfate)
salinity_pss78,CHEBI:17544,component,0.0029805,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,HCO3- (bicarbonate)
salinity_pss78,CHEBI:17996,component,0.5503396,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Cl- (chloride)
salinity_pss78,CHEBI:18420,component,0.0365055,registry,"TEOS-10 Manual (IOC, SCOR & IAPSO 2010) Table D.3, mass fractions of Reference-Composition sea salt (Millero et al. 2008)",https://www.teos-10.org/pubs/TEOS-10_Manual.pdf,Mg2+ (magnesium)
