key,rank,kind,text,bibkeys,source_url,eov,goos_doc
oxygen_ml_l,4,goos,How large are the ocean’s “dead zones” and how fast are they changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l,5,goos,Is the biomass of the ocean changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l,6,wikipedia,Ocean deoxygenation,,https://en.wikipedia.org/wiki/Ocean_deoxygenation,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l,7,wikipedia,Hypoxia (environmental),,https://en.wikipedia.org/wiki/Hypoxia_(environmental),Oxygen,https://goosocean.org/document/17473
oxygen_umol_kg,1,authored,"Below the mixed layer off Southern California oxygen has fallen since the 1980s and the hypoxic boundary has risen toward the shelf, squeezing the habitat of fish and invertebrates.",bograd2008,,Oxygen,https://goosocean.org/document/17473
oxygen_umol_kg,2,authored,"Oxygen is the balance of what the ocean takes in at the surface and what animals and bacteria use below; a warmer ocean holds less and mixes less, so it is losing oxygen.",breitburg2018,,Oxygen,https://goosocean.org/document/17473
oxygen_umol_kg,3,authored,"Warming thins the oxygen the surface layer can hold, and the upper ocean has been losing it for decades across the North Pacific, not only here.",ito2017,,Oxygen,https://goosocean.org/document/17473
oxygen_umol_kg,4,goos,How large are the ocean’s “dead zones” and how fast are they changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
oxygen_umol_kg,5,goos,Is the biomass of the ocean changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
oxygen_umol_kg,6,wikipedia,Ocean deoxygenation,,https://en.wikipedia.org/wiki/Ocean_deoxygenation,Oxygen,https://goosocean.org/document/17473
oxygen_umol_kg,7,wikipedia,Hypoxia (environmental),,https://en.wikipedia.org/wiki/Hypoxia_(environmental),Oxygen,https://goosocean.org/document/17473
r_depth,1,authored,"Pressure is how a CTD knows where it is, and depth is where the story is: off Southern California oxygen, nitrate and phosphate have changed at different rates in each layer.",bograd2015,,,
r_depth,2,authored,"Every profile in the record is placed in the water column by its pressure, so a depth error moves a value into the wrong layer rather than losing it.",,,,
r_depth,3,wikipedia,Pressure,,https://en.wikipedia.org/wiki/Pressure,,
r_temperature,1,authored,"Temperature sets the water’s density, and so the layering that decides whether deep nutrients reach the sunlit surface; off California the warm years are El Niño years and marine heatwaves.",bond2015,,Subsurface temperature,https://goosocean.org/document/17467
r_temperature,2,authored,"A warm year off California is usually a lean one: warmer, more layered water brings fewer nutrients up, and the plankton the rest of the food web eats decline.",roemmich1995,,Subsurface temperature,https://goosocean.org/document/17467
r_temperature,3,wikipedia,Sea surface temperature,,https://en.wikipedia.org/wiki/Sea_surface_temperature,Subsurface temperature,https://goosocean.org/document/17467
r_temperature,4,wikipedia,Marine heatwave,,https://en.wikipedia.org/wiki/Marine_heatwave,Subsurface temperature,https://goosocean.org/document/17467
r_dynamic_height,1,authored,Dynamic height is the tilt of the sea surface the currents balance: mapped across the CalCOFI grid it is how the California Current and the Undercurrent were first described season by season.,lynn1987,,,
r_dynamic_height,2,authored,"It is computed from temperature and salinity down a cast, so it carries whatever those two series carry.",,,,
r_dynamic_height,3,wikipedia,Geostrophic current,,https://en.wikipedia.org/wiki/Geostrophic_current,,
r_salinity_sva,1,authored,Dynamic height is the tilt of the sea surface the currents balance: mapped across the CalCOFI grid it is how the California Current and the Undercurrent were first described season by season.,lynn1987,,,
r_salinity_sva,2,authored,"It is computed from temperature and salinity down a cast, so it carries whatever those two series carry.",,,,
r_salinity_sva,3,wikipedia,Geostrophic current,,https://en.wikipedia.org/wiki/Geostrophic_current,,
pressure,1,authored,"Pressure is how a CTD knows where it is, and depth is where the story is: off Southern California oxygen, nitrate and phosphate have changed at different rates in each layer.",bograd2015,,,
pressure,2,authored,"Every profile in the record is placed in the water column by its pressure, so a depth error moves a value into the wrong layer rather than losing it.",,,,
pressure,3,wikipedia,Pressure,,https://en.wikipedia.org/wiki/Pressure,,
salinity_1,1,authored,Salinity tags the water masses: the California Current carries fresher Subarctic water south and the Undercurrent carries saltier water from the south; with temperature it sets density.,lynn1987,,Subsurface salinity,https://goosocean.org/document/17471
salinity_1,2,authored,"Salinity and temperature together set seawater’s density, which drives the currents and decides how deep winter mixing reaches.",,,Subsurface salinity,https://goosocean.org/document/17471
salinity_1,3,wikipedia,Salinity,,https://en.wikipedia.org/wiki/Salinity,Subsurface salinity,https://goosocean.org/document/17471
salinity_1,4,wikipedia,Water mass,,https://en.wikipedia.org/wiki/Water_mass,Subsurface salinity,https://goosocean.org/document/17471
oxygen_saturation,1,authored,"Below the mixed layer off Southern California oxygen has fallen since the 1980s and the hypoxic boundary has risen toward the shelf, squeezing the habitat of fish and invertebrates.",bograd2008,,Oxygen,https://goosocean.org/document/17473
oxygen_saturation,2,authored,"Saturation says whether the water holds more or less oxygen than the air would give it at that temperature, so it separates warming from breathing.",,,Oxygen,https://goosocean.org/document/17473
oxygen_saturation,3,authored,"Oxygen is the balance of what the ocean takes in at the surface and what animals and bacteria use below; a warmer ocean holds less and mixes less, so it is losing oxygen.",breitburg2018,,Oxygen,https://goosocean.org/document/17473
oxygen_saturation,4,authored,"Warming thins the oxygen the surface layer can hold, and the upper ocean has been losing it for decades across the North Pacific, not only here.",ito2017,,Oxygen,https://goosocean.org/document/17473
oxygen_saturation,5,goos,How large are the ocean’s “dead zones” and how fast are they changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
oxygen_saturation,6,goos,Is the biomass of the ocean changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
oxygen_saturation,7,wikipedia,Ocean deoxygenation,,https://en.wikipedia.org/wiki/Ocean_deoxygenation,Oxygen,https://goosocean.org/document/17473
oxygen_saturation,8,wikipedia,Hypoxia (environmental),,https://en.wikipedia.org/wiki/Hypoxia_(environmental),Oxygen,https://goosocean.org/document/17473
r_oxygen_umol_kg,1,authored,"Below the mixed layer off Southern California oxygen has fallen since the 1980s and the hypoxic boundary has risen toward the shelf, squeezing the habitat of fish and invertebrates.",bograd2008,,Oxygen,https://goosocean.org/document/17473
r_oxygen_umol_kg,2,authored,"Oxygen is the balance of what the ocean takes in at the surface and what animals and bacteria use below; a warmer ocean holds less and mixes less, so it is losing oxygen.",breitburg2018,,Oxygen,https://goosocean.org/document/17473
r_oxygen_umol_kg,3,authored,"Warming thins the oxygen the surface layer can hold, and the upper ocean has been losing it for decades across the North Pacific, not only here.",ito2017,,Oxygen,https://goosocean.org/document/17473
r_oxygen_umol_kg,4,goos,How large are the ocean’s “dead zones” and how fast are they changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
r_oxygen_umol_kg,5,goos,Is the biomass of the ocean changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
r_oxygen_umol_kg,6,wikipedia,Ocean deoxygenation,,https://en.wikipedia.org/wiki/Ocean_deoxygenation,Oxygen,https://goosocean.org/document/17473
r_oxygen_umol_kg,7,wikipedia,Hypoxia (environmental),,https://en.wikipedia.org/wiki/Hypoxia_(environmental),Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_1,1,authored,"Below the mixed layer off Southern California oxygen has fallen since the 1980s and the hypoxic boundary has risen toward the shelf, squeezing the habitat of fish and invertebrates.",bograd2008,,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_1,2,authored,"Oxygen is the balance of what the ocean takes in at the surface and what animals and bacteria use below; a warmer ocean holds less and mixes less, so it is losing oxygen.",breitburg2018,,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_1,3,authored,"Warming thins the oxygen the surface layer can hold, and the upper ocean has been losing it for decades across the North Pacific, not only here.",ito2017,,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_1,4,goos,How large are the ocean’s “dead zones” and how fast are they changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_1,5,goos,Is the biomass of the ocean changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_1,6,wikipedia,Ocean deoxygenation,,https://en.wikipedia.org/wiki/Ocean_deoxygenation,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_1,7,wikipedia,Hypoxia (environmental),,https://en.wikipedia.org/wiki/Hypoxia_(environmental),Oxygen,https://goosocean.org/document/17473
salinity_1_corr,1,authored,Salinity tags the water masses: the California Current carries fresher Subarctic water south and the Undercurrent carries saltier water from the south; with temperature it sets density.,lynn1987,,Subsurface salinity,https://goosocean.org/document/17471
salinity_1_corr,2,authored,"Salinity and temperature together set seawater’s density, which drives the currents and decides how deep winter mixing reaches.",,,Subsurface salinity,https://goosocean.org/document/17471
salinity_1_corr,3,wikipedia,Salinity,,https://en.wikipedia.org/wiki/Salinity,Subsurface salinity,https://goosocean.org/document/17471
salinity_1_corr,4,wikipedia,Water mass,,https://en.wikipedia.org/wiki/Water_mass,Subsurface salinity,https://goosocean.org/document/17471
oxygen_umol_kg_1,1,authored,"Below the mixed layer off Southern California oxygen has fallen since the 1980s and the hypoxic boundary has risen toward the shelf, squeezing the habitat of fish and invertebrates.",bograd2008,,Oxygen,https://goosocean.org/document/17473
oxygen_umol_kg_1,2,authored,"Oxygen is the balance of what the ocean takes in at the surface and what animals and bacteria use below; a warmer ocean holds less and mixes less, so it is losing oxygen.",breitburg2018,,Oxygen,https://goosocean.org/document/17473
oxygen_umol_kg_1,3,authored,"Warming thins the oxygen the surface layer can hold, and the upper ocean has been losing it for decades across the North Pacific, not only here.",ito2017,,Oxygen,https://goosocean.org/document/17473
oxygen_umol_kg_1,4,goos,How large are the ocean’s “dead zones” and how fast are they changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
oxygen_umol_kg_1,5,goos,Is the biomass of the ocean changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
oxygen_umol_kg_1,6,wikipedia,Ocean deoxygenation,,https://en.wikipedia.org/wiki/Ocean_deoxygenation,Oxygen,https://goosocean.org/document/17473
oxygen_umol_kg_1,7,wikipedia,Hypoxia (environmental),,https://en.wikipedia.org/wiki/Hypoxia_(environmental),Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_1_cruise_corr,1,authored,"Below the mixed layer off Southern California oxygen has fallen since the 1980s and the hypoxic boundary has risen toward the shelf, squeezing the habitat of fish and invertebrates.",bograd2008,,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_1_cruise_corr,2,authored,"Oxygen is the balance of what the ocean takes in at the surface and what animals and bacteria use below; a warmer ocean holds less and mixes less, so it is losing oxygen.",breitburg2018,,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_1_cruise_corr,3,authored,"Warming thins the oxygen the surface layer can hold, and the upper ocean has been losing it for decades across the North Pacific, not only here.",ito2017,,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_1_cruise_corr,4,goos,How large are the ocean’s “dead zones” and how fast are they changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_1_cruise_corr,5,goos,Is the biomass of the ocean changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_1_cruise_corr,6,wikipedia,Ocean deoxygenation,,https://en.wikipedia.org/wiki/Ocean_deoxygenation,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_1_cruise_corr,7,wikipedia,Hypoxia (environmental),,https://en.wikipedia.org/wiki/Hypoxia_(environmental),Oxygen,https://goosocean.org/document/17473
dynamic_height,1,authored,Dynamic height is the tilt of the sea surface the currents balance: mapped across the CalCOFI grid it is how the California Current and the Undercurrent were first described season by season.,lynn1987,,,
dynamic_height,2,authored,"It is computed from temperature and salinity down a cast, so it carries whatever those two series carry.",,,,
dynamic_height,3,wikipedia,Geostrophic current,,https://en.wikipedia.org/wiki/Geostrophic_current,,
oxygen_ml_l_1_sta_corr,1,authored,"Below the mixed layer off Southern California oxygen has fallen since the 1980s and the hypoxic boundary has risen toward the shelf, squeezing the habitat of fish and invertebrates.",bograd2008,,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_1_sta_corr,2,authored,"Oxygen is the balance of what the ocean takes in at the surface and what animals and bacteria use below; a warmer ocean holds less and mixes less, so it is losing oxygen.",breitburg2018,,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_1_sta_corr,3,authored,"Warming thins the oxygen the surface layer can hold, and the upper ocean has been losing it for decades across the North Pacific, not only here.",ito2017,,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_1_sta_corr,4,goos,How large are the ocean’s “dead zones” and how fast are they changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_1_sta_corr,5,goos,Is the biomass of the ocean changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_1_sta_corr,6,wikipedia,Ocean deoxygenation,,https://en.wikipedia.org/wiki/Ocean_deoxygenation,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_1_sta_corr,7,wikipedia,Hypoxia (environmental),,https://en.wikipedia.org/wiki/Hypoxia_(environmental),Oxygen,https://goosocean.org/document/17473
transmissometer,1,authored,"How far light travels through the water is set by the particles in it, most of them living or lately alive, so a clear cast and a turbid one are a statement about the plankton as much as about the light.",morel1988,,,
transmissometer,2,authored,"Beam attenuation is used as a stand-in for the particles the water carries, including the ones sinking out of the sunlit layer.",,,,
transmissometer,3,wikipedia,Transmissometer,,https://en.wikipedia.org/wiki/Transmissometer,,
beam_attenuation,1,authored,"How far light travels through the water is set by the particles in it, most of them living or lately alive, so a clear cast and a turbid one are a statement about the plankton as much as about the light.",morel1988,,,
beam_attenuation,2,authored,"Beam attenuation is used as a stand-in for the particles the water carries, including the ones sinking out of the sunlit layer.",,,,
beam_attenuation,3,wikipedia,Transmissometer,,https://en.wikipedia.org/wiki/Transmissometer,,
salinity_2,1,authored,Salinity tags the water masses: the California Current carries fresher Subarctic water south and the Undercurrent carries saltier water from the south; with temperature it sets density.,lynn1987,,Subsurface salinity,https://goosocean.org/document/17471
salinity_2,2,authored,"Salinity and temperature together set seawater’s density, which drives the currents and decides how deep winter mixing reaches.",,,Subsurface salinity,https://goosocean.org/document/17471
salinity_2,3,wikipedia,Salinity,,https://en.wikipedia.org/wiki/Salinity,Subsurface salinity,https://goosocean.org/document/17471
salinity_2,4,wikipedia,Water mass,,https://en.wikipedia.org/wiki/Water_mass,Subsurface salinity,https://goosocean.org/document/17471
salinity_2_corr,1,authored,Salinity tags the water masses: the California Current carries fresher Subarctic water south and the Undercurrent carries saltier water from the south; with temperature it sets density.,lynn1987,,Subsurface salinity,https://goosocean.org/document/17471
salinity_2_corr,2,authored,"Salinity and temperature together set seawater’s density, which drives the currents and decides how deep winter mixing reaches.",,,Subsurface salinity,https://goosocean.org/document/17471
salinity_2_corr,3,wikipedia,Salinity,,https://en.wikipedia.org/wiki/Salinity,Subsurface salinity,https://goosocean.org/document/17471
salinity_2_corr,4,wikipedia,Water mass,,https://en.wikipedia.org/wiki/Water_mass,Subsurface salinity,https://goosocean.org/document/17471
specific_volume_anomaly,1,authored,Dynamic height is the tilt of the sea surface the currents balance: mapped across the CalCOFI grid it is how the California Current and the Undercurrent were first described season by season.,lynn1987,,,
specific_volume_anomaly,2,authored,"It is computed from temperature and salinity down a cast, so it carries whatever those two series carry.",,,,
specific_volume_anomaly,3,wikipedia,Geostrophic current,,https://en.wikipedia.org/wiki/Geostrophic_current,,
oxygen_ml_l_2,1,authored,"Below the mixed layer off Southern California oxygen has fallen since the 1980s and the hypoxic boundary has risen toward the shelf, squeezing the habitat of fish and invertebrates.",bograd2008,,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_2,2,authored,"Oxygen is the balance of what the ocean takes in at the surface and what animals and bacteria use below; a warmer ocean holds less and mixes less, so it is losing oxygen.",breitburg2018,,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_2,3,authored,"Warming thins the oxygen the surface layer can hold, and the upper ocean has been losing it for decades across the North Pacific, not only here.",ito2017,,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_2,4,goos,How large are the ocean’s “dead zones” and how fast are they changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_2,5,goos,Is the biomass of the ocean changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_2,6,wikipedia,Ocean deoxygenation,,https://en.wikipedia.org/wiki/Ocean_deoxygenation,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_2,7,wikipedia,Hypoxia (environmental),,https://en.wikipedia.org/wiki/Hypoxia_(environmental),Oxygen,https://goosocean.org/document/17473
oxygen_umol_kg_2,1,authored,"Below the mixed layer off Southern California oxygen has fallen since the 1980s and the hypoxic boundary has risen toward the shelf, squeezing the habitat of fish and invertebrates.",bograd2008,,Oxygen,https://goosocean.org/document/17473
oxygen_umol_kg_2,2,authored,"Oxygen is the balance of what the ocean takes in at the surface and what animals and bacteria use below; a warmer ocean holds less and mixes less, so it is losing oxygen.",breitburg2018,,Oxygen,https://goosocean.org/document/17473
oxygen_umol_kg_2,3,authored,"Warming thins the oxygen the surface layer can hold, and the upper ocean has been losing it for decades across the North Pacific, not only here.",ito2017,,Oxygen,https://goosocean.org/document/17473
oxygen_umol_kg_2,4,goos,How large are the ocean’s “dead zones” and how fast are they changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
oxygen_umol_kg_2,5,goos,Is the biomass of the ocean changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
oxygen_umol_kg_2,6,wikipedia,Ocean deoxygenation,,https://en.wikipedia.org/wiki/Ocean_deoxygenation,Oxygen,https://goosocean.org/document/17473
oxygen_umol_kg_2,7,wikipedia,Hypoxia (environmental),,https://en.wikipedia.org/wiki/Hypoxia_(environmental),Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_2_cruise_corr,1,authored,"Below the mixed layer off Southern California oxygen has fallen since the 1980s and the hypoxic boundary has risen toward the shelf, squeezing the habitat of fish and invertebrates.",bograd2008,,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_2_cruise_corr,2,authored,"Oxygen is the balance of what the ocean takes in at the surface and what animals and bacteria use below; a warmer ocean holds less and mixes less, so it is losing oxygen.",breitburg2018,,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_2_cruise_corr,3,authored,"Warming thins the oxygen the surface layer can hold, and the upper ocean has been losing it for decades across the North Pacific, not only here.",ito2017,,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_2_cruise_corr,4,goos,How large are the ocean’s “dead zones” and how fast are they changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_2_cruise_corr,5,goos,Is the biomass of the ocean changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_2_cruise_corr,6,wikipedia,Ocean deoxygenation,,https://en.wikipedia.org/wiki/Ocean_deoxygenation,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_2_cruise_corr,7,wikipedia,Hypoxia (environmental),,https://en.wikipedia.org/wiki/Hypoxia_(environmental),Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_2_sta_corr,1,authored,"Below the mixed layer off Southern California oxygen has fallen since the 1980s and the hypoxic boundary has risen toward the shelf, squeezing the habitat of fish and invertebrates.",bograd2008,,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_2_sta_corr,2,authored,"Oxygen is the balance of what the ocean takes in at the surface and what animals and bacteria use below; a warmer ocean holds less and mixes less, so it is losing oxygen.",breitburg2018,,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_2_sta_corr,3,authored,"Warming thins the oxygen the surface layer can hold, and the upper ocean has been losing it for decades across the North Pacific, not only here.",ito2017,,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_2_sta_corr,4,goos,How large are the ocean’s “dead zones” and how fast are they changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_2_sta_corr,5,goos,Is the biomass of the ocean changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_2_sta_corr,6,wikipedia,Ocean deoxygenation,,https://en.wikipedia.org/wiki/Ocean_deoxygenation,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l_2_sta_corr,7,wikipedia,Hypoxia (environmental),,https://en.wikipedia.org/wiki/Hypoxia_(environmental),Oxygen,https://goosocean.org/document/17473
btl_depth,1,authored,"Pressure is how a CTD knows where it is, and depth is where the story is: off Southern California oxygen, nitrate and phosphate have changed at different rates in each layer.",bograd2015,,,
btl_depth,2,authored,"Every profile in the record is placed in the water column by its pressure, so a depth error moves a value into the wrong layer rather than losing it.",,,,
btl_depth,3,wikipedia,Pressure,,https://en.wikipedia.org/wiki/Pressure,,
salinity_btl,1,authored,Salinity tags the water masses: the California Current carries fresher Subarctic water south and the Undercurrent carries saltier water from the south; with temperature it sets density.,lynn1987,,Subsurface salinity,https://goosocean.org/document/17471
salinity_btl,2,authored,"Salinity and temperature together set seawater’s density, which drives the currents and decides how deep winter mixing reaches.",,,Subsurface salinity,https://goosocean.org/document/17471
salinity_btl,3,wikipedia,Salinity,,https://en.wikipedia.org/wiki/Salinity,Subsurface salinity,https://goosocean.org/document/17471
salinity_btl,4,wikipedia,Water mass,,https://en.wikipedia.org/wiki/Water_mass,Subsurface salinity,https://goosocean.org/document/17471
btl_temperature,1,authored,"Temperature sets the water’s density, and so the layering that decides whether deep nutrients reach the sunlit surface; off California the warm years are El Niño years and marine heatwaves.",bond2015,,Subsurface temperature,https://goosocean.org/document/17467
btl_temperature,2,authored,"A warm year off California is usually a lean one: warmer, more layered water brings fewer nutrients up, and the plankton the rest of the food web eats decline.",roemmich1995,,Subsurface temperature,https://goosocean.org/document/17467
btl_temperature,3,wikipedia,Sea surface temperature,,https://en.wikipedia.org/wiki/Sea_surface_temperature,Subsurface temperature,https://goosocean.org/document/17467
btl_temperature,4,wikipedia,Marine heatwave,,https://en.wikipedia.org/wiki/Marine_heatwave,Subsurface temperature,https://goosocean.org/document/17467
oxygen_btl_ml_l,1,authored,"Below the mixed layer off Southern California oxygen has fallen since the 1980s and the hypoxic boundary has risen toward the shelf, squeezing the habitat of fish and invertebrates.",bograd2008,,Oxygen,https://goosocean.org/document/17473
oxygen_btl_ml_l,2,authored,"Oxygen is the balance of what the ocean takes in at the surface and what animals and bacteria use below; a warmer ocean holds less and mixes less, so it is losing oxygen.",breitburg2018,,Oxygen,https://goosocean.org/document/17473
oxygen_btl_ml_l,3,authored,"Warming thins the oxygen the surface layer can hold, and the upper ocean has been losing it for decades across the North Pacific, not only here.",ito2017,,Oxygen,https://goosocean.org/document/17473
oxygen_btl_ml_l,4,goos,How large are the ocean’s “dead zones” and how fast are they changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
oxygen_btl_ml_l,5,goos,Is the biomass of the ocean changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
oxygen_btl_ml_l,6,wikipedia,Ocean deoxygenation,,https://en.wikipedia.org/wiki/Ocean_deoxygenation,Oxygen,https://goosocean.org/document/17473
oxygen_btl_ml_l,7,wikipedia,Hypoxia (environmental),,https://en.wikipedia.org/wiki/Hypoxia_(environmental),Oxygen,https://goosocean.org/document/17473
oxygen_btl_umol_kg,1,authored,"Below the mixed layer off Southern California oxygen has fallen since the 1980s and the hypoxic boundary has risen toward the shelf, squeezing the habitat of fish and invertebrates.",bograd2008,,Oxygen,https://goosocean.org/document/17473
oxygen_btl_umol_kg,2,authored,"Oxygen is the balance of what the ocean takes in at the surface and what animals and bacteria use below; a warmer ocean holds less and mixes less, so it is losing oxygen.",breitburg2018,,Oxygen,https://goosocean.org/document/17473
oxygen_btl_umol_kg,3,authored,"Warming thins the oxygen the surface layer can hold, and the upper ocean has been losing it for decades across the North Pacific, not only here.",ito2017,,Oxygen,https://goosocean.org/document/17473
oxygen_btl_umol_kg,4,goos,How large are the ocean’s “dead zones” and how fast are they changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
oxygen_btl_umol_kg,5,goos,Is the biomass of the ocean changing?,,https://goosocean.org/document/17473,Oxygen,https://goosocean.org/document/17473
oxygen_btl_umol_kg,6,wikipedia,Ocean deoxygenation,,https://en.wikipedia.org/wiki/Ocean_deoxygenation,Oxygen,https://goosocean.org/document/17473
oxygen_btl_umol_kg,7,wikipedia,Hypoxia (environmental),,https://en.wikipedia.org/wiki/Hypoxia_(environmental),Oxygen,https://goosocean.org/document/17473
tsg1_salinity_psu,1,authored,Salinity tags the water masses: the California Current carries fresher Subarctic water south and the Undercurrent carries saltier water from the south; with temperature it sets density.,lynn1987,,Subsurface salinity,https://goosocean.org/document/17471
tsg1_salinity_psu,2,authored,"The thermosalinograph runs while the ship steams, so it fills the track between the stations the casts are taken at.",,,Subsurface salinity,https://goosocean.org/document/17471
tsg1_salinity_psu,3,authored,"Salinity and temperature together set seawater’s density, which drives the currents and decides how deep winter mixing reaches.",,,Subsurface salinity,https://goosocean.org/document/17471
tsg1_salinity_psu,4,wikipedia,Salinity,,https://en.wikipedia.org/wiki/Salinity,Subsurface salinity,https://goosocean.org/document/17471
