from_table,from_column,to_table,to_column,scope,released
obs,cruise_key,cruise,cruise_key,cross,TRUE
obs,measurement_type,measurement_type,measurement_type,cross,TRUE
sample,parent_sample_key,sample,sample_key,cross,TRUE
sample,dataset_key,dataset,dataset_key,cross,TRUE
sample,grid_key,grid,grid_key,cross,TRUE
sample,cruise_key,cruise,cruise_key,cross,TRUE
obs_attribute,sample_key,sample,sample_key,cross,TRUE
obs_attribute,measurement_type,measurement_type,measurement_type,cross,TRUE
sample_measurement,sample_key,sample,sample_key,cross,TRUE
sample_measurement,dataset_key,dataset,dataset_key,cross,TRUE
sample_measurement,measurement_type,measurement_type,measurement_type,cross,TRUE
obs_ctd_full,sample_key,sample,sample_key,cross,TRUE
obs_ctd_full,dataset_key,dataset,dataset_key,cross,TRUE
obs_ctd_full,measurement_type,measurement_type,measurement_type,cross,TRUE
obs,taxon_key,taxon,taxon_key,cross,TRUE
obs_attribute,taxon_key,taxon,taxon_key,cross,TRUE
dataset_taxon,taxon_key,taxon,taxon_key,cross,TRUE
dataset_taxon,dataset_key,dataset,dataset_key,cross,TRUE
taxon_group,taxon_key,taxon,taxon_key,cross,TRUE
taxon,parent_taxon_key,taxon,taxon_key,cross,TRUE
sample_spatial,root_sample_key,sample,sample_key,cross,TRUE
sample_spatial,spatial_key,spatial,spatial_key,cross,TRUE
sample_root,root_sample_key,sample,sample_key,cross,TRUE
obs_bio,root_id,sample_root,root_id,cross,TRUE
obs_env,root_id,sample_root,root_id,cross,TRUE
obs_bio,sample_key,sample,sample_key,cross,TRUE
obs_env,sample_key,sample,sample_key,cross,TRUE
obs_bio,dataset_key,dataset,dataset_key,cross,TRUE
obs_env,dataset_key,dataset,dataset_key,cross,TRUE
obs_bio,grid_key,grid,grid_key,cross,TRUE
obs_env,grid_key,grid,grid_key,cross,TRUE
obs_bio,cruise_key,cruise,cruise_key,cross,TRUE
obs_env,cruise_key,cruise,cruise_key,cross,TRUE
obs_bio,measurement_type,measurement_type,measurement_type,cross,TRUE
obs_env,measurement_type,measurement_type,measurement_type,cross,TRUE
obs_bio,taxon_key,taxon,taxon_key,cross,TRUE
climatology,grid_key,grid,grid_key,cross,TRUE
climatology,measurement_type,measurement_type,measurement_type,cross,TRUE
climatology,dataset_key,dataset,dataset_key,cross,TRUE
sample,station_uuid,sample,source_uuid,cross,TRUE
spatial_attribute,spatial_key,spatial,spatial_key,cross,TRUE
obs_mets_full,dataset_key,dataset,dataset_key,cross,TRUE
obs_mets_full,measurement_type,measurement_type,measurement_type,cross,TRUE
obs_mets_full,cruise_key,cruise,cruise_key,cross,TRUE
obs_mets_full,grid_key,grid,grid_key,cross,TRUE
obs_ctd_full,cruise_key,cruise,cruise_key,cross,TRUE
obs_ctd_full,grid_key,grid,grid_key,cross,TRUE
sample_root,dataset_key,dataset,dataset_key,cross,TRUE
sample_root,cruise_key,cruise,cruise_key,cross,TRUE
sample_root,grid_key,grid,grid_key,cross,TRUE
sample_spatial,root_id,sample_root,root_id,cross,TRUE
cruise,ship_key,ship,ship_key,cross,TRUE
obs_attribute,dataset_key,dataset,dataset_key,cross,TRUE
