netid,cruise_ymd,ctdcruise,cast_count,nline,nstation,stline,ststa,acline,acsta,rptline,rptsta,ctdlat,ctdlon,nlat,nlon,bottomdepth,date,time,nettime
110,195101,195101,2296,126.7,50,126.7,50,127.4,51.4,126.7,50,26.233333,-115.15,26.233333,-115.15,3246,1951-01-20,17:06:00,1951-01-20 16:01:00+00
45,195101,195101,2229,100,60,100,60,99.5,61.3,100,60,30.725,-118.933333,30.725,-118.936666,2834,1951-01-14,11:12:00,1951-01-14 12:31:00+00
114,195101,195101,2300,130,50,130,50,129.9,50.6,130,50,25.825,-114.825,25.825,-114.828333,3749,1951-01-21,15:30:00,1951-01-21 14:22:00+00
31,195101,,,105,35,,,,,,,,,30.616666,-116.583333,,,,1951-01-09 18:16:00+00
46,195101,195101,2230,100,70,100,70,99.3,72,100,70,30.4,-119.666666,30.398333,-119.666666,3786,1951-01-14,18:24:00,1951-01-14 19:01:00+00
86,195101,195101,2273,113.3,35,113,35,113.3,35.3,113.3,35,29.2,-115.65,29.2,-115.65,988,1951-01-12,10:54:00,1951-01-12 09:25:00+00
6,195101,195101,2318,86.7,90,86.7,90,86.7,90.1,86.7,90,31.983333,-122.4,31.983333,-122.4,4206,1951-01-21,02:24:00,1951-01-21 03:32:00+00
79,195101,195101,2266,116.7,50,116.7,50,115.9,50.4,116.7,50,28.25,-116.35,28.25,-116.353333,3603,1951-01-10,16:30:00,1951-01-10 15:16:00+00
93,195101,195101,2280,110,80,110,80,110,79.8,110,80,28.291666,-118.941666,28.291666,-118.94,3931,1951-01-15,23:12:00,1951-01-15 22:31:00+00
100,195101,195101,2286,120,80,120,80,119.7,78.6,120,80,26.65,-117.75,26.65,-117.75,4023,1951-01-18,05:00:00,1951-01-18 03:56:00+00
98,195101,195101,2284,120,100,120,100,120.2,97.5,120,100,25.941666,-118.908333,25.941666,-118.911666,4023,1951-01-17,15:48:00,1951-01-17 16:35:00+00
120,195101,195101,2306,133.3,40,133,40,133.4,39.2,133.3,40,25.6,-113.716666,25.603333,-113.713333,2926,1951-01-23,08:00:00,1951-01-23 05:01:00+00
25,195101,195101,2339,66.7,55,66.7,55,66.5,55,66.7,55,36.65,-122.433333,36.65,-122.433333,,1951-01-28,10:54:00,1951-01-28 12:04:00+00
22,195101,195101,2336,70,70,70,70,70.3,71.1,70,70,35.466666,-123.116666,35.466666,-123.116666,3804,1951-01-27,15:48:00,1951-01-27 16:58:00+00
118,195101,195101,2304,133.3,60,133,60,133.3,59.9,133.3,60,24.916666,-115.033333,24.92,-115.033333,3931,1951-01-22,19:18:00,1951-01-22 18:20:00+00
68,195101,195101,2255,93.3,80,93.3,80,93.2,79.8,93.3,80,31.2,-120.916666,31.201666,-120.918333,3931,1951-01-21,04:48:00,1951-01-21 05:41:00+00
29,195101,195101,2343,61,55,61,55,61,55,61,55,37.616666,-123.125,37.616666,-123.125,823,1951-01-29,12:18:00,1951-01-29 13:19:00+00
63,195101,195101,2250,93.3,30,93.3,30,93.4,30.3,93.3,30,32.816666,-117.541666,32.821666,-117.541666,1189,1951-01-19,23:24:00,1951-01-19 23:41:00+00
16,195101,195101,2328,76.7,65,76.7,65,76.6,65.1,76.7,65,34.566666,-121.916666,34.566666,-121.916666,3804,1951-01-25,01:36:00,1951-01-25 02:28:00+00
108,195101,195101,2294,123.3,60,123,60,123.5,60.4,123.3,60,26.608333,-116.158333,26.611666,-116.16,3749,1951-01-20,04:42:00,1951-01-20 03:30:00+00
125,195101,195101,2311,136.7,60,136.7,60,136.5,61.3,136.7,60,24.325,-114.775,24.323333,-114.775,3749,1951-01-24,11:06:00,1951-01-24 10:06:00+00
81,195101,195101,2268,116.7,70,116.7,70,116.5,71.1,116.7,70,27.466666,-117.633333,27.466666,-117.63,3383,1951-01-11,04:42:00,1951-01-11 03:17:00+00
13,195101,195101,2329,80,60,80,60,80,60,80,60,34.15,-121.15,34.15,-121.15,,1951-01-25,08:06:00,1951-01-24 09:16:00+00
58,195101,195101,2245,90,60,90,60,90.3,59.5,90,60,32.391666,-119.891666,32.391666,-119.891666,878,1951-01-18,03:18:00,1951-01-18 04:11:00+00
7,195101,195101,2319,83.3,90,83.3,90,83.3,89.9,83.3,90,32.575,-122.8,32.575,-122.666666,,1951-01-21,09:18:00,1951-01-21 10:29:00+00
56,195101,195101,2243,90,80,90,80,91.2,76.2,90,80,31.666666,-120.916666,31.666666,-120.916666,3749,1951-01-17,15:54:00,1951-01-17 16:26:00+00
17,195101,195101,2330,80,70,80,70,80.2,69.9,80,70,33.791666,-121.816666,33.791666,-121.816666,3658,1951-01-25,15:00:00,1951-01-25 16:06:00+00
67,195101,195101,2254,93.3,70,93.3,70,93.1,69.8,93.3,70,31.55,-120.25,31.546666,-120.25,3986,1951-01-20,22:54:00,1951-01-20 23:21:00+00
42,195101,195101,2226,100,30,100,30,100.1,30.1,100,30,31.675,-116.775,31.671666,-116.775,457,1951-01-12,17:30:00,1951-01-13 18:11:00+00
74,195101,195101,2261,96.7,50,96.7,50,97.3,48.9,96.7,50,31.516666,-118.35,31.516666,-118.353333,1829,1951-01-22,16:30:00,1951-01-22 17:01:00+00
123,195101,195101,2309,136.7,40,136.7,40,136.7,42.3,136.7,40,24.925,-113.558333,24.925,-113.556666,,1951-01-23,23:54:00,1951-01-23 22:55:00+00
69,195101,195101,2256,93.3,90,93.3,90,93.4,90,93.3,90,30.833333,-121.583333,30.831666,-121.585,4169,1951-01-21,10:42:00,1951-01-21 11:11:00+00
19,195101,195101,2333,80,90,80,90,80,90,80,90,33.15,-123.216666,33.15,-123.216666,4389,1951-01-26,07:18:00,1951-01-26 08:02:00+00
19,195101,195101,2332,80,90,80,90,80,90,80,90,33.15,-123.216666,33.15,-123.216666,4389,1951-01-26,05:06:00,1951-01-26 08:02:00+00
73,195101,195101,2260,96.7,60,96.7,60,97.2,59.3,96.7,60,31.2,-119.075,31.2,-119.073333,3566,1951-01-22,10:54:00,1951-01-22 11:21:00+00
76,195101,195101,2263,96.7,32,96.7,32,96.9,30.9,96.7,32,32.183333,-117.183333,32.183333,-117.186666,1372,1951-01-23,02:30:00,1951-01-23 03:06:00+00
57,195101,195101,2244,90,70,90,70,89.4,70,90,70,32.183333,-120.708333,32.1,-120.708333,3658,1951-01-17,20:00:00,1951-01-17 20:36:00+00
65,195101,195101,2252,93.3,50,93.3,50,93.3,50.8,93.3,50,32.15,-118.95,32.153333,-118.951666,1646,1951-01-20,10:54:00,1951-01-20 11:51:00+00
53,195101,195101,2240,90,110,90,110,90.1,110.2,90,110,30.733333,-123.333333,30.736666,-123.333333,3109,1951-01-16,23:12:00,1951-01-16 23:56:00+00
51,195101,195101,2236,100,120,100,120,100,120.2,100,120,28.675,-122.766666,28.675,-122.768333,4297,1951-01-15,21:30:00,1951-01-16 00:12:00+00
51,195101,195101,2237,100,120,100,120,100,120.2,100,120,28.675,-122.766666,28.675,-122.768333,4297,1951-01-15,23:30:00,1951-01-16 00:12:00+00
99,195101,195101,2285,120,90,120,90,119.8,88,120,90,26.316666,-118.333333,26.318333,-118.333333,4023,1951-01-17,22:54:00,1951-01-17 21:30:00+00
34,195101,195101,2218,106.7,60,106.7,60,106.7,60,106.7,60,29.525,-118.016666,29.525,-118.016666,3641,1951-01-10,10:30:00,1951-01-10 11:21:00+00
20,195101,195101,2334,70,90,70,90,70,90.2,70,90,34.883333,-124.5,34.883333,-124.5,,1951-01-27,01:24:00,1951-01-27 02:17:00+00
122,195101,195101,2308,136.7,35,136.7,35,136.9,35.7,136.7,35,25.108333,-113.116666,25.108333,-113.113333,567,1951-01-23,19:36:00,1951-01-23 17:36:00+00
50,195101,195101,2235,100,110,100,110,100.1,110,100,110,29.008333,-122.1,29.008333,-122.101666,4206,1951-01-15,16:06:00,1951-01-15 16:41:00+00
82,195101,195101,2269,113.3,70,113,70,113.4,70.1,113.3,70,28.033333,-117.925,28.033333,-117.925,3292,1951-01-11,11:24:00,1951-01-11 09:34:00+00
116,195101,195101,2302,130,70,130,70,129.9,71.4,130,70,25.133333,-116.15,25.133333,-116.15,3713,1951-01-22,03:06:00,1951-01-22 02:10:00+00
80,195101,195101,2267,116.7,60,116.7,60,116.6,60.2,116.7,60,27.8,-116.908333,27.8,-116.908333,3146,1951-01-10,22:36:00,1951-01-10 21:29:00+00
33,195101,195101,2217,106.7,50,106.7,50,106.7,50.1,106.7,50,29.85,-117.366666,29.846666,-117.366666,2468,1951-01-10,04:18:00,1951-01-10 05:06:00+00
3,195101,195101,2315,86.7,60,86.7,60,86.6,60,86.7,60,33,-120.358333,33,-120.358333,1225,1951-01-20,01:54:00,1951-01-20 03:17:00+00
112,195101,195101,2298,130,35,130,35,130,35,130,35,26.316666,-113.808333,26.313333,-113.808333,366,1951-01-21,05:42:00,1951-01-21 04:41:00+00
101,195101,195101,2287,120,70,120,70,119.5,69.6,120,70,26.983333,-117.191666,26.981666,-117.188333,3292,1951-01-18,10:54:00,1951-01-18 09:41:00+00
78,195101,195101,2265,116.7,40,116.7,40,116.2,40.1,116.7,40,28.541666,-115.641666,28.541666,-115.641666,421,1951-01-10,10:00:00,1951-01-10 08:09:00+00
37,195101,195101,2221,103.3,80,103,80,103.2,80.3,103.3,80,29.45,-119.758333,29.446666,-119.758333,3749,1951-01-11,04:48:00,1951-01-11 05:31:00+00
117,195101,195101,2303,130,80,130,80,130.2,80.1,130,80,24.791666,-116.666666,24.791666,-116.665,3931,1951-01-22,08:30:00,1951-01-22 07:26:00+00
28,195101,195101,2342,63.3,57,63,57,63,56.8,63.3,57,37.2,-123,37.2,-123,475,1951-01-29,07:12:00,1951-01-29 07:50:00+00
1,195101,195101,2312,86.7,35,86.7,35,86.7,34.9,86.7,35,33.833333,-118.625,33.833333,-118.625,366,1951-01-19,05:06:00,1951-01-19 07:25:00+00
104,195101,195101,2290,120,45,120,45,119.9,45.3,120,45,27.725,-115.575,27.723333,-115.573333,2908,1951-01-19,04:24:00,1951-01-19 03:10:00+00
54,195101,195101,2241,90,100,90,100,90.4,98.8,90,100,31.05,-122.525,31.05,-122.525,4114,1951-01-17,04:48:00,1951-01-17 05:21:00+00
36,195101,195101,2220,106.7,80,106.7,80,106.7,80.6,106.7,80,28.833333,-119.375,28.833333,-119.375,3695,1951-01-10,22:36:00,1951-01-10 23:16:00+00
106,195101,195101,2292,123.3,40,123,40,123.4,41,123.3,40,27.275,-114.916666,27.271666,-114.915,,1951-01-19,17:48:00,1951-01-19 16:04:00+00
88,195101,195101,2274,110,35,110,35,109.9,35.4,110,35,29.791666,-116.033333,29.783333,-116.016666,1509,1951-01-12,21:18:00,1951-01-14 16:00:00+00
88,195101,195101,2275,110,35,110,35,110,35.3,110,35,29.783333,-116.016666,29.783333,-116.016666,640,1951-01-14,17:00:00,1951-01-14 16:00:00+00
5,195101,195101,2317,86.7,80,86.7,80,86.4,80.1,86.7,80,32.366666,-121.75,32.366666,-121.75,,1951-01-20,19:12:00,1951-01-20 21:00:00+00
15,195101,195101,2327,73.3,61,73,61,73.1,61.4,73.3,61,35.3,-122.083333,35.3,-122.083333,2743,1951-01-24,19:06:00,1951-01-24 20:05:00+00
85,195101,195101,2272,113.3,40,113,40,113.3,40.3,113.3,40,29.033333,-115.975,29.033333,-115.975,1920,1951-01-12,06:42:00,1951-01-12 05:13:00+00
61,195101,195101,2248,90,37,90,37,90,37.1,90,37,33.183333,-118.391666,33.183333,-118.39,1189,1951-01-18,17:12:00,1951-01-18 17:51:00+00
26,195101,195101,2340,66.7,65,66.7,65,66.6,66.4,66.7,65,36.25,-123.233333,36.25,-123.233333,3314,1951-01-28,17:42:00,1951-01-28 18:41:00+00
84,195101,195101,2271,113.3,50,113,50,113.3,50.2,113.3,50,28.7,-116.625,28.7,-116.625,3109,1951-01-12,00:06:00,1951-01-11 22:41:00+00
119,195101,195101,2305,133.3,50,133,50,133.5,47.9,133.3,50,25.291666,-114.258333,25.291666,-114.256666,3420,1951-01-23,01:06:00,1951-01-23 00:12:00+00
96,195101,195101,2281,110,90,110,90,110,90.4,110,90,27.941666,-119.633333,27.945,-119.631666,2049,1951-01-16,05:06:00,1951-01-16 04:06:00+00
124,195101,195101,2310,136.7,50,136.7,50,136.6,51,136.7,50,24.65,-114.116666,24.65,-114.113333,3475,1951-01-24,04:00:00,1951-01-24 03:55:00+00
105,195101,195101,2291,120,35,120,35,120,35.1,120,35,28.05,-114.9,28.051666,-114.896666,82,1951-01-19,10:06:00,1951-01-19 09:33:00+00
64,195101,195101,2251,93.3,40,93.3,40,93.4,39.8,93.3,40,32.5,-118.191666,32.498333,-118.195,1737,1951-01-20,04:48:00,1951-01-20 05:26:00+00
12,195101,195101,2325,76.7,55,76.7,55,76.2,56,76.7,55,34.95,-121.333333,34.95,-121.333333,439,1951-01-24,06:12:00,1951-01-24 06:47:00+00
60,195101,195101,2247,90,45,90,45,89.9,44.7,90,45,32.95,-118.933333,32.946666,-118.933333,1737,1951-01-18,12:42:00,1951-01-18 13:21:00+00
94,195101,195101,2282,110,100,110,100,109.7,101.1,110,100,27.641666,-120.366666,27.638333,-120.368333,4023,1951-01-16,11:36:00,1951-01-16 09:50:00+00
41,195101,195101,2225,103.3,40,103,40,103.4,40.8,103.3,40,30.741666,-117.125,30.743333,-117.125,1372,1951-01-12,04:18:00,1951-01-12 04:56:00+00
40,195101,195101,2224,103.3,50,103,50,103.1,48.5,103.3,50,30.533333,-117.666666,30.536666,-117.67,2195,1951-01-11,22:54:00,1951-01-11 23:26:00+00
14,195101,195101,2326,73.3,51,73,51,73.4,51.2,73.3,51,35.591666,-121.333333,35.591666,-121.333333,293,1951-01-24,13:06:00,1951-01-24 13:38:00+00
107,195101,195101,2293,123.3,50,123,50,123.4,51.1,123.3,50,26.925,-115.566666,26.921666,-115.566666,3292,1951-01-19,23:30:00,1951-01-19 22:32:00+00
70,195101,195101,2257,96.7,90,96.7,90,96.7,91.6,96.7,90,30.2,-121.283333,30.196666,-121.281666,3840,1951-01-21,16:00:00,1951-01-21 16:46:00+00
38,195101,195101,2222,103.3,70,103,70,103.5,70,103.3,70,29.75,-119.05,29.751666,-119.053333,3017,1951-01-11,10:48:00,1951-01-11 11:41:00+00
23,195101,195101,2337,70,60,70,60,70,60.2,70,60,35.883333,-122.383333,35.883333,-122.383333,,1951-01-27,23:30:00,1951-01-28 00:41:00+00
48,195101,195101,2233,100,90,100,90,100.1,90.1,100,90,29.675,-120.783333,29.678333,-120.786666,4023,1951-01-15,05:06:00,1951-01-15 05:36:00+00
115,195101,195101,2301,130,60,130,60,129.8,60.7,130,60,25.5,-115.475,25.5,-115.471666,3840,1951-01-21,21:18:00,1951-01-21 20:14:00+00
87,195101,195101,2274,110,35,110,35,109.9,35.4,110,35,29.791666,-116.033333,29.791666,-116.033333,1509,1951-01-12,21:18:00,1951-01-12 18:40:00+00
109,195101,195101,2295,126.7,60,126.7,60,126.7,60.1,126.7,60,26.066666,-115.783333,26.063333,-115.783333,3695,1951-01-20,11:00:00,1951-01-20 09:23:00+00
87,195101,195101,2275,110,35,110,35,110,35.3,110,35,29.783333,-116.016666,29.791666,-116.033333,640,1951-01-14,17:00:00,1951-01-12 18:40:00+00
111,195101,195101,2297,126.7,40,126.7,40,126.7,39.9,126.7,40,26.725,-114.483333,26.728333,-114.48,2834,1951-01-20,23:30:00,1951-01-20 22:30:00+00
35,195101,195101,2219,106.7,70,106.7,70,106.7,70.8,106.7,70,29.158333,-118.725,29.161666,-118.721666,3017,1951-01-10,17:18:00,1951-01-10 16:21:00+00
47,195101,195101,2231,100,80,100,80,100.1,80.6,100,80,29.983333,-120.15,29.986666,-120.15,3840,1951-01-14,23:12:00,1951-01-14 23:47:00+00
66,195101,195101,2253,93.3,60,93.3,60,93.2,61.2,93.3,60,31.833333,-119.666666,31.831666,-119.675,3292,1951-01-20,17:36:00,1951-01-20 18:21:00+00
113,195101,195101,2299,130,40,130,40,130,40.1,130,40,26.15,-114.133333,26.153333,-114.133333,2286,1951-01-21,09:30:00,1951-01-21 08:24:00+00
2,195101,195101,2313,86.7,40,86.7,40,86.7,39.9,86.7,40,33.666666,-118.975,33.666666,-118.975,799,1951-01-19,11:48:00,1951-01-19 13:10:00+00
59,195101,195101,2246,90,53,90,53,90,53.1,90,53,32.641666,-119.483333,32.641666,-119.483333,1372,1951-01-18,07:54:00,1951-01-18 08:30:00+00
75,195101,195101,2262,96.7,40,96.7,40,96.6,40,96.7,40,31.933333,-117.833333,31.933333,-117.833333,640,1951-01-22,22:00:00,1951-01-22 22:16:00+00
32,195101,195101,2216,106.7,40,106.7,40,106.7,40.5,106.7,40,30.175,-116.725,30.175,-116.725,2651,1951-01-09,22:18:00,1951-01-09 23:12:00+00
27,195101,195101,2341,63.3,67,63,67,63.3,66.8,63.3,67,36.816666,-123.683333,36.816666,-123.683333,,1951-01-29,00:42:00,1951-01-29 01:45:00+00
47,195101,195101,2232,100,80,100,80,100.1,80.6,100,80,29.983333,-120.15,29.986666,-120.15,3840,1951-01-15,00:30:00,1951-01-14 23:47:00+00
90,195101,195101,2277,110,50,110,50,109.7,50.7,110,50,29.316666,-117.066666,29.315,-117.07,3200,1951-01-15,03:54:00,1951-01-15 02:06:00+00
222,195102,195102,2444,136.7,50,136.7,50,136.7,49.8,136.7,50,24.666666,-114.025,24.666666,-114.025,3840,1951-02-23,08:48:00,1951-02-23 07:46:00+00
201,195102,195102,2422,120,50,120,50,120.1,49.9,120,50,27.533333,-115.85,27.533333,-115.85,4023,1951-02-13,18:30:00,1951-02-13 17:36:00+00
171,195102,195102,2391,80,60,80,60,80,60,80,60,34.15,-121.15,34.15,-121.15,2341,1951-02-24,16:18:00,1951-02-24 15:00:00+00
213,195102,195102,2434,130,60,130,60,129.9,59.9,130,60,25.516666,-115.416666,25.516666,-115.416666,3658,1951-02-20,23:42:00,1951-02-21 00:17:00+00
177,195102,195102,2397,105,35,105,35,105,35,105,35,30.65,-116.55,30.65,-116.55,1463,1951-02-07,10:36:00,1951-02-07 09:27:00+00
142,195102,195102,2362,96.7,80,96.7,80,96.7,80,96.7,80,30.591666,-120.516666,30.591666,-120.516666,3877,1951-02-15,13:18:00,1951-02-15 11:50:00+00
188,195102,195102,2408,110,35,110,35,109.9,35.4,110,35,29.783333,-116.033333,29.783333,-116.033333,512,1951-02-10,05:06:00,1951-02-10 04:01:00+00
195,195102,195102,2415,110,100,110,100,110.5,100.6,110,100,27.516666,-120.233333,27.516666,-120.233333,3968,1951-02-11,19:18:00,1951-02-11 19:46:00+00
195,195102,195102,2416,110,100,110,100,110.5,100.6,110,100,27.516666,-120.233333,27.516666,-120.233333,3968,1951-02-11,22:12:00,1951-02-11 19:46:00+00
218,195102,195102,2440,133.3,40,133,40,133.5,39.8,133.3,40,25.55,-113.733333,25.55,-113.733333,2743,1951-02-22,12:30:00,1951-02-22 11:26:00+00
150,195102,195102,2370,93.3,30,93.3,30,93.4,30,93.3,30,32.833333,-117.525,32.833333,-117.525,878,1951-02-18,06:48:00,1951-02-18 05:29:00+00
208,195102,195102,2429,126.7,50,126.7,50,126.7,50,126.7,50,26.391666,-115.133333,26.391666,-115.133333,3566,1951-02-19,06:36:00,1951-02-19 05:26:00+00
190,195102,195102,2410,110,50,110,50,110,51.2,110,50,29.25,-117.066666,29.25,-117.066666,3292,1951-02-10,14:36:00,1951-02-10 13:44:00+00
197,195102,195102,2418,120,90,120,90,120,90.3,120,90,26.216666,-118.466666,26.216666,-118.466666,4023,1951-02-12,18:42:00,1951-02-12 17:41:00+00
180,195102,195102,2400,116.7,50,116.7,50,116.6,50.5,116.7,50,28.133333,-116.283333,28.133333,-116.283333,4023,1951-02-08,10:30:00,1951-02-08 09:06:00+00
181,195102,195102,2401,116.7,60,116.7,60,116.6,61,116.7,60,27.783333,-116.966666,27.783333,-116.966666,3840,1951-02-08,16:12:00,1951-02-08 15:16:00+00
146,195102,195102,2366,93.3,70,93.3,70,93.5,70.1,93.3,70,31.483333,-120.233333,31.483333,-120.233333,4169,1951-02-16,15:12:00,1951-02-16 13:25:00+00
223,195102,195102,2445,136.7,60,136.7,60,136.7,59.8,136.7,60,24.333333,-114.658333,24.333333,-114.658333,3749,1951-02-23,14:18:00,1951-02-23 13:26:00+00
192,195102,195102,2412,110,70,110,70,110,70,110,70,28.616666,-118.3,28.616666,-118.3,3292,1951-02-11,02:48:00,1951-02-11 01:57:00+00
191,195102,195102,2411,110,60,110,60,110,61.8,110,60,28.9,-117.766666,28.9,-117.766666,3698,1951-02-10,20:06:00,1951-02-10 19:17:00+00
174,195102,195102,2394,80,55,80,55,80,55,80,55,34.316666,-120.8,34.316666,-120.8,823,1951-02-25,10:12:00,1951-02-25 08:55:00+00
207,195102,195102,2428,126.7,60,126.7,60,126.7,60.1,126.7,60,26.058333,-115.775,26.058333,-115.775,3749,1951-02-19,00:42:00,1951-02-18 23:26:00+00
157,195102,195102,2377,90,60,90,60,90,60,90,60,32.416666,-119.958333,32.416666,-119.958333,823,1951-02-19,21:42:00,1951-02-19 20:46:00+00
140,195102,195102,2360,96.7,60,96.7,60,96.7,60,96.7,60,31.258333,-119.175,31.258333,-119.175,3695,1951-02-15,01:06:00,1951-02-14 23:49:00+00
136,195102,195102,2356,100,50,100,50,100,50,100,50,31.016666,-118.116666,31.016666,-118.116666,1792,1951-02-12,00:54:00,1951-02-11 23:50:00+00
133,195102,195102,2353,100,80,100,80,100,79.9,100,80,30.016666,-120.116666,30.016666,-120.116666,3840,1951-02-11,06:30:00,1951-02-11 05:26:00+00
153,195102,195102,2373,86.7,40,86.7,40,86.7,39.9,86.7,40,33.666666,-118.975,33.666666,-118.975,914,1951-02-19,00:18:00,1951-02-18 23:11:00+00
185,195102,195102,2405,113.3,50,113,50,113.4,50.2,113.3,50,28.683333,-116.616666,28.683333,-116.616666,3383,1951-02-09,13:42:00,1951-02-09 12:36:00+00
219,195102,195102,2441,133.3,30,133,30,133.4,29.9,133.3,30,25.908333,-113.125,25.908333,-113.125,194,1951-02-22,17:48:00,1951-02-22 17:06:00+00
178,195102,195102,2398,116.7,35,116.7,35,116.5,34.3,116.7,35,28.683333,-115.233333,28.683333,-115.233333,190,1951-02-08,00:42:00,1951-02-08 00:51:00+00
147,195102,195102,2367,93.3,60,93.3,60,93.4,60,93.3,60,31.833333,-119.566666,31.833333,-119.566666,3255,1951-02-16,21:36:00,1951-02-16 20:32:00+00
160,195102,195102,2380,90,90,90,90,90,89.9,90,90,31.416666,-121.983333,31.416666,-121.983333,4041,1951-02-20,18:00:00,1951-02-20 16:46:00+00
187,195102,195102,2407,113.3,35,113,35,113.4,35.3,113.3,35,29.183333,-115.633333,29.183333,-115.633333,1006,1951-02-09,23:12:00,1951-02-09 22:27:00+00
