id,cast_id,mld_sigma,castnosamples,castbottomsample
190,20-1708SR-MX-215-23:36-09330900,10.9,16,270
191,20-1708SR-MX-216-05:09-09331000,12.8,16,270
192,20-1708SR-MX-216-10:35-09331100,17.5,16,271
193,20-1708SR-MX-216-23:49-09001100,13,16,270
194,20-1708SR-MX-217-05:48-09001000,11.7,16,271
195,20-1708SR-MX-217-12:07-09000900,16.2,16,270
196,20-1708SR-MX-218-00:10-09000700,10.7,16,270
197,20-1708SR-MX-218-06:13-09000600,10.6,16,270
198,20-1708SR-MX-218-11:22-09000530,11.1,16,270
199,20-1708SR-MX-218-22:06-09000370,10.3,16,270
200,20-1708SR-MX-219-01:21-09000350,10.2,16,270
201,20-1708SR-MX-219-05:41-09000300,10.9,16,270
202,20-1708SR-MX-219-08:43-09000280,10.2,8,55
203,20-1708SR-MX-219-10:28-09000277,10.2,4,15
204,20-1708SR-MX-219-12:50-08850301,15,4,15
205,20-1708SR-MX-219-16:24-08680325,10.5,4,15
206,20-1708SR-MX-219-19:45-08670350,10.1,16,270
207,20-1708SR-MX-219-23:52-08670400,10.3,16,270
208,20-1708SR-MX-220-04:15-08670450,10.3,15,270
209,20-1708SR-MX-220-08:36-08670500,14.2,9,70
210,20-1708SR-MX-220-12:20-08670550,20,16,270
211,20-1708SR-MX-220-22:35-08670700,17.3,16,270
212,20-1708SR-MX-221-04:31-08670800,13.9,16,270
213,20-1708SR-MX-221-10:05-08670900,12.6,16,270
214,20-1708SR-MX-221-21:29-08671100,10.8,16,270
215,20-1708SR-MX-222-03:14-08331100,11.9,16,270
216,20-1708SR-MX-222-09:02-08331000,13.6,16,270
217,20-1708SR-MX-222-20:39-08330800,27.6,16,269
218,20-1708SR-MX-223-02:18-08330700,20.3,16,270
219,20-1708SR-MX-223-08:41-08330600,29.5,16,270
220,20-1708SR-MX-223-13:07-08330550,20.7,16,270
221,20-1708SR-MX-223-23:44-08000600,14.5,16,270
222,20-1708SR-MX-224-05:53-08000700,23.6,16,270
223,20-1708SR-MX-224-12:25-08000800,30.1,16,270
224,20-1708SR-MX-225-00:32-08001000,26.5,16,270
225,20-1708SR-MX-225-07:06-07671000,41.8,16,270
226,20-1708SR-MX-225-12:50-07670900,32.5,16,270
227,20-1708SR-MX-226-00:13-07670700,15,16,270
228,20-1708SR-MX-226-06:20-07670600,20.2,16,270
229,20-1708SR-MX-226-10:18-07670550,10.6,16,271
230,20-1708SR-MX-226-13:45-07670510,12.2,15,226
231,20-1708SR-MX-227-04:12-08000550,10.9,17,270
232,20-1708SR-MX-227-08:16-08000510,12.8,9,70
233,20-1708SR-MX-227-10:13-08000505,10.7,4,15
234,20-1708SR-MX-227-19:04-08170435,,3,10
235,20-1708SR-MX-227-21:25-08330420,10.9,13,131
236,20-1708SR-MX-227-23:55-08330406,10.4,5,30
237,20-1708SR-MX-228-01:34-08330394,,3,10
238,20-1708SR-MX-228-04:49-08540358,,3,10
239,20-1708SR-PR-214-18:44-09330450,12.3,18,270
240,20-1708SR-PR-215-18:07-09330800,11.9,18,270
241,20-1708SR-PR-216-17:55-09001200,16.2,18,270
242,20-1708SR-PR-217-18:19-09000800,11.4,17,270
243,20-1708SR-PR-218-16:57-09000450,13.2,20,270
244,20-1708SR-PR-219-17:29-08670330,10.1,9,50
245,20-1708SR-PR-220-16:27-08670600,26.4,17,270
246,20-1708SR-PR-221-16:50-08671000,14,19,270
247,20-1708SR-PR-222-15:51-08330900,20.7,19,270
248,20-1708SR-PR-223-17:04-08330510,10.6,12,85
249,20-1708SR-PR-224-18:38-08000900,34.3,18,270
250,20-1708SR-PR-225-18:36-07670800,26.4,18,270
251,20-1708SR-PR-226-16:20-07670490,10.9,10,60
252,20-1708SR-PR-227-15:18-08180469,10.6,18,270
253,20-1711SR-MX-313-20:58-09340264,10.6,3,11
254,20-1711SR-MX-313-23:27-09170264,,3,12
255,20-1711SR-MX-314-02:00-09330280,10.6,16,271
256,20-1711SR-MX-314-05:31-09330300,10.4,16,270
257,20-1711SR-MX-314-09:32-09330350,12.1,16,271
258,20-1711SR-MX-314-13:47-09330400,20.2,16,271
259,20-1711SR-MX-314-22:07-09330500,11.1,16,271
260,20-1711SR-MX-315-02:17-09330550,28,16,270
261,20-1711SR-MX-315-06:53-09330600,11.2,16,270
262,20-1711SR-MX-315-12:53-09330700,26.1,16,270
263,20-1711SR-MX-316-00:35-09330900,15,16,271
264,20-1711SR-MX-316-06:20-09331000,16.8,16,271
265,20-1711SR-MX-316-12:12-09331100,20.1,16,271
266,20-1711SR-MX-316-23:50-09001200,17.8,16,271
267,20-1711SR-MX-317-05:45-09001100,13.2,16,271
268,20-1711SR-MX-317-11:45-09001000,14.7,17,271
269,20-1711SR-MX-317-23:46-09000800,26.3,16,271
270,20-1711SR-MX-318-05:54-09000700,29.6,16,270
271,20-1711SR-MX-318-12:12-09000600,30.2,16,270
272,20-1711SR-MX-319-02:06-09000370,11.7,16,270
273,20-1711SR-MX-319-05:36-09000350,10.5,16,271
274,20-1711SR-MX-319-09:50-09000300,10.3,16,270
275,20-1711SR-MX-319-14:33-09000277,11.5,5,22
276,20-1711SR-MX-319-19:07-08850301,,3,11
277,20-1711SR-MX-319-22:57-08680325,11.1,4,21
278,20-1711SR-MX-319-23:41-08670330,11.2,5,50
279,20-1711SR-MX-320-01:53-08670350,10.5,16,270
280,20-1711SR-MX-320-05:55-08540358,10.4,5,27
281,20-1711SR-MX-320-08:42-08670400,10.6,16,271
282,20-1711SR-MX-320-13:21-08670450,10.3,16,270
283,20-1711SR-MX-320-21:17-08670550,31.5,16,271
284,20-1711SR-MX-321-03:21-08330550,11.6,16,270
285,20-1711SR-MX-321-07:26-08330510,18.3,9,86
286,20-1711SR-MX-321-13:25-08330420,10.7,10,101
287,20-1711SR-MX-321-16:01-08330394,15,4,15
288,20-1711SR-MX-321-20:43-08170435,15,4,15
289,20-1711SR-MX-321-22:45-08180469,11.5,16,270
290,20-1711SR-MX-322-03:42-08000505,11.2,5,20
291,20-1711SR-MX-322-04:37-08000510,11.3,8,60
292,20-1711SR-MX-322-10:26-08000600,31.3,16,270
293,20-1711SR-MX-322-22:44-08000800,12.5,16,271
294,20-1711SR-MX-323-04:55-08000900,10.7,16,270
295,20-1711SR-MX-323-11:08-08001000,28.3,17,270
296,20-1711SR-MX-323-22:49-07670900,22.4,16,270
297,20-1711SR-MX-324-04:16-07670800,30,16,270
298,20-1711SR-MX-324-10:07-07670700,30.8,16,270
299,20-1711SR-MX-324-19:34-07670550,28.9,16,271
300,20-1711SR-MX-324-23:13-07670510,11.9,15,231
301,20-1711SR-MX-325-01:44-07670490,11.4,7,52
302,20-1711SR-MX-325-07:09-08000550,17.1,17,270
303,20-1711SR-MX-325-13:43-08330600,24.8,16,270
304,20-1711SR-MX-326-01:47-08330800,13.5,16,271
305,20-1711SR-MX-326-07:12-08330900,17.1,16,270
306,20-1711SR-MX-326-12:39-08331000,19.8,16,270
307,20-1711SR-MX-326-23:42-08671100,15.6,16,270
308,20-1711SR-MX-327-05:16-08671000,36.2,16,270
309,20-1711SR-MX-327-11:08-08670900,16.6,16,270
310,20-1711SR-MX-327-22:23-08670700,22.8,16,270
311,20-1711SR-MX-328-04:27-08670600,18.3,16,270
312,20-1711SR-PR-313-19:19-09330267,10.3,7,52
313,20-1711SR-PR-314-18:00-09330450,18.8,19,271
314,20-1711SR-PR-315-18:55-09330800,17,18,270
315,20-1711SR-PR-316-18:10-09331200,28.2,18,270
316,20-1711SR-PR-317-18:00-09000900,31.3,17,271
317,20-1711SR-PR-318-17:36-09000530,35.4,17,270
318,20-1711SR-PR-319-16:52-09000280,10.3,8,52
319,20-1711SR-PR-320-17:43-08670500,12.1,9,70
320,20-1711SR-PR-321-17:31-08330406,10.3,5,29
321,20-1711SR-PR-322-17:47-08000700,27,17,271
322,20-1711SR-PR-323-17:26-07671000,17.4,17,271
323,20-1711SR-PR-324-16:50-07670600,40.8,18,271
324,20-1711SR-PR-325-19:42-08330700,21.3,18,270
325,20-1711SR-PR-326-18:20-08331100,14.1,19,270
326,20-1711SR-PR-327-16:51-08670800,37.3,19,271
327,20-18025S-MX-032-22:06-09330300,26.9,16,271
328,20-18025S-MX-033-03:39-09000280,11.3,9,65
329,20-18025S-MX-033-06:16-09000300,14.6,16,270
330,20-18025S-MX-033-10:11-09000350,13.9,16,273
331,20-18025S-MX-033-13:01-09000370,25.2,16,270
332,20-18025S-MX-033-18:16-09000450,30.1,16,269
333,20-18025S-MX-033-23:23-09000530,19,16,270
334,20-18025S-MX-034-03:52-09000600,16.2,16,270
335,20-18025S-MX-034-09:12-09000700,32.6,16,270
336,20-18025S-MX-034-14:41-09000800,13.6,16,270
337,20-18025S-MX-034-20:22-09000900,27.7,16,270
338,20-18025S-MX-035-01:40-09001000,17.4,16,270
339,20-18025S-MX-035-07:02-08671000,41.2,16,270
340,20-18025S-MX-035-12:22-08670900,28.3,16,270
341,20-18025S-MX-035-17:50-08670800,25.1,16,270
342,20-18025S-MX-035-23:20-08670700,21.9,16,269
343,20-18025S-MX-036-04:50-08670600,12.1,16,270
344,20-18025S-MX-036-08:52-08670550,32.9,16,271
345,20-18025S-MX-036-12:57-08670500,13.4,9,69
346,20-18025S-MX-036-16:15-08670450,11.5,16,270
347,20-18025S-MX-036-20:32-08670400,18.2,16,270
348,20-18025S-MX-037-00:35-08670350,13.6,16,270
349,20-18025S-MX-037-03:20-08670330,11.7,7,50
350,20-18025S-MX-037-09:02-08330406,13.2,5,30
351,20-18025S-MX-037-10:49-08330420,11.8,10,150
352,20-18025S-MX-037-14:48-08180469,12.8,16,270
353,20-18025S-MX-037-20:08-08330510,11.1,10,90
354,20-18025S-MX-037-22:59-08330550,20.8,16,270
355,20-18025S-MX-038-03:11-08330600,14.7,16,270
356,20-18025S-MX-038-08:32-08330700,11.9,16,271
357,20-18025S-MX-038-14:05-08330800,13.1,16,270
358,20-18025S-MX-038-19:39-08330900,38.9,16,270
359,20-18025S-MX-039-00:46-08331000,58.8,16,270
360,20-18025S-MX-039-05:34-08001000,68.09999999999999,16,271
361,20-18025S-MX-039-10:39-08000900,31,16,270
362,20-18025S-MX-039-16:24-08000800,21,16,272
363,20-18025S-MX-039-22:03-08000700,16.3,16,270
364,20-18025S-MX-040-03:47-08000600,20.5,16,271
365,20-18025S-MX-040-07:40-08000550,20.3,16,271
366,20-18025S-MX-040-11:41-08000510,11.4,8,66
367,20-18025S-MX-040-17:01-07670490,22.8,7,54
368,20-18025S-MX-040-19:12-07670510,21.5,15,228
369,20-18025S-MX-040-22:23-07670550,19.7,16,270
370,20-18025S-MX-041-02:07-07670600,12.8,16,270
371,20-18025S-MX-041-07:12-07670700,32,16,269
372,20-18045S-MX-095-22:28-09340264,11.2,4,17
373,20-18045S-MX-096-00:57-09170264,10.7,4,16
374,20-18045S-MX-096-03:21-09330280,11.2,16,271
375,20-18045S-MX-096-05:56-09330300,12.5,16,271
376,20-18045S-MX-096-09:34-09330350,11.8,16,270
377,20-18045S-MX-096-13:54-09330400,20.6,16,271
378,20-18045S-MX-096-22:06-09330500,25.3,16,270
379,20-18045S-MX-097-01:48-09330550,28.2,16,270
380,20-18045S-MX-097-05:23-09330600,34.6,16,270
381,20-18045S-MX-097-10:38-09330700,19.8,16,270
382,20-18045S-MX-097-21:23-09330900,15.5,16,270
383,20-18045S-MX-098-02:46-09331000,14,16,270
384,20-18045S-MX-098-07:54-09331100,13.7,16,269
385,20-18045S-MX-098-13:14-09331200,12.5,16,271
386,20-18045S-MX-099-00:56-09001100,17.8,16,271
387,20-18045S-MX-099-07:24-09001000,38.8,16,271
474,20-18045S-PR-110-18:44-07670550,28.2,19,270
475,20-1806SR-MX-160-21:03-09330280,11.1,16,271
476,20-1806SR-MX-161-00:00-09330300,10.3,16,271
477,20-1806SR-MX-161-04:20-09330350,10.3,16,272
478,20-1806SR-MX-161-08:45-09330400,10.7,16,270
479,20-1806SR-MX-161-13:05-09330450,11.3,16,270
480,20-1806SR-MX-161-21:41-09330550,18.9,17,270
481,20-1806SR-MX-162-01:57-09330600,28.1,16,269
482,20-1806SR-MX-162-08:06-09330700,22,16,270
483,20-1806SR-MX-162-14:14-09330800,39.4,16,270
484,20-1806SR-MX-163-02:29-09331000,33.9,16,270
485,20-1806SR-MX-163-08:16-09331100,64.90000000000001,16,270
486,20-1806SR-MX-163-20:57-09001200,60.1,16,271
487,20-1806SR-MX-164-03:37-09001100,54.5,16,269
488,20-1806SR-MX-164-09:57-09001000,51.7,16,270
489,20-1806SR-MX-164-23:04-09000800,14.2,16,271
490,20-1806SR-MX-165-05:44-09000700,18.7,16,271
491,20-1806SR-MX-165-12:19-09000600,13.7,16,270
492,20-1806SR-MX-165-23:13-09000450,10.4,16,270
493,20-1806SR-MX-166-05:06-09000370,10.3,16,271
494,20-1806SR-MX-166-08:17-09000350,11.3,16,270
495,20-1806SR-MX-166-12:32-09000300,10.5,16,270
496,20-1806SR-MX-166-15:25-09000277,,3,10
497,20-1806SR-MX-166-19:51-08850301,10.3,4,15
498,20-1806SR-MX-166-23:25-08680325,10.7,4,20
499,20-1806SR-MX-167-00:19-08670330,10.3,6,50
500,20-1806SR-MX-167-02:37-08670350,12.1,16,270
501,20-1806SR-MX-167-06:52-08670400,10.2,16,270
502,20-1806SR-MX-167-11:17-08670450,10.2,16,270
503,20-1806SR-MX-167-15:25-08670500,10.4,9,70
504,20-1806SR-MX-167-23:44-08670600,11.6,16,270
505,20-1806SR-MX-168-06:16-08670700,50,16,270
506,20-1806SR-MX-168-12:27-08670800,59.8,16,270
507,20-1806SR-MX-169-01:00-08671000,43,16,270
508,20-1806SR-MX-169-06:49-08671100,47.2,16,272
509,20-1806SR-MX-169-12:38-08331100,50.2,16,270
510,20-1806SR-MX-170-00:19-08330900,15.5,16,269
511,20-1806SR-MX-170-06:07-08330800,19.8,16,271
512,20-1806SR-MX-170-11:49-08330700,19.5,16,270
513,20-1806SR-MX-170-22:26-08330550,10.6,16,270
514,20-1806SR-MX-171-02:21-08330510,10.5,9,91
515,20-1806SR-MX-171-08:31-08000550,24.5,17,270
516,20-1806SR-MX-171-12:52-08000600,22.7,16,270
517,20-1806SR-MX-172-01:48-08000800,36.9,15,270
518,20-1806SR-MX-172-08:07-08000900,27.1,16,271
519,20-1806SR-MX-172-14:11-08001000,44.1,16,271
520,20-1806SR-MX-173-03:00-07670900,40.6,16,270
521,20-1806SR-MX-173-09:15-07670800,23.7,16,270
522,20-1806SR-MX-173-21:44-07670600,17.7,16,270
523,20-1806SR-MX-174-01:49-07670550,35.4,16,270
524,20-1806SR-MX-174-05:31-07670510,12.2,15,230
525,20-1806SR-MX-174-08:13-07670490,11,8,60
526,20-1806SR-MX-174-13:35-08000510,11.9,9,68
527,20-1806SR-MX-174-15:11-08000505,10.8,4,15
528,20-1806SR-MX-174-22:39-08170435,10.6,5,19
529,20-1806SR-MX-175-01:09-08330420,10.4,11,126
530,20-1806SR-MX-175-03:14-08330406,10.4,5,30
531,20-1806SR-MX-175-04:41-08330394,10.6,4,17
532,20-1806SR-PR-160-18:31-09330267,10.1,9,52
533,20-1806SR-PR-161-17:27-09330500,11.5,18,270
534,20-1806SR-PR-162-20:34-09330900,39.1,19,271
535,20-1806SR-PR-163-15:27-09331200,54.4,18,271
536,20-1806SR-PR-164-17:51-09000900,20.5,19,271
537,20-1806SR-PR-165-17:46-09000530,15.2,18,271
538,20-1806SR-PR-166-17:21-09000280,11.9,12,92
539,20-1806SR-PR-167-19:29-08670550,25.3,19,271
540,20-1806SR-PR-168-18:21-08670900,55.7,18,270
541,20-1806SR-PR-169-18:36-08331000,51.8,18,270
542,20-1806SR-PR-170-18:07-08330600,20.2,18,270
543,20-1806SR-PR-171-19:23-08000700,45.8,18,271
544,20-1806SR-PR-172-20:47-07671000,34.6,19,270
545,20-1806SR-PR-173-16:32-07670700,35.1,18,271
546,20-1806SR-PR-174-18:41-08180469,10.4,17,270
547,20-1810SR-MX-287-20:31-09340264,11.3,4,15
548,20-1810SR-MX-287-23:04-09170264,10.8,4,15
549,20-1810SR-MX-288-01:50-09330280,10.4,16,270
550,20-1810SR-MX-288-04:43-09330300,14,16,270
551,20-1810SR-MX-288-08:52-09330350,15.7,16,270
552,20-1810SR-MX-288-12:57-09330400,25,16,270
553,20-1810SR-MX-288-21:49-09330500,14.7,16,270
554,20-1810SR-MX-289-02:03-09330550,16.6,16,270
555,20-1810SR-MX-289-06:12-09330600,26.3,16,270
556,20-1810SR-MX-289-12:23-09330700,17.5,16,270
557,20-1810SR-MX-290-00:19-09330900,20.9,16,270
558,20-1810SR-MX-290-06:15-09331000,40.5,16,270
559,20-1810SR-MX-290-12:11-09331100,28.9,16,270
560,20-1810SR-MX-291-00:13-09001200,37.4,16,270
561,20-1810SR-MX-291-06:35-09001100,25.2,16,270
