site_key,depth_m,measurement_type,property,coef_mean,coef_ampl,coef_freq,coef_phase,coef_stdev
076.7 090.0,10,btl_nitrate,NO3,0.147110528,-0.011801375,0.022892469,138.0336421,0.244530233
076.7 090.0,20,btl_nitrate,NO3,0.152828984,-0.042804494,0.02496754,128.6706325,0.296785945
076.7 090.0,30,btl_nitrate,NO3,0.180562488,-0.096903564,0.02652127,122.9527609,0.381167853
076.7 090.0,50,btl_nitrate,NO3,0.999647319,-0.833680434,0.028621253,138.4452344,2.128485875
076.7 090.0,75,btl_nitrate,NO3,4.060612173,-2.884214432,0.026535766,139.5856049,5.656132702
076.7 090.0,100,btl_nitrate,NO3,9.484943854,-3.055124155,0.026024228,134.7546435,7.131860654
076.7 090.0,125,btl_nitrate,NO3,15.49997924,-2.799170293,0.027218792,134.3186303,6.3476903
076.7 090.0,150,btl_nitrate,NO3,20.91401464,-2.24553931,0.027677683,134.5192919,4.179268883
076.7 090.0,200,btl_nitrate,NO3,26.32291094,-1.090618547,0.028329773,141.1541535,2.400676315
076.7 090.0,250,btl_nitrate,NO3,29.31225639,-0.866144141,0.02458162,130.3184802,2.205974209
076.7 090.0,300,btl_nitrate,NO3,32.31607532,-0.849156548,0.026696721,136.2279032,1.751325917
076.7 090.0,400,btl_nitrate,NO3,37.75961092,-0.513509098,0.029900336,141.6418187,1.108015282
076.7 090.0,500,btl_nitrate,NO3,40.93650422,-0.205207066,0.03,156.3954583,0.811385959
076.7 100.0,0,btl_nitrate,NO3,0.058505432,-0.023305451,0.024218216,144.3259233,0.08668012
076.7 100.0,10,btl_nitrate,NO3,0.053736122,-0.014941746,0.024162561,131.0491943,0.080405086
076.7 100.0,20,btl_nitrate,NO3,0.052926414,-0.015682689,0.0299092,133.3630674,0.081037219
076.7 100.0,30,btl_nitrate,NO3,0.056357711,-0.017220252,0.022727685,153.4935505,0.082398244
076.7 100.0,50,btl_nitrate,NO3,0.25116421,-0.097383351,0.024543161,189.7330042,0.546257971
076.7 100.0,75,btl_nitrate,NO3,1.765400177,-0.683154104,0.023961586,196.4751093,2.706006557
076.7 100.0,100,btl_nitrate,NO3,5.233637966,-1.032641016,0.028929943,192.1956038,5.20218891
076.7 100.0,125,btl_nitrate,NO3,11.10491266,-1.186562373,0.029146426,184.7204135,6.416968432
076.7 100.0,150,btl_nitrate,NO3,16.9990545,-0.734921456,0.02842878,182.22321,5.273603306
076.7 100.0,200,btl_nitrate,NO3,24.24201822,-0.62337259,0.029570274,209.131232,3.128844734
076.7 100.0,250,btl_nitrate,NO3,27.9451661,-0.54769197,0.025786156,188.0167882,2.35663634
076.7 100.0,300,btl_nitrate,NO3,31.22680498,-0.498263439,0.0294,185.473925,2.068709872
076.7 100.0,400,btl_nitrate,NO3,37.0979977,-0.435650749,0.0268,151.6312386,1.142962628
076.7 100.0,500,btl_nitrate,NO3,40.62339697,-0.189169909,0.03,163.5378213,0.694690311
080.0 051.0,0,btl_nitrate,NO3,3.041491384,-3.154470625,0.020417101,189.4808707,3.514791191
080.0 051.0,10,btl_nitrate,NO3,5.041177864,-4.81127719,0.021101498,198.4313605,4.738509243
080.0 051.0,20,btl_nitrate,NO3,7.606692102,-5.817398627,0.021422549,206.5637575,5.185275656
080.0 051.0,30,btl_nitrate,NO3,10.31258371,-6.520682705,0.021459268,213.785259,5.319103181
080.0 051.0,50,btl_nitrate,NO3,14.42038106,-6.886428302,0.020791767,220.4020982,4.838970974
080.0 055.0,0,btl_nitrate,NO3,2.310046032,-2.101578338,0.020194569,192.1979702,2.58412482
080.0 055.0,10,btl_nitrate,NO3,2.767921803,-2.272521443,0.020112516,200.6995964,2.790536413
080.0 055.0,20,btl_nitrate,NO3,4.966151007,-3.256018606,0.020118986,215.9421817,4.15787642
080.0 055.0,30,btl_nitrate,NO3,7.44192293,-4.412209062,0.020648018,224.5205315,4.866696227
080.0 055.0,50,btl_nitrate,NO3,14.70239527,-4.622068183,0.023654628,226.665263,5.290634647
080.0 055.0,75,btl_nitrate,NO3,19.97257025,-3.863287424,0.021861016,226.0451595,3.975204027
080.0 055.0,100,btl_nitrate,NO3,23.2631443,-2.971213691,0.021783222,223.7734002,2.83442706
080.0 055.0,125,btl_nitrate,NO3,25.31667689,-2.192277619,0.022921831,219.7447047,2.233494753
080.0 055.0,150,btl_nitrate,NO3,26.72762031,-1.724608901,0.022677979,216.5433206,1.798899335
080.0 055.0,200,btl_nitrate,NO3,29.02454483,-1.305219777,0.022346496,213.1592127,1.428885171
080.0 055.0,250,btl_nitrate,NO3,31.06573957,-0.9991425,0.023875448,198.1629696,1.258415019
080.0 055.0,300,btl_nitrate,NO3,32.85010446,-0.951534061,0.022890981,189.4796178,1.29419123
080.0 055.0,400,btl_nitrate,NO3,36.15747332,-0.516555177,0.03,153.8665934,1.17330409
080.0 055.0,500,btl_nitrate,NO3,39.02672644,-0.575634093,0.024689084,146.9997877,0.949006179
080.0 060.0,0,btl_nitrate,NO3,1.216571519,-0.984482176,0.016285006,205.0258326,1.697616003
080.0 060.0,10,btl_nitrate,NO3,1.347589759,-1.106794986,0.017143116,206.1793831,1.779378372
080.0 060.0,20,btl_nitrate,NO3,2.185796204,-1.954075661,0.01936941,205.8890484,2.44091096
080.0 060.0,30,btl_nitrate,NO3,3.656072484,-2.646094423,0.02182505,221.8780413,3.309042487
080.0 060.0,50,btl_nitrate,NO3,10.09340746,-4.462184857,0.028094035,224.7043927,5.638594878
080.0 060.0,75,btl_nitrate,NO3,17.30298512,-3.503835701,0.026763441,231.9969312,5.845874396
080.0 060.0,100,btl_nitrate,NO3,21.94816774,-2.185054251,0.026693833,234.7940343,4.046632645
080.0 060.0,125,btl_nitrate,NO3,24.78566893,-1.533647614,0.025819294,235.9406256,2.81108342
080.0 060.0,150,btl_nitrate,NO3,26.6295123,-1.265972564,0.027090376,231.7008854,2.053220125
080.0 060.0,200,btl_nitrate,NO3,29.34827608,-0.740159143,0.026766079,229.9529381,1.493834088
080.0 060.0,250,btl_nitrate,NO3,31.77939077,-0.568733614,0.027087364,223.3158043,1.27362684
080.0 060.0,300,btl_nitrate,NO3,34.08251348,-0.391600379,0.029999996,210.9978453,1.122651077
080.0 060.0,400,btl_nitrate,NO3,37.85052691,-0.272975032,0.03,201.4088844,0.99502108
080.0 060.0,500,btl_nitrate,NO3,40.19835144,-0.25669593,0.03,189.6832002,0.934600789
080.0 070.0,0,btl_nitrate,NO3,0.399588922,-4.819379196,6.3817e-4,235.8806729,0.973523302
080.0 070.0,10,btl_nitrate,NO3,-0.052212422,-1.231886114,0.003735504,359.9994996,1.127482215
080.0 070.0,20,btl_nitrate,NO3,0.001361938,-27.76641792,1.74349e-4,341.2133931,1.279387554
080.0 070.0,30,btl_nitrate,NO3,0.57105874,-21.60257156,2.259e-4,341.1882589,1.84458381
080.0 070.0,50,btl_nitrate,NO3,4.799395743,2.107426101,0.018593997,172.3013152,4.205813608
080.0 070.0,75,btl_nitrate,NO3,11.35383719,3.186206636,0.018136928,174.4923339,6.663136111
080.0 070.0,100,btl_nitrate,NO3,17.7505497,2.544643494,0.018821649,179.8830498,5.395313094
080.0 070.0,125,btl_nitrate,NO3,22.62268829,1.481139186,0.018606842,173.4596194,3.625912208
080.0 070.0,150,btl_nitrate,NO3,25.41655126,0.923169201,0.018126391,181.6740501,2.394918948
080.0 070.0,200,btl_nitrate,NO3,28.46771329,0.72350325,0.017508736,147.6589794,1.700099301
080.0 070.0,250,btl_nitrate,NO3,31.12260759,0.583196894,0.020653709,166.4784482,1.611927975
080.0 070.0,300,btl_nitrate,NO3,33.92721263,0.599318246,0.022418736,165.4916092,1.33652666
080.0 070.0,400,btl_nitrate,NO3,38.40898225,0.583241214,0.023199115,148.9664616,0.988364485
080.0 070.0,500,btl_nitrate,NO3,40.95254036,0.351813453,0.024398806,153.8386382,0.802953185
080.0 080.0,0,btl_nitrate,NO3,0.58943797,-0.454952201,0.005740173,3.17e-8,0.552451711
080.0 080.0,10,btl_nitrate,NO3,0.697954325,-0.579321873,0.006230363,3.12e-7,0.623621631
080.0 080.0,20,btl_nitrate,NO3,0.857584085,-0.783781084,0.006630886,1.66e-4,0.686143979
080.0 080.0,30,btl_nitrate,NO3,1.109935156,-0.939473113,0.006796347,2.61e-6,0.955971865
080.0 080.0,50,btl_nitrate,NO3,1.530351129,48.34932057,1.58922e-4,17.161553,3.863559108
080.0 080.0,75,btl_nitrate,NO3,5.400009631,135.9713054,1.0003e-4,17.74682024,6.978859697
080.0 080.0,100,btl_nitrate,NO3,10.87099398,146.217391,1.00166e-4,18.1636785,7.518415343
080.0 080.0,125,btl_nitrate,NO3,16.91788173,122.2675122,1.00005e-4,18.65832466,6.166958471
080.0 080.0,150,btl_nitrate,NO3,21.62971493,77.70036573,1.00051e-4,19.05727055,4.228323414
080.0 080.0,200,btl_nitrate,NO3,27.03652017,20.24244291,1.75172e-4,64.21515012,2.283073482
080.0 080.0,250,btl_nitrate,NO3,29.94058115,20.23282868,1.45498e-4,64.70519063,2.111077806
080.0 080.0,300,btl_nitrate,NO3,32.88191708,17.46224127,1.79748e-4,124.7570929,1.856579901
080.0 080.0,400,btl_nitrate,NO3,37.87926091,11.91045201,1.56375e-4,125.0393434,1.177844917
080.0 080.0,500,btl_nitrate,NO3,40.75097786,8.739514292,1.57357e-4,124.8003384,0.875641526
080.0 090.0,0,btl_nitrate,NO3,0.178837926,-0.150303917,0.008115702,1.29e-7,0.111017261
080.0 090.0,10,btl_nitrate,NO3,0.174765901,-0.143283319,0.007697094,1.11e-9,0.109851397
080.0 090.0,20,btl_nitrate,NO3,0.193332826,-0.141576386,0.00705896,4.07e-6,0.158808156
080.0 090.0,30,btl_nitrate,NO3,0.196597287,-0.131214839,0.006813695,4.47e-6,0.16364336299999999
080.0 090.0,50,btl_nitrate,NO3,0.677228992,-0.343568187,0.008714532,23.91197539,0.885934199
080.0 090.0,75,btl_nitrate,NO3,3.960526909,-2.182695879,0.010171004,3.31157e-4,3.791845195
080.0 090.0,100,btl_nitrate,NO3,10.26848418,-4.148464018,0.009798134,1.61e-7,6.725772916
080.0 090.0,125,btl_nitrate,NO3,16.81611471,-4.988143962,0.009547573,0.02039552,6.549177353
080.0 090.0,150,btl_nitrate,NO3,22.53781179,-4.693833026,0.009106047,0.001338628,5.017699984
080.0 090.0,200,btl_nitrate,NO3,26.71239053,-1.235624849,0.009707605,2.24e-5,2.522906934
080.0 090.0,250,btl_nitrate,NO3,30.17062193,-1.618296147,0.009354474,2.73561e-4,1.943664452
080.0 090.0,300,btl_nitrate,NO3,33.03635404,-1.51123799,0.009598777,2.52692e-4,1.591609394
080.0 090.0,400,btl_nitrate,NO3,37.59386519,-0.562900532,0.013016422,4.27,1.210872953
080.0 090.0,500,btl_nitrate,NO3,40.71873847,-0.307172116,0.012992977,1.82e-11,0.838033903
080.0 100.0,0,btl_nitrate,NO3,0.086463432,-0.027938703,0.005897072,0.00737,0.083835175
080.0 100.0,10,btl_nitrate,NO3,0.083136496,-0.035340459,0.005309151,1.88e-7,0.087195473
080.0 100.0,20,btl_nitrate,NO3,0.054594208,-0.0047793,6.80858e-4,228.8788884,0.064758976
080.0 100.0,30,btl_nitrate,NO3,0.068008182,-0.31043303,6.13318e-4,214.196028,0.130253327
080.0 100.0,50,btl_nitrate,NO3,0.174785208,0.048097655,7.18545e-4,215.299712,0.356118971
080.0 100.0,75,btl_nitrate,NO3,1.213961929,-2.194179788,6.55969e-4,209.8030549,1.986458443
080.0 100.0,100,btl_nitrate,NO3,4.609166454,-18.05701417,4.14328e-4,205.1470868,4.516546334
080.0 100.0,125,btl_nitrate,NO3,11.17874964,-55.25472828,1.71674e-4,130.9365761,5.918253865
080.0 100.0,150,btl_nitrate,NO3,16.97236281,-37.4421795,2.01668e-4,130.8703446,5.546519091
080.0 100.0,200,btl_nitrate,NO3,24.3187621,-16.03604524,1.64331e-4,130.5534953,3.222086451
080.0 100.0,250,btl_nitrate,NO3,28.00786513,-0.768792698,0.016427144,172.130292,2.47740854
080.0 100.0,300,btl_nitrate,NO3,31.46940277,-0.76296492,0.016250944,154.9552877,1.9135203
080.0 100.0,400,btl_nitrate,NO3,37.06066409,-0.283303057,0.022608185,152.1602734,1.156968258
080.0 100.0,500,btl_nitrate,NO3,40.55524888,-0.30907405,0.03,193.727196,0.784098938
081.8 046.9,0,btl_nitrate,NO3,1.190359355,-1.788672435,0.019852433,180.4708338,2.147123301
081.8 046.9,10,btl_nitrate,NO3,2.205698884,-2.819225816,0.02159662,186.6044128,2.610103373
081.8 046.9,20,btl_nitrate,NO3,6.355310928,-5.411012111,0.02247667,202.2384816,4.291222538
081.8 046.9,30,btl_nitrate,NO3,11.13101326,-7.204099615,0.022565945,206.9965429,5.392399058
081.8 046.9,50,btl_nitrate,NO3,17.45404454,-7.089753954,0.022575322,212.6975803,5.194102576
081.8 046.9,75,btl_nitrate,NO3,21.62474034,-4.946795678,0.020543851,220.6777913,4.033038891
081.8 046.9,100,btl_nitrate,NO3,24.44697149,-4.094108514,0.021110617,220.4569188,2.827043867
081.8 046.9,125,btl_nitrate,NO3,26.28190773,-3.397478062,0.022127466,217.4441278,2.381900847
081.8 046.9,150,btl_nitrate,NO3,27.65135871,-2.682596733,0.022049306,215.782515,1.879241056
081.8 046.9,200,btl_nitrate,NO3,29.82754009,-1.831665986,0.02201197,214.0845618,1.394163248
081.8 046.9,250,btl_nitrate,NO3,31.83893215,-1.090766519,0.023818986,204.0274654,1.040862723
081.8 046.9,300,btl_nitrate,NO3,33.37799362,-0.615111648,0.024555428,201.377859,0.83362322
081.8 046.9,400,btl_nitrate,NO3,34.59646805,-0.158955776,0.025566731,258.0517779,0.802358355
081.8 046.9,500,btl_nitrate,NO3,30.1639409,-0.867513993,0.021338278,297.6222936,2.733252928
083.3 040.6,0,btl_nitrate,NO3,0.515461016,-0.573038786,0.017896233,168.346109,0.886134429
083.3 040.6,10,btl_nitrate,NO3,1.559578957,-1.769323499,0.02188497,186.4348188,2.207943784
083.3 040.6,20,btl_nitrate,NO3,4.239621181,-3.649344946,0.022149568,201.4497287,3.641825738
083.3 040.6,30,btl_nitrate,NO3,6.776776427,-3.594157447,0.020264975,212.9586151,4.131559571
083.3 042.0,0,btl_nitrate,NO3,0.802829477,-0.986428747,0.02042399,176.4555766,1.426523499
083.3 042.0,10,btl_nitrate,NO3,1.139049932,-1.485163075,0.021612196,181.2080255,1.581839392
083.3 042.0,20,btl_nitrate,NO3,2.858164011,-2.783891645,0.021161336,202.8550158,2.497447734
083.3 042.0,30,btl_nitrate,NO3,5.98041722,-4.385463083,0.02193697,205.0775101,3.713976812
083.3 042.0,50,btl_nitrate,NO3,12.56512283,-5.41233285,0.02207983,215.5804763,4.185656953
083.3 042.0,75,btl_nitrate,NO3,19.01627538,-5.13624887,0.020666568,221.1042032,3.412388722
083.3 042.0,100,btl_nitrate,NO3,22.33736932,-3.820172873,0.020524488,217.6322105,2.650646254
083.3 042.0,125,btl_nitrate,NO3,23.3791672,-3.384954734,0.017519462,219.5610346,2.434043154
083.3 051.0,0,btl_nitrate,NO3,2.77145209,-2.165747815,0.021494902,193.3786126,2.653720258
083.3 051.0,10,btl_nitrate,NO3,3.725733236,-3.028674775,0.021889966,196.2671845,3.033074436
083.3 051.0,20,btl_nitrate,NO3,7.040718548,-4.1065076,0.023399725,210.9551845,4.232387932
083.3 051.0,30,btl_nitrate,NO3,9.920473332,-4.996983375,0.02362191,220.6008303,4.723169057
083.3 051.0,50,btl_nitrate,NO3,15.24366099,-5.289616972,0.024686705,222.6337229,5.007211076
083.3 051.0,75,btl_nitrate,NO3,19.83271434,-4.122718695,0.023139648,222.9067721,4.008844782
083.3 055.0,0,btl_nitrate,NO3,2.013704658,-2.046847422,0.020924125,193.4236632,2.101846196
083.3 055.0,10,btl_nitrate,NO3,2.271796693,-2.146221013,0.020828124,199.9870296,2.220319104
083.3 055.0,20,btl_nitrate,NO3,3.481622232,-2.441431275,0.021285536,209.7187764,2.613978662
083.3 055.0,30,btl_nitrate,NO3,6.902110555,-3.665294544,0.025418523,226.5339917,4.13717997
083.3 055.0,50,btl_nitrate,NO3,13.77772408,-5.37356416,0.025810338,234.0069544,5.442557206
083.3 055.0,75,btl_nitrate,NO3,19.68245862,-3.701785485,0.022281735,252.922283,4.454283192
083.3 055.0,100,btl_nitrate,NO3,23.93959142,-2.658268078,0.026520912,230.3368689,2.71082611
083.3 055.0,125,btl_nitrate,NO3,25.93353881,-1.666977687,0.023660846,236.1039294,1.98648044
083.3 055.0,150,btl_nitrate,NO3,27.41721817,-1.425629285,0.02492817,228.8882022,1.710184112
083.3 055.0,200,btl_nitrate,NO3,29.68742891,-1.103038439,0.026893615,224.8678811,1.343436832
083.3 055.0,250,btl_nitrate,NO3,31.76349562,-0.973476442,0.027121136,213.0899392,1.203131906
083.3 055.0,300,btl_nitrate,NO3,33.5053163,-0.791235247,0.024012024,197.262983,1.117941918
083.3 055.0,400,btl_nitrate,NO3,36.61922636,-0.847784593,0.023532377,175.086959,1.144357919
083.3 055.0,500,btl_nitrate,NO3,39.02470537,-0.727731542,0.024186206,155.0357403,0.969675002
083.3 060.0,0,btl_nitrate,NO3,1.145969679,-0.856312751,0.014781628,214.0079653,1.641520288
083.3 060.0,10,btl_nitrate,NO3,1.232857013,-0.90811568,0.015167491,213.6166438,1.660276305
083.3 060.0,20,btl_nitrate,NO3,1.490043336,-1.081052203,0.013366182,230.2020261,2.061326376
083.3 060.0,30,btl_nitrate,NO3,2.833049332,-1.093556445,0.0198419,208.707603,2.8154070940000002
083.3 060.0,50,btl_nitrate,NO3,6.810289581,-3.444179975,0.013418347,326.3463583,5.30005093
083.3 060.0,75,btl_nitrate,NO3,15.86851957,-3.674417338,0.019413802,290.6439171,5.561043626
083.3 060.0,100,btl_nitrate,NO3,21.56211954,-2.541602161,0.028776297,232.5775423,4.242452599
083.3 060.0,125,btl_nitrate,NO3,24.90355409,-1.775280214,0.027968559,222.9945182,2.495172544
083.3 060.0,150,btl_nitrate,NO3,26.76381827,-1.363189652,0.027859918,230.6534784,1.796969795
083.3 060.0,200,btl_nitrate,NO3,29.52591286,-1.164737352,0.027475158,229.8461014,1.449787572
083.3 060.0,250,btl_nitrate,NO3,31.88697103,-0.809478533,0.028755617,226.3637413,1.408177019
083.3 060.0,300,btl_nitrate,NO3,34.18352122,-0.667273262,0.02835678,226.0388527,1.334677121
083.3 060.0,400,btl_nitrate,NO3,37.89289343,-0.388515177,0.027297725,241.4481203,1.09934511
083.3 060.0,500,btl_nitrate,NO3,40.18554989,-0.26751356,0.017716604,235.9509376,0.933194738
083.3 070.0,0,btl_nitrate,NO3,0.029545648,-1.033871882,0.00229971,359.8980098,0.740737675
083.3 070.0,10,btl_nitrate,NO3,-0.044125532,-0.77821928,0.00469642,359.964201,0.842708384
083.3 070.0,20,btl_nitrate,NO3,-0.03069718,-2.538767716,0.001496917,359.9693974,1.176406591
083.3 070.0,30,btl_nitrate,NO3,0.212913701,-1.363237704,0.003457174,359.966503,1.540687522
083.3 070.0,50,btl_nitrate,NO3,3.461201827,0.77248128,0.023436309,161.0541717,3.716638682
083.3 070.0,75,btl_nitrate,NO3,9.253588326,2.072285063,0.017726894,196.6997713,5.815182971
083.3 070.0,100,btl_nitrate,NO3,15.78258374,2.164129366,0.018018659,201.7269052,5.645401656
083.3 070.0,125,btl_nitrate,NO3,21.39791237,1.718397385,0.0172392,193.4991932,3.910988524
083.3 070.0,150,btl_nitrate,NO3,25.07070167,1.089397254,0.010919686,252.3740276,2.586097454
083.3 070.0,200,btl_nitrate,NO3,28.02804869,0.645401601,0.017067576,192.705138,1.857324381
083.3 070.0,250,btl_nitrate,NO3,30.80361987,0.410630147,0.018202564,192.9069235,1.573060304
083.3 070.0,300,btl_nitrate,NO3,33.56623209,0.318186593,0.023959011,161.622815,1.34900762
083.3 070.0,400,btl_nitrate,NO3,38.08438015,0.277293331,0.024763207,137.8760845,1.10358684
083.3 070.0,500,btl_nitrate,NO3,40.65070301,0.179623051,0.025869637,146.3065683,0.920449169
