"query_name","query_type","ok","mdbtools_empty","mdbtools_lost_join","mdbtools_lost_group","mdbtools_has_extra"
"MT-Cast_113Sta","MAKE_TABLE",TRUE,FALSE,FALSE,FALSE,FALSE
"Nearshore Station Coverage","CROSS_TAB",TRUE,FALSE,TRUE,TRUE,FALSE
"NH4","MAKE_TABLE",TRUE,FALSE,TRUE,FALSE,FALSE
"Prodo_NameProb","SELECT",TRUE,FALSE,TRUE,FALSE,FALSE
"QC - BottomDepthCheck_AllValues","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"QC - CharLengthBottle","SELECT",TRUE,FALSE,FALSE,FALSE,FALSE
"QC_CharLengthCast","SELECT",TRUE,FALSE,FALSE,FALSE,FALSE
"QC_DIC_Oxy_um-Kg","SELECT",TRUE,FALSE,TRUE,FALSE,FALSE
"QC_Weather","SELECT",TRUE,TRUE,TRUE,FALSE,FALSE
"QC-DIC_Btl_CntComp","SELECT",TRUE,FALSE,TRUE,FALSE,FALSE
"QC-DIC_Depth_Sal","SELECT",TRUE,FALSE,FALSE,FALSE,FALSE
"QC-DIC_DepthComp","SELECT",TRUE,FALSE,FALSE,FALSE,FALSE
"QC-DIC_DepthIDComp","SELECT",TRUE,FALSE,TRUE,FALSE,FALSE
"Query_MinMax","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"Query2","UPDATE",TRUE,FALSE,FALSE,FALSE,FALSE
"RS Deep basin O2","SELECT",TRUE,FALSE,TRUE,FALSE,FALSE
"SBB O2 below 560m","SELECT",TRUE,FALSE,TRUE,FALSE,FALSE
"SSB Deep Properties","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"St_Stations MT","MAKE_TABLE",TRUE,FALSE,FALSE,TRUE,FALSE
"Temp Line90 -MT","CROSS_TAB",TRUE,FALSE,TRUE,TRUE,FALSE
"TI - Bottle","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"TI - BottleData","MAKE_TABLE",TRUE,FALSE,TRUE,TRUE,FALSE
"TI - Cast","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"TI - Cruise","SELECT",TRUE,FALSE,FALSE,FALSE,FALSE
"TI - Single Cruise Station Loc","SELECT",TRUE,FALSE,FALSE,FALSE,FALSE
"TI - Zooplankton","SELECT",TRUE,FALSE,FALSE,TRUE,FALSE
"TM - NMFS_Station_ID","MAKE_TABLE",TRUE,FALSE,FALSE,TRUE,FALSE
"TQ - Bottom Depth_AVg_STDEV","SELECT",TRUE,FALSE,FALSE,TRUE,FALSE
"TQ - BottomDepth_Vs_AvgBottomDepth","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"TQ - BottomDepthPerStation","SELECT",TRUE,FALSE,FALSE,TRUE,FALSE
"TQ - DeepValues_Avg","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"TQ - DeepValues_Avg-ADK","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"TQ - DeepValues_Avg-jen","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"TQ - LatLongAvgCluster-jen","CROSS_TAB",TRUE,FALSE,FALSE,TRUE,FALSE
"TQ - Property Tests_AllDiscreet per depth","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"TQ - StationNameChecker","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"TQ_DeepValues: PropertyCluster","CROSS_TAB",TRUE,FALSE,FALSE,TRUE,FALSE
"TR - Bottle & Cast: Cst_Cnt","SELECT",TRUE,FALSE,TRUE,FALSE,FALSE
"TR - Cast & Bottle: Cst_Cnt","SELECT",TRUE,FALSE,TRUE,FALSE,FALSE
"TR - Cast & Bottle: St_ID","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"TR - Cast & Cruise: Cruise","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"TR - Cast & Station_ID: St_ID, DBSta_ID","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"TR - Cast & Zooplankton: Possible Matches","SELECT",TRUE,FALSE,FALSE,TRUE,FALSE
"TR - Cast & Zooplankton: Station","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"TR - Chl & Bottle: Btl_Cnt","SELECT",TRUE,FALSE,TRUE,FALSE,FALSE
"TR - Cruise & Cast: Cruise","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"TR - Cruise & Zooplankton: Cruise","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"TR - Cruises from Cast","SELECT",TRUE,FALSE,FALSE,TRUE,FALSE
"TR - Keeling_DIC & Cast: Cruise-St_ID","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"TR - Nuts & Bottle: Btl_Cnt","SELECT",TRUE,FALSE,TRUE,FALSE,FALSE
"TR - Prodo Bottle & Prodo_Cast: Cst_Cnt","SELECT",TRUE,FALSE,FALSE,FALSE,FALSE
"TR - Prodo_Cast & Cast: Cst_Cnt","SELECT",TRUE,FALSE,TRUE,FALSE,FALSE
"TR - Prodo_Cast & Prodo_Bottle: Cst_Cnt","SELECT",TRUE,FALSE,TRUE,FALSE,FALSE
"TR - Station_ID & Cast: DbSta_ID","SELECT",TRUE,FALSE,TRUE,FALSE,FALSE
"TR - Zooplankton","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"TR - Zooplankton & Cast: Cruise","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"TR - Zooplankton & Cast: Station","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"TR - Zooplankton & Station_ID: Station","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"TS - Cast: Line  Coverage","CROSS_TAB",TRUE,FALSE,TRUE,TRUE,FALSE
"TS - Cast: Line Chl  Coverage","CROSS_TAB",TRUE,FALSE,TRUE,TRUE,FALSE
"TS - Cruise: Line 90 Coverage","CROSS_TAB",TRUE,FALSE,TRUE,TRUE,FALSE
"TS - Tow Station Coverage","CROSS_TAB",TRUE,FALSE,TRUE,TRUE,FALSE
"TV - Chl Value Tests","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"TV - Deep Properties","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"TV - Property Tests","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"TX - Cast","SELECT",TRUE,FALSE,TRUE,FALSE,FALSE
"TX - Cast & Zooplankton: Station Matches","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"UQ_AppendTo_DIC","APPEND",TRUE,FALSE,FALSE,FALSE,FALSE
"UQ_Blt_Cnt_Renumber","UPDATE",TRUE,FALSE,FALSE,FALSE,FALSE
"UQ_Depth_ID_CharLen_BottleTable","UPDATE",TRUE,FALSE,FALSE,FALSE,FALSE
"UQ_Depth_ID_SBB_BottleTable","UPDATE",TRUE,FALSE,FALSE,FALSE,FALSE
"UQ_reupdateProdo","UPDATE",TRUE,FALSE,TRUE,FALSE,FALSE
"UQ_Sta_ID_SBB_BottleTable","UPDATE",TRUE,FALSE,FALSE,FALSE,FALSE
"UQ_StaName","UPDATE",TRUE,FALSE,FALSE,FALSE,FALSE
"UQ_Table2Table_Bottle_To_DIC","UPDATE",TRUE,FALSE,TRUE,FALSE,FALSE
"UQ_Table2Table_Bottle_To_DIC_csv","UPDATE",TRUE,FALSE,TRUE,FALSE,FALSE
"UQ_UpdateRpt_Line","UPDATE",TRUE,FALSE,FALSE,FALSE,FALSE
"UQ_UpdateRpt_Sta_4digits","UPDATE",TRUE,FALSE,FALSE,FALSE,FALSE
"UQ_UpdateRpt_Sta_5digits","UPDATE",TRUE,FALSE,FALSE,FALSE,FALSE
"UQ-Bottle_Oxyumol/Kg_equation","UPDATE",TRUE,FALSE,TRUE,FALSE,FALSE
"UQ-Bottle-ShipCode Query","UPDATE",TRUE,FALSE,TRUE,FALSE,FALSE
"UQ-BtlNum","UPDATE",TRUE,FALSE,TRUE,FALSE,FALSE
"UQ-Cast-ShipCode Query","UPDATE",TRUE,FALSE,FALSE,FALSE,FALSE
"UQ-Cruise_ID","UPDATE",TRUE,FALSE,TRUE,FALSE,FALSE
"UQ-Cruise_ID_new","UPDATE",TRUE,FALSE,FALSE,FALSE,FALSE
"UQ-CruiseAlias","UPDATE",TRUE,FALSE,FALSE,FALSE,FALSE
"UQ-CruiseAlias_Zoop","UPDATE",TRUE,FALSE,FALSE,FALSE,FALSE
"UQ-Decimal Lat/Lon","UPDATE",TRUE,FALSE,FALSE,FALSE,FALSE
"UQ-DepthID_PR","UPDATE",TRUE,FALSE,FALSE,FALSE,FALSE
"UQ-Prodo_Cast-ShipCode Query","UPDATE",TRUE,FALSE,TRUE,FALSE,FALSE
"UQ-Prodo_IncTim","UPDATE",TRUE,FALSE,TRUE,FALSE,FALSE
"UQ-Rpt_Line","UPDATE",TRUE,FALSE,FALSE,FALSE,FALSE
"UQ-Rpt_Oxyumol/Kg_equation","UPDATE",TRUE,FALSE,FALSE,FALSE,FALSE
"UQ-Rpt_R_Oxyumol/Kg","UPDATE",TRUE,FALSE,TRUE,FALSE,FALSE
"UQ-Ship_Code","UPDATE",TRUE,FALSE,TRUE,FALSE,FALSE
"Uq-ShipName","UPDATE",TRUE,FALSE,TRUE,FALSE,FALSE
"Zoop_Vols","SELECT",TRUE,FALSE,FALSE,FALSE,FALSE
"Zooplankton - 1 Station - I","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"Zooplankton - 2 Station","SELECT",TRUE,FALSE,FALSE,TRUE,FALSE
"Zooplankton - 3 Cruise","SELECT",TRUE,FALSE,FALSE,TRUE,FALSE
"Zooplankton - 4 Annual","SELECT",TRUE,FALSE,FALSE,TRUE,FALSE
