"query_name","query_type","ok","error","sql"
"Anomalies Sigma 1 Regions Cruise","SELECT",TRUE,"","SELECT [Anomalies Sigma 0 IM].Year, Avg([Anomalies Sigma 0 IM].YearValue) AS YearValue, [Anomalies Sigma 0 IM].Sigma AS Sigma, [Anomalies Sigma 0 IM].Cruise, Avg([Anomalies Sigma 0 IM].Date) AS Date, Month([Date])+Day([Date])/30 AS Month, Count([Anomalies Sigma 0 IM].Depth) AS NoStations, Avg([Anomalies Sigma 0 IM].Depth) AS Depth, Avg([Anomalies Sigma 0 IM].Temp) AS Temp, Avg([Anomalies Sigma 0 IM].Sal) AS Sal, Avg([Anomalies Sigma 0 IM].O2) AS O2, Avg([Anomalies Sigma 0 IM].O2Sat) AS O2Sat, Avg([Anomalies Sigma 0 IM].PO4) AS PO4, Avg([Anomalies Sigma 0 IM].SiO4) AS SiO4, Avg([Anomalies Sigma 0 IM].NO3) AS NO3, Avg([Anomalies Sigma 0 IM].DepthAnom) AS DepthAnom, Avg([Anomalies Sigma 0 IM].TempAnom) AS TempAnom, Avg([Anomalies Sigma 0 IM].SalAnom) AS SalAnom, Avg([Anomalies Sigma 0 IM].O2Anom) AS O2Anom, Avg([Anomalies Sigma 0 IM].NO3Anom) AS NO3Anom, Avg([Anomalies Sigma 0 IM].PO4Anom) AS PO4Anom, Avg([Anomalies Sigma 0 IM].SiO3Anom) AS SiO3Anom, Avg([Anomalies Sigma 0 IM].[N-P_Ratio]) AS [N-P_Ratio], Avg([Anomalies Sigma 0 IM].[N-Star]) AS [N-Star]
FROM St_Stations INNER JOIN (Cruises INNER JOIN (Cast INNER JOIN [Anomalies Sigma 0 IM] ON Cast.Cast_ID = [Anomalies Sigma 0 IM].Cast_ID) ON Cruises.Cruise = [Anomalies Sigma 0 IM].Cruise) ON (Cruises.Cruise = Cast.Cruise) AND (St_Stations.Sta_ID = Cast.Sta_ID)
WHERE (((Cruises.[Code-ST])=""ST""))
GROUP BY [Anomalies Sigma 0 IM].Year, [Anomalies Sigma 0 IM].Sigma, [Anomalies Sigma 0 IM].Cruise
HAVING ((([Anomalies Sigma 0 IM].Sigma)=26.6));"
"Anomalies Sigma 2 Cruises","SELECT",TRUE,"","SELECT [Anomalies Sigma 1 Lines].Year AS Expr1, Avg([Anomalies Sigma 1 Lines].YearValue) AS YearValue, Avg([Anomalies Sigma 1 Lines].Sigma) AS Sigma, [Anomalies Sigma 1 Lines].Cruise AS Expr2, Avg([Anomalies Sigma 1 Lines].Date) AS Date, Month([Date]) AS Month, Count([Anomalies Sigma 1 Lines].NoStations) AS NoStations, Avg([Anomalies Sigma 1 Lines].Depth) AS Depth, Avg([Anomalies Sigma 1 Lines].Temp) AS Temp, Avg([Anomalies Sigma 1 Lines].Sal) AS Sal, Avg([Anomalies Sigma 1 Lines].PO4) AS PO4, Avg([Anomalies Sigma 1 Lines].SiO4) AS SiO4, Avg([Anomalies Sigma 1 Lines].NO3) AS NO3, Avg([Anomalies Sigma 1 Lines].O2) AS O2, Avg([Anomalies Sigma 1 Lines].DepthAnom) AS DepthAnom, Avg([Anomalies Sigma 1 Lines].TempAnom) AS TempAnom, Avg([Anomalies Sigma 1 Lines].SalAnom) AS SalAnom, Avg([Anomalies Sigma 1 Lines].PO4Anom) AS PO4Anom, Avg([Anomalies Sigma 1 Lines].SiO3Anom) AS SiO3Anom, Avg([Anomalies Sigma 1 Lines].NO3Anom) AS NO3Anom, Avg([Anomalies Sigma 1 Lines].O2Anom) AS O2Anom
FROM [Anomalies Sigma 1 Lines]
GROUP BY [Anomalies Sigma 1 Lines].Year, [Anomalies Sigma 1 Lines].Cruise
ORDER BY Avg([Anomalies Sigma 1 Lines].Sigma), [Anomalies Sigma 1 Lines].Cruise;"
"Anomalies Sigma 2 Regions Ann","SELECT",TRUE,"","SELECT [Anomalies Sigma 1 Regions Cruise].Year AS Expr1, Avg([Anomalies Sigma 1 Regions Cruise].Date) AS Date, Avg([Anomalies Sigma 1 Regions Cruise].Month) AS Month, Count([Anomalies Sigma 1 Regions Cruise].NoStations) AS NoCruises, Avg([Anomalies Sigma 1 Regions Cruise].Sigma) AS AvgOfSigma, Avg([Anomalies Sigma 1 Regions Cruise].Depth) AS Depth, Avg([Anomalies Sigma 1 Regions Cruise].Temp) AS Temp, Avg([Anomalies Sigma 1 Regions Cruise].Sal) AS Sal, Avg([Anomalies Sigma 1 Regions Cruise].PO4) AS PO4, Avg([Anomalies Sigma 1 Regions Cruise].SiO4) AS SiO4, Avg([Anomalies Sigma 1 Regions Cruise].NO3) AS NO3, Avg([Anomalies Sigma 1 Regions Cruise].O2) AS O2, Avg([Anomalies Sigma 1 Regions Cruise].O2Sat) AS O2Sat, Avg([Anomalies Sigma 1 Regions Cruise].DepthAnom) AS DepthAnom, Avg([Anomalies Sigma 1 Regions Cruise].TempAnom) AS TempAnom, Avg([Anomalies Sigma 1 Regions Cruise].SalAnom) AS SalAnom, Avg([Anomalies Sigma 1 Regions Cruise].NO3Anom) AS NO3Anom, Avg([Anomalies Sigma 1 Regions Cruise].PO4Anom) AS PO4Anom, Avg([Anomalies Sigma 1 Regions Cruise].SiO3Anom) AS SiO3Anom, Avg([Anomalies Sigma 1 Regions Cruise].O2Anom) AS O2Anom, Avg([Anomalies Sigma 1 Regions Cruise].[N-P_Ratio]) AS [N-P_Ratio], Avg([Anomalies Sigma 1 Regions Cruise].[N-Star]) AS [N-Star]
FROM [Anomalies Sigma 1 Regions Cruise]
GROUP BY [Anomalies Sigma 1 Regions Cruise].Year;"
"Anomalies Sigma 3 Year","SELECT",TRUE,"","SELECT [Anomalies Sigma 2 Cruises].Year AS Expr1, Avg([Anomalies Sigma 2 Cruises].Date) AS Date, Avg([Anomalies Sigma 2 Cruises].Month) AS Month, Count([Anomalies Sigma 2 Cruises].Cruise) AS NoCruises, Avg([Anomalies Sigma 2 Cruises].Sigma) AS Sigma, Avg([Anomalies Sigma 2 Cruises].Depth) AS Depth, Avg([Anomalies Sigma 2 Cruises].Temp) AS Temp, Avg([Anomalies Sigma 2 Cruises].Sal) AS Sal, Avg([Anomalies Sigma 2 Cruises].PO4) AS PO4, Avg([Anomalies Sigma 2 Cruises].SiO4) AS SiO4, Avg([Anomalies Sigma 2 Cruises].NO3) AS NO3, Avg([Anomalies Sigma 2 Cruises].O2) AS O2, Avg([Anomalies Sigma 2 Cruises].DepthAnom) AS DepthAnom, Avg([Anomalies Sigma 2 Cruises].TempAnom) AS TempAnom, Avg([Anomalies Sigma 2 Cruises].SalAnom) AS SalAnom, Avg([Anomalies Sigma 2 Cruises].PO4Anom) AS PO4Anom, Avg([Anomalies Sigma 2 Cruises].SiO3Anom) AS SiO3Anom, Avg([Anomalies Sigma 2 Cruises].NO3Anom) AS NO3Anom, Avg([Anomalies Sigma 2 Cruises].O2Anom) AS O2Anom
FROM [Anomalies Sigma 2 Cruises]
GROUP BY [Anomalies Sigma 2 Cruises].Year
ORDER BY [Anomalies Sigma 2 Cruises].Year, Avg([Anomalies Sigma 2 Cruises].Sigma);"
"Anomalies Sigma for Cruise Maps","SELECT",TRUE,"","SELECT [Anomalies Sigma 0 IM].Sigma AS Sigma, Avg(Cast.Year) AS AvgOfYear, St_Stations.Sta_ID, Avg(St_Stations.DLat_Dec) AS Lat, Avg(St_Stations.DLon_Dec) AS Long, Avg([Anomalies Sigma 0 IM].Depth) AS Depth, Avg([Anomalies Sigma 0 IM].Temp) AS Temp, Avg([Anomalies Sigma 0 IM].Sal) AS Sal, Avg([Anomalies Sigma 0 IM].PO4) AS PO4, Avg([Anomalies Sigma 0 IM].SiO4) AS SiO4, Avg([Anomalies Sigma 0 IM].NO3) AS NO3, Avg([Anomalies Sigma 0 IM].O2) AS O2, Avg([Anomalies Sigma 0 IM].DepthAnom) AS DepthAnom, Avg([Anomalies Sigma 0 IM].TempAnom) AS TempAnom, Avg([Anomalies Sigma 0 IM].SalAnom) AS SalAnom, Avg([Anomalies Sigma 0 IM].PO4Anom) AS PO4Anom, Avg([Anomalies Sigma 0 IM].SiO3Anom) AS SiO3Anom, Avg([Anomalies Sigma 0 IM].NO3Anom) AS NO3Anom, Avg([Anomalies Sigma 0 IM].O2Anom) AS O2Anom, Avg([Anomalies Sigma 0 IM]!DepthAnom/[Anomalies Sigma 0 IM]!DepthStDev) AS DepthStAnom, Avg([Anomalies Sigma 0 IM]!TempAnom/[Anomalies Sigma 0 IM]!TempStDev) AS TempStAnom, Avg([Anomalies Sigma 0 IM]!SalAnom/[Anomalies Sigma 0 IM]!SalStDev) AS SalStAnom, Avg([Anomalies Sigma 0 IM]!NO3Anom/[Anomalies Sigma 0 IM]!NO3StDev) AS NO3StAnom, Avg([Anomalies Sigma 0 IM]!O2Anom/[Anomalies Sigma 0 IM]!O2StDev) AS O2StAnom
FROM St_Stations INNER JOIN ((Cruises INNER JOIN Cast ON Cruises.Cruise = Cast.Cruise) INNER JOIN [Anomalies Sigma 0 IM] ON (Cast.Cast_ID = [Anomalies Sigma 0 IM].Cast_ID) AND (Cast.Cruise = [Anomalies Sigma 0 IM].Cruise)) ON St_Stations.Sta_ID = Cast.Sta_ID
WHERE (((Cast.Cruise) Between 201100 And 201412))
GROUP BY [Anomalies Sigma 0 IM].Sigma, St_Stations.Sta_ID
HAVING ((([Anomalies Sigma 0 IM].Sigma)=26.4));"
"Cast Query","UPDATE",TRUE,"","UPDATE Cast INNER JOIN Prodo_Cast ON Cast.Cst_Cnt = Prodo_Cast.Cst_Cnt
SET Prodo_Cast.Cast_ID = [cast].[cast_ID]
WHERE (((Cast.cast_ID)<>[prodo_cast].[cast_ID]));"
"Cluster - Chl a: Station_Cruise for Cluster","CROSS_TAB",TRUE,"","TRANSFORM Avg(Chl.ChlorA) AS AvgOfChlorA
SELECT Cast.DbSta_ID, Station_ID.DLat_Dec, Station_ID.DLon_Dec
FROM Cruises INNER JOIN ((((Station_ID INNER JOIN Cast ON Station_ID.DBSta_ID = Cast.DbSta_ID) INNER JOIN MLD_Sigma ON Cast.Cast_ID = MLD_Sigma.Cast_ID) LEFT JOIN NutClineDepth ON Cast.Cast_ID = NutClineDepth.Cast_ID) INNER JOIN ((Bottle LEFT JOIN Chl ON Bottle.Btl_Cnt = Chl.Btl_Cnt) LEFT JOIN Nuts ON Bottle.Btl_Cnt = Nuts.Btl_Cnt) ON Cast.Cst_Cnt = Bottle.Cst_Cnt) ON Cruises.Cruise = Cast.Cruise
WHERE (((Station_ID.Sta_Code)=""st"") AND ((Cruises.[Code-ST])=""st"") AND ((Bottle.Depthm)>[MLD_Sigma]![MLD_Sigma]) AND ((Bottle.RecInd)=3) AND ((Cruises.Cruise)>198400))
GROUP BY Cast.DbSta_ID, Station_ID.DLat_Dec, Station_ID.DLon_Dec
PIVOT Cast.Cruise;"
"Cluster Tests","CROSS_TAB",TRUE,"","TRANSFORM Avg(NutClineDepth.NCDepth) AS AvgOfNCDepth
SELECT Cast.DbSta_ID, Station_ID.DLat_Dec, Station_ID.DLon_Dec
FROM Cruises INNER JOIN ((((Station_ID INNER JOIN Cast ON Station_ID.DBSta_ID = Cast.DbSta_ID) INNER JOIN MLD_Sigma ON Cast.Cast_ID = MLD_Sigma.Cast_ID) LEFT JOIN NutClineDepth ON Cast.Cast_ID = NutClineDepth.Cast_ID) INNER JOIN ((Bottle LEFT JOIN Chl ON Bottle.Btl_Cnt = Chl.Btl_Cnt) LEFT JOIN Nuts ON Bottle.Btl_Cnt = Nuts.Btl_Cnt) ON Cast.Cst_Cnt = Bottle.Cst_Cnt) ON Cruises.Cruise = Cast.Cruise
WHERE (((Station_ID.Sta_Code)=""st"") AND ((Cruises.[Code-ST])=""st"") AND ((Bottle.Depthm)>[MLD_Sigma]![MLD_Sigma]) AND ((Bottle.RecInd)=3) AND ((Cruises.Cruise) Between 200000 And 200700))
GROUP BY Cast.DbSta_ID, Station_ID.DLat_Dec, Station_ID.DLon_Dec
PIVOT Cast.Cruise;"
"DBOutput","MAKE_TABLE",TRUE,"","SELECT Bottle.Cst_Cnt, Bottle.Btl_Cnt, Cast.Cruise, Cast.Cruz_Sta, Cast.DbSta_ID, Cast.Cast_ID, Cast.Sta_ID, Cast.Sta_Code, Bottle.Depth_ID, Bottle.Depthm, Bottle.T_degC, Bottle_Q.T_prec, Bottle_Q.T_qual, Bottle.Salnty, Bottle_Q.S_prec, Bottle_Q.S_qual, Bottle_Q.P_qual, Bottle.O2ml_L, Bottle_Q.O_qual, Nuts.PO4uM, Nuts.PO4q, Nuts.SiO3uM, Nuts.SiO3qu, Nuts.NO2uM, Nuts.NO2q, Nuts.NO3uM, Nuts.NO3q, Nuts.NH3uM, Nuts.NH3q, Chl.ChlorA, Chl.Chlqua, Chl.Phaeop, Chl.Phaqua, Bottle.STheta, Bottle_Q.SThtaq, Bottle.O2Sat, Bottle_Q.O2Satq, Bottle.BtlNum, Prodo_Bottle.C14As1, Prodo_Bottle.C14A1p, Prodo_Bottle.C14A1q, Prodo_Bottle.C14As2, Prodo_Bottle.C14A2p, Prodo_Bottle.C14A2q, Prodo_Bottle.DarkAs, Prodo_Bottle.DarkAp, Prodo_Bottle.DarkAq, Prodo_Bottle.MeanAs, Prodo_Bottle.MeanAp, Prodo_Bottle.MeanAq, Prodo_Bottle.IncTim, Prodo_Bottle.LightP, Bottle.RecInd, Rpt_Data.R_Depth, Rpt_Data.R_TEMP, Rpt_Data.R_POTEMP, Rpt_Data.R_SALINITY, Rpt_Data.R_SIGMA, Rpt_Data.R_SVA, Rpt_Data.R_DYNHT, Rpt_Data.R_O2, Rpt_Data.R_O2Sat, Rpt_Data.R_SIO3, Rpt_Data.R_PO4, Rpt_Data.R_NO3, Rpt_Data.R_NO2, Rpt_Data.R_NH4, Rpt_Data.R_CHLA, Rpt_Data.R_PHAEO, Rpt_Data.R_PRES, Rpt_Data.R_SAMP INTO 0501Bottle2013
FROM ((Bottle INNER JOIN ((Bottle_Q INNER JOIN (Cast INNER JOIN Prodo_Bottle ON Cast.Cst_Cnt = Prodo_Bottle.Cst_Cnt) ON Bottle_Q.Btl_Cnt = Prodo_Bottle.Btl_Cnt) INNER JOIN Rpt_Data ON Prodo_Bottle.Btl_Cnt = Rpt_Data.Btl_Cnt) ON Bottle.Btl_Cnt = Bottle_Q.Btl_Cnt) INNER JOIN Chl ON Bottle.Btl_Cnt = Chl.Btl_Cnt) INNER JOIN Nuts ON (Cast.Cst_Cnt = Bottle.Cst_Cnt) AND (Bottle.Btl_Cnt = Rpt_Data.Btl_Cnt) AND (Bottle.Btl_Cnt = Prodo_Bottle.Btl_Cnt) AND (Bottle.Btl_Cnt = Nuts.Btl_Cnt)
WHERE (((Cast.Cruise)=200501));"
"DIC_MkTbl_For_Web","MAKE_TABLE",TRUE,"","SELECT DICs.ID, [Bottle.Cst_Cnt] AS Cast_Index, [Bottle.Btl_Cnt] AS Bottle_Index, Cast.Cruise, [Bottle.Depthm] AS [Depth(m)], [Cast.Sta_ID] AS [Line Sta_ID], Bottle.Depth_ID, DICs.DIC1, DICs.DIC2, DICs.TA1, DICs.TA2, DICs.pH1, DICs.pH2, DICs.Salinity1, DICs.Salinity2, [Bottle.T_degC] AS Temperature_degC, [Bottle.Salnty] AS [Bottle Salinity], [bottle.O2ml_L] AS [Bottle O2(ml_L)], [bottle.Oxy_µmol/Kg] AS [Bottle O2 (µmol/Kg)], [bottle.STheta] AS [Sigma-theta], [Dics.Bottle_ID1] AS [DIC Bottle_ID1], [Dics.Bottle_ID2] AS [DIC Bottle_ID2], DICs.[DIC Quality Comment] INTO Web_DICs
FROM Cast INNER JOIN (Bottle INNER JOIN DICs ON Bottle.Btl_Cnt = DICs.Btl_Cnt) ON Cast.Cst_Cnt = Bottle.Cst_Cnt;"
"DIC_Station_Query","SELECT",TRUE,"","SELECT Bottle.Depthm, Bottle.Sta_ID, Cast.Cruise, DICs.DIC1, DICs.Salinity1, Bottle.Salnty, Bottle.O2ml_L, Bottle.RecInd, DICs.TA1, Bottle.[Oxy_µmol/Kg]
FROM Cast INNER JOIN (Bottle LEFT JOIN DICs ON Bottle.Btl_Cnt = DICs.Btl_Cnt) ON Cast.Cst_Cnt = Bottle.Cst_Cnt
WHERE (((Bottle.Sta_ID)=""081.8 046.9"") AND ((Cast.Cruise)=201004) AND ((Bottle.RecInd)=3))
ORDER BY Bottle.Depthm;"
"Data for HarmCoefSigma Calc","CROSS_TAB",TRUE,"","TRANSFORM Avg(Cast.Julian_Day) AS AvgOfJulian_Day
SELECT Bottle_Sigm.Sta_ID, Bottle_Sigm.STheta
FROM Cruises INNER JOIN (Cast INNER JOIN Bottle_Sigm ON Cast.Cast_ID = Bottle_Sigm.Cast_ID) ON Cruises.Cruise = Cast.Cruise
WHERE (((Cruises.[Code-ST])=""st"") AND ((Cruises.Cruise) Between 198400 And 200812))
GROUP BY Bottle_Sigm.Sta_ID, Bottle_Sigm.STheta
PIVOT Cruises.Cruise;"
"Data for Line93 SigmaMap","SELECT",TRUE,"","SELECT Cast.Year, Cast.Cruise, Cast.Cast_ID, Cast.Sta_ID, Avg(Cast!Date+Cast!Time) AS DateTime, Bottle.Depthm AS Depth, Avg(Bottle.T_degC) AS Temp, Avg(Bottle.Salnty) AS Sal, Avg(Bottle.O2ml_L) AS O2, Avg(Bottle.O2Sat) AS O2Sat, Avg(Bottle.STheta) AS STheta, Avg(Nuts.PO4ug) AS PO4, Avg(Nuts.SiO3ug) AS SiO4, Avg(Nuts.NO3ug) AS NO3, Avg(Nuts.NO2ug) AS AvgOfNO2ug
FROM Cruises RIGHT JOIN ((Cast LEFT JOIN Station_ID ON Cast.Sta_ID = Station_ID.Sta_ID) INNER JOIN (Bottle LEFT JOIN Nuts ON Bottle.Btl_Cnt = Nuts.Btl_Cnt) ON Cast.Cst_Cnt = Bottle.Cst_Cnt) ON Cruises.Cruise = Cast.Cruise
WHERE (((Bottle.RecInd)=3 Or (Bottle.RecInd)=5))
GROUP BY Cast.Year, Cast.Cruise, Cast.Cast_ID, Cast.Sta_ID, Bottle.Depthm
HAVING (((Cast.Cruise)>198400) AND ((Avg(Bottle.STheta)) Is Not Null))
ORDER BY Cast.Year, Cast.Cast_ID, Bottle.Depthm;"
"Data for Matlab ML Calc","SELECT",TRUE,"","SELECT Cast.Year, Cast.CruiseAlias AS Cruise, Cast.Cast_ID, Cast.Sta_ID, Avg(Cast!Date+Cast!Time) AS DateTime, Bottle.Depthm AS Depth, Avg(Bottle.T_degC) AS Temp, Avg(Bottle.STheta) AS Density, Bottle.RecInd
FROM Cast INNER JOIN Bottle ON Cast.Cst_Cnt = Bottle.Cst_Cnt
GROUP BY Cast.Year, Cast.CruiseAlias, Cast.Cast_ID, Cast.Sta_ID, Bottle.Depthm, Bottle.RecInd
HAVING (((Cast.CruiseAlias)>201611) AND ((Bottle.Depthm)<300) AND ((Avg(Bottle.STheta)) Is Not Null) AND ((Bottle.RecInd)=3 Or (Bottle.RecInd)=5))
ORDER BY Cast.Cast_ID, Bottle.Depthm;"
"Data for Matlab NC Calc","SELECT",TRUE,"","SELECT Cast.Year, Cast.Cruise, Cast.Cast_ID, Cast.Sta_ID, Avg(Cast!Date+Cast!Time) AS DateTime, Bottle.Depthm AS Depth, Avg(Bottle.T_degC) AS Temp, Avg(Bottle.STheta) AS STheta, Avg(Nuts.PO4uM) AS PO4, Avg(Nuts.SiO3uM) AS SiO4, Avg(Nuts.NO3uM) AS NO3
FROM Cast INNER JOIN (Bottle LEFT JOIN Nuts ON Bottle.Btl_Cnt = Nuts.Btl_Cnt) ON Cast.Cst_Cnt = Bottle.Cst_Cnt
WHERE (((Bottle.RecInd)=3))
GROUP BY Cast.Year, Cast.Cruise, Cast.Cast_ID, Cast.Sta_ID, Bottle.Depthm
HAVING (((Cast.Cruise)>201611) AND ((Bottle.Depthm)<260) AND ((Avg(Bottle.T_degC))>5) AND ((Avg(Nuts.NO3uM)) Is Not Null))
ORDER BY Cast.Cast_ID, Bottle.Depthm;"
"Data for OMZ Sigma Map Matlab","SELECT",TRUE,"","SELECT Cast.Year, Cast.Cruise, Cast.Cast_ID, Cast.Sta_ID, Avg(Cast!Date+Cast!Time) AS DateTime, Avg(Bottle.Depthm) AS Depth, Avg(Bottle.T_degC) AS Temp, Avg(Bottle.Salnty) AS Sal, Avg(Bottle.O2ml_L) AS O2, Avg(Bottle.O2Sat) AS O2Sat, Bottle.STheta AS STheta, Avg(Nuts.PO4ug) AS PO4, Avg(Nuts.SiO3ug) AS SiO4, Avg(Nuts.NO3ug) AS NO3, Avg(Nuts.NO2ug) AS NO2
FROM Cruises RIGHT JOIN ((St_Stations INNER JOIN Cast ON St_Stations.Sta_ID = Cast.Sta_ID) INNER JOIN (Bottle LEFT JOIN Nuts ON Bottle.Btl_Cnt = Nuts.Btl_Cnt) ON Cast.Cst_Cnt = Bottle.Cst_Cnt) ON Cruises.Cruise = Cast.Cruise
WHERE (((Bottle.RecInd)=3 Or (Bottle.RecInd)=5) AND ((St_Stations.[Code-Nearshore])=""near"" Or (St_Stations.[Code-Nearshore])=""cow""))
GROUP BY Cast.Year, Cast.Cruise, Cast.Cast_ID, Cast.Sta_ID, Bottle.STheta
HAVING (((Avg(Bottle.T_degC))>5) AND ((Avg(Bottle.O2ml_L)) Is Not Null) AND ((Bottle.STheta) Is Not Null))
ORDER BY Cast.Year, Cast.Cruise, Cast.Cast_ID, Cast.Sta_ID, Bottle.STheta;"
"Data for Sigma Map Matlab","SELECT",TRUE,"","SELECT Cast.Year, Cast.Cruise, Cast.Cast_ID, Cast.Sta_ID, Avg(Cast!Date+Cast!Time) AS DateTime, Avg(Bottle.Depthm) AS Depth, Avg(Bottle.T_degC) AS Temp, Avg(Bottle.Salnty) AS Sal, Avg(Bottle.O2ml_L) AS O2, Avg(Bottle.O2Sat) AS O2Sat, Bottle.STheta AS STheta, Avg(Nuts.PO4uM) AS PO4, Avg(Nuts.SiO3uM) AS SiO4, Avg(Nuts.NO3uM) AS NO3, Avg(Nuts.NO2uM) AS NO2
FROM Cruises RIGHT JOIN ((St_Stations INNER JOIN Cast ON St_Stations.Sta_ID = Cast.Sta_ID) INNER JOIN (Bottle LEFT JOIN Nuts ON Bottle.Btl_Cnt = Nuts.Btl_Cnt) ON Cast.Cst_Cnt = Bottle.Cst_Cnt) ON Cruises.Cruise = Cast.Cruise
WHERE (((Bottle.RecInd)=3 Or (Bottle.RecInd)=5))
GROUP BY Cast.Year, Cast.Cruise, Cast.Cast_ID, Cast.Sta_ID, Bottle.STheta
HAVING (((Cast.Cruise)>198400) AND ((Avg(Bottle.T_degC))>5) AND ((Bottle.STheta) Is Not Null))
ORDER BY Cast.Year, Cast.Cruise, Cast.Cast_ID, Cast.Sta_ID, Bottle.STheta;"
"Depth Data - 1 Stations","SELECT",TRUE,"","SELECT Cast.Year, Cast.Cruise, Cast.Sta_ID, Cast.Lat_Dec, Cast.Lon_Dec, Avg(Cast.Date) AS Date, Avg(Cast!Month+Day(Cast!Date)/31.5-1) AS Month, Avg(Bottle.Depthm) AS Depth, Avg(Bottle.STheta) AS Density, Avg(Bottle.T_degC) AS Temp, Avg(Bottle.Salnty) AS Sal, Avg(Chl.ChlorA) AS Chl, Avg(Nuts.PO4ug) AS PO4, Avg(Nuts.SiO3ug) AS SiO4, Avg(Nuts.NO2ug) AS NO2, Avg(Nuts.NO3ug) AS NO3, Avg(Bottle.O2ml_L) AS O2
FROM Cruises INNER JOIN (Cast INNER JOIN ((Bottle LEFT JOIN Chl ON Bottle.Btl_Cnt = Chl.Btl_Cnt) LEFT JOIN Nuts ON Bottle.Btl_Cnt = Nuts.Btl_Cnt) ON Cast.Cst_Cnt = Bottle.Cst_Cnt) ON Cruises.Cruise = Cast.Cruise
WHERE (((Bottle.Depthm)=200) AND ((Cruises.[Code-ST])=""st"") AND ((Cast.Sta_Code)=""st""))
GROUP BY Cast.Year, Cast.Cruise, Cast.Sta_ID, Cast.Lat_Dec, Cast.Lon_Dec, Cast.Cast_ID
HAVING (((Cast.Cruise)>198400))
ORDER BY Cast.Year, Cast.Cruise;"
"Depth Data - 2 Cruises","SELECT",TRUE,"","SELECT [Depth Data - 1 Stations].Year, [Depth Data - 1 Stations].Cruise, Avg([Depth Data - 1 Stations].Date) AS Date, Avg([Depth Data - 1 Stations].Month) AS Month, Count([Depth Data - 1 Stations].Depth) AS St_Count, Avg([Depth Data - 1 Stations].Depth) AS Depth, Avg([Depth Data - 1 Stations].Temp) AS Temp, Avg([Depth Data - 1 Stations].Sal) AS Sal, Avg([Depth Data - 1 Stations].Density) AS Density, Avg([Depth Data - 1 Stations].Chl) AS Chl, Avg([Depth Data - 1 Stations].PO4) AS PO4, Avg([Depth Data - 1 Stations].SiO4) AS SiO4, Avg([Depth Data - 1 Stations].NO2) AS NO2, Avg([Depth Data - 1 Stations].NO3) AS NO3, Avg([Depth Data - 1 Stations].O2) AS O2
FROM [Depth Data - 1 Stations]
GROUP BY [Depth Data - 1 Stations].Year, [Depth Data - 1 Stations].Cruise;"
"Depth Data - 3 Annual","SELECT",TRUE,"","SELECT [Depth Data - 2 Cruises].Year, Avg([Depth Data - 2 Cruises].Depth) AS Depth, Avg([Depth Data - 2 Cruises].Temp) AS Temp, Avg([Depth Data - 2 Cruises].Sal) AS Sal, Avg([Depth Data - 2 Cruises].Density) AS Density, Avg([Depth Data - 2 Cruises].Chl) AS Chl, Avg([Depth Data - 2 Cruises].PO4) AS PO4, Avg([Depth Data - 2 Cruises].SiO4) AS SiO4, Avg([Depth Data - 2 Cruises].NO2) AS NO2, Avg([Depth Data - 2 Cruises].NO3) AS NO3, Avg([Depth Data - 2 Cruises].O2) AS O2
FROM [Depth Data - 2 Cruises]
GROUP BY [Depth Data - 2 Cruises].Year;"
