species_code,common_name,scientific_name,itis_id,is_bird,is_mammal,is_fish,is_unidentified,include_flag
BRNO,Brown Noddy,Anous stolidus,176941,TRUE,FALSE,FALSE,FALSE,TRUE
BRPE,Brown Pelican,Pelecanus occidentalis,174685,TRUE,FALSE,FALSE,FALSE,TRUE
BRSP,Brewer's Sparrow,Spizella breweri,179440,TRUE,FALSE,FALSE,FALSE,FALSE
BUFF,Bufflehead,Bucephala albeola,175145,TRUE,FALSE,FALSE,FALSE,FALSE
BULS,Buller's Shearwater,Puffinus bulleri,174552,TRUE,FALSE,FALSE,FALSE,TRUE
BVSH,Black-Vented Shearwater,Puffinus opisthomelas,554396,TRUE,FALSE,FALSE,FALSE,TRUE
CAAU,Cassin's Auklet,Ptychoramphus aleuticus,177013,TRUE,FALSE,FALSE,FALSE,TRUE
CAGU,California Gull,Larus californicus,176829,TRUE,FALSE,FALSE,FALSE,TRUE
CASL,California Sea Lion,Zalophus californianus,180621,FALSE,TRUE,FALSE,FALSE,TRUE
CATE,Caspian Tern,Sterna caspia,176924,TRUE,FALSE,FALSE,FALSE,TRUE
CBWH,Cuvier's Beaked Whale,Ziphius cavirostris,180498,FALSE,TRUE,FALSE,FALSE,TRUE
CLGR,Clark's Grebe,Aechmophorus clarkii,554027,TRUE,FALSE,FALSE,FALSE,TRUE
CODO,Common Dolphin,Delphinus delphis,180438,FALSE,TRUE,FALSE,FALSE,TRUE
COLO,Common Loon,Gavia immer,174469,TRUE,FALSE,FALSE,FALSE,TRUE
COMU,Common Murre,Uria aalge,176974,TRUE,FALSE,FALSE,FALSE,TRUE
COPE,Cook's Petrel,Pterodroma cookii,554395,TRUE,FALSE,FALSE,FALSE,TRUE
COTE,Common Tern,Sterna hirundo,176888,TRUE,FALSE,FALSE,FALSE,TRUE
CRMU,Craveri's Murrelet,Synthliboramphus craveri,177010,TRUE,FALSE,FALSE,FALSE,TRUE
CSLI,California Sea Lion,Zalophus californianus,180621,FALSE,TRUE,FALSE,FALSE,TRUE
DAPO,Dall's Porpoise,Phocoenoides dalli,180480,FALSE,TRUE,FALSE,FALSE,TRUE
DCCO,Double-Crested Cormorant,Phalacrocorax auritus,174717,TRUE,FALSE,FALSE,FALSE,TRUE
DKSH,Dark Shearwater,(species group),,TRUE,FALSE,FALSE,FALSE,TRUE
DOWI,Unidentified Dowitcher,,,TRUE,FALSE,FALSE,TRUE,FALSE
DRPE,Dark-Rumped Petrel,Pterodroma phaeopygia sandwichensis,202225,TRUE,FALSE,FALSE,FALSE,TRUE
EAGR,Eared Grebe,Podiceps nigricollis,174485,TRUE,FALSE,FALSE,FALSE,TRUE
ELTE,Elegant Tern,Sterna elegans,176925,TRUE,FALSE,FALSE,FALSE,TRUE
EUST,European Starling,Sturnus vulgaris,179637,TRUE,FALSE,FALSE,FALSE,FALSE
FFSH,Flesh-Footed Shearwater,Puffinus carneipes,174548,TRUE,FALSE,FALSE,FALSE,TRUE
FIWH,Fin Whale,Balaenoptera physalus,180527,FALSE,TRUE,FALSE,FALSE,TRUE
FKWH,False Killer Whale,Pseudorca crassidens,180463,FALSE,TRUE,FALSE,FALSE,TRUE
FOTE,Forster's Tern,Sterna forsteri,176887,TRUE,FALSE,FALSE,FALSE,TRUE
FRGU,Franklin's Gull,Larus pipixcan,176838,TRUE,FALSE,FALSE,FALSE,TRUE
FTSP,Fork-Tailed Storm-Petrel,Oceanodroma furcata,174625,TRUE,FALSE,FALSE,FALSE,TRUE
GBHE,Great Blue Heron,Ardea herodias,174773,TRUE,FALSE,FALSE,FALSE,FALSE
GFSE,Guadelupe Fur Seal,Arctocephalus townsendi,180636,FALSE,TRUE,FALSE,FALSE,TRUE
GLGU,Glaucous Gull,Larus hyperboreus,176808,TRUE,FALSE,FALSE,FALSE,TRUE
GREG,Great Egret,Ardea alba,554135,TRUE,FALSE,FALSE,FALSE,FALSE
GRHE,Green Heron,Butorides virescens,174793,TRUE,FALSE,FALSE,FALSE,FALSE
GRTU,Green Sea Turtle,Chelonia mydas,173833,FALSE,TRUE,FALSE,FALSE,TRUE
GRWH,Gray Whale,Eschrichtius robustus,180521,FALSE,TRUE,FALSE,FALSE,TRUE
GWGU,Glaucous-Winged Gull,Larus glaucescens,176814,TRUE,FALSE,FALSE,FALSE,TRUE
HAPE,Hawaiian Petrel,Pterodroma sandwichensis,562561,TRUE,FALSE,FALSE,FALSE,TRUE
HAPO,Harbor Porpoise,Phocoena phocoena,180473,FALSE,TRUE,FALSE,FALSE,TRUE
HASE,Harbor Seal,Phoca vitulina,180649,FALSE,TRUE,FALSE,FALSE,TRUE
HASH,Hammerhead Shark,Sphyrna spp.,160499,FALSE,FALSE,TRUE,FALSE,FALSE
HATU,Hawksbill Sea Turtle,Eretmochelys imbricata,173836,FALSE,TRUE,FALSE,FALSE,FALSE
HEEG,Heermann's Gull,Larus heermanni,176841,TRUE,FALSE,FALSE,FALSE,TRUE
HERG,Herring Gull,Larus argentatus,176824,TRUE,FALSE,FALSE,FALSE,TRUE
HOPU,Horned Puffin,Fratercula corniculata,177029,TRUE,FALSE,FALSE,FALSE,TRUE
HUWH,Humpback Whale,Megaptera novaeangliae,180530,FALSE,TRUE,FALSE,FALSE,TRUE
HYGU,Hybrid Gull,(species group),,TRUE,FALSE,FALSE,FALSE,TRUE
JFPE,Juan Fernandez Petrel,Pterodroma externa,174574,TRUE,FALSE,FALSE,FALSE,TRUE
KEGU,Kelp Gull,Larus dominicanus,176849,TRUE,FALSE,FALSE,FALSE,TRUE
KIWH,Killer Whale,Orcinus orca,180469,FALSE,TRUE,FALSE,FALSE,TRUE
KRPE,Kermadec Petrel,Pterodroma neglecta,174573,TRUE,FALSE,FALSE,FALSE,TRUE
LAAL,Laysan Albatross,Phoebastria immutabilis,554378,TRUE,FALSE,FALSE,FALSE,TRUE
LAGU,Laughing Gull,Larus atricilla,176837,TRUE,FALSE,FALSE,FALSE,TRUE
LBCD,Long-beaked Common Dolphin,Delphinus capensis,555654,FALSE,TRUE,FALSE,FALSE,TRUE
LBCU,Long-billed Curlew,Numenius americanus,176593,TRUE,FALSE,FALSE,FALSE,FALSE
LBDO,Long-billed Dowitcher,Limnodromus scolopaceus,176679,TRUE,FALSE,FALSE,FALSE,FALSE
LESA,Least Sandpiper,Calidris minutilla,176656,TRUE,FALSE,FALSE,FALSE,FALSE
LETE,Least Tern,Sterna antillarum,176923,TRUE,FALSE,FALSE,FALSE,TRUE
LETU,Leatherback Turtle,Dermochelys coriacea,173843,FALSE,TRUE,FALSE,FALSE,FALSE
LHSP,Leach's Storm-Petrel,Oceanodroma leucorhoa,174628,TRUE,FALSE,FALSE,FALSE,TRUE
LTJA,Long-Tailed Jaeger,Stercorarius longicaudus,176794,TRUE,FALSE,FALSE,FALSE,TRUE
LTSP,Least Storm-Petrel,Oceanodroma microsoma,174646,TRUE,FALSE,FALSE,FALSE,TRUE
MAGO,Marbled Godwit,Limosa fedoa,176686,TRUE,FALSE,FALSE,FALSE,FALSE
MAKO,Mako Shark,Isurus oxyrinchus,159924,FALSE,FALSE,TRUE,FALSE,FALSE
MALL,Mallard Duck,Anas platyrhynchos,175063,TRUE,FALSE,FALSE,FALSE,FALSE
MAMU,Marbled Murrelet,Brachyramphus marmoratus,176996,TRUE,FALSE,FALSE,FALSE,TRUE
MEGU,Mew Gull,Larus canus,176832,TRUE,FALSE,FALSE,FALSE,TRUE
MIWH,Minke Whale,Balaenoptera acutorostrata,180524,FALSE,TRUE,FALSE,FALSE,TRUE
MODO,Mourning Dove,Zenaida macroura,177125,TRUE,FALSE,FALSE,FALSE,FALSE
MOLA,Mola Mola,Mola mola,173414,FALSE,FALSE,TRUE,FALSE,FALSE
MOPE,Mottled Petrel,Pterodroma inexpectata,174569,TRUE,FALSE,FALSE,FALSE,TRUE
MUPE,Murphy's Petrel,Pterodroma ultima,174592,TRUE,FALSE,FALSE,FALSE,TRUE
NESE,Northern Elephant Seal,Mirounga angustirostris,180672,FALSE,TRUE,FALSE,FALSE,TRUE
NFSE,Northern Fur Seal,Callorhinus ursinus,180627,FALSE,TRUE,FALSE,FALSE,TRUE
NOFU,Northern Fulmar,Fulmarus glacialis,174536,TRUE,FALSE,FALSE,FALSE,TRUE
NRWD,Northern Right Whale Dolphin,Lissodelphis borealis,180454,FALSE,TRUE,FALSE,FALSE,TRUE
OSPR,Osprey,Pandion haliaetus,175590,TRUE,FALSE,FALSE,FALSE,TRUE
PAAU,Parakeet Auklet,Aethia psittacula,554029,TRUE,FALSE,FALSE,FALSE,TRUE
PAJA,Parasitic Jaeger,Stercorarius parasiticus,176793,TRUE,FALSE,FALSE,FALSE,TRUE
PALO,Pacific Loon,Gavia pacifica,174475,TRUE,FALSE,FALSE,FALSE,TRUE
PAPE,Parkinson's Petrel,Procellaria parkinsoni,174611,TRUE,FALSE,FALSE,FALSE,TRUE
PECO,Pelagic Cormorant,Phalacrocorax pelagicus,174725,TRUE,FALSE,FALSE,FALSE,TRUE
PEFA,Peregrine Falcon,Falco peregrinus,175604,TRUE,FALSE,FALSE,FALSE,TRUE
PFSH,Pink-Footed Shearwater,Puffinus creatopus,174547,TRUE,FALSE,FALSE,FALSE,TRUE
PIGU,Pigeon Guillemot,Cepphus columba,176991,TRUE,FALSE,FALSE,FALSE,TRUE
PIWH,Pilot Whale,Globicephala spp.,180464,FALSE,TRUE,FALSE,FALSE,TRUE
POJA,Pomarine Jaeger,Stercorarius pomarinus,176792,TRUE,FALSE,FALSE,FALSE,TRUE
PSWH,Pygmy Sperm Whale,Kogia breviceps,180491,FALSE,TRUE,FALSE,FALSE,TRUE
PWSD,Pacific White-Sided Dolphin,Lagenorhynchus obliquidens,180444,FALSE,TRUE,FALSE,FALSE,TRUE
RBGU,Ring-Billed Gull,Larus delawarensis,176830,TRUE,FALSE,FALSE,FALSE,TRUE
RBME,Red-Breasted Merganser,Mergus serrator,175187,TRUE,FALSE,FALSE,FALSE,FALSE
RBTR,Red-Billed Tropicbird,Phaethon aethereus,174673,TRUE,FALSE,FALSE,FALSE,TRUE
REPH,Red Phalarope,Phalaropus fulicaria,554376,TRUE,FALSE,FALSE,FALSE,TRUE
RFBO,Red-Footed Booby,Sula sula,174707,TRUE,FALSE,FALSE,FALSE,TRUE
RHAU,Rhinoceros Auklet,Cerorhinca monocerata,177023,TRUE,FALSE,FALSE,FALSE,TRUE
RIDO,Risso's Dolphin,Grampus griseus,180457,FALSE,TRUE,FALSE,FALSE,TRUE
RITU,Ridley Sea Turtle,Lepidochelys olivacea,173840,FALSE,TRUE,FALSE,FALSE,TRUE
RNGR,Red-Necked Grebe,Podiceps grisegena,174479,TRUE,FALSE,FALSE,FALSE,TRUE
RNPH,Red-Necked Phalarope,Phalaropus lobatus,176735,TRUE,FALSE,FALSE,FALSE,TRUE
ROYT,Royal Tern,Sterna maxima,176922,TRUE,FALSE,FALSE,FALSE,TRUE
RTLO,Red-Throated Loon,Gavia stellata,174474,TRUE,FALSE,FALSE,FALSE,TRUE
RTTR,Red-Tailed Tropicbird,Pheathon rubricauda,174679,TRUE,FALSE,FALSE,FALSE,TRUE
RUDU,Ruddy Duck,Oxyura jamaicensis,175175,TRUE,FALSE,FALSE,FALSE,FALSE
RUTU,Ruddy Turnstone,Arenaria interpres,176571,TRUE,FALSE,FALSE,FALSE,TRUE
SAGU,Sabine's Gull,Larus sabini,176865,TRUE,FALSE,FALSE,FALSE,TRUE
SAND,Sanderling,Calidris alba,176669,TRUE,FALSE,FALSE,FALSE,FALSE
SBCD,Short-Beaked Common Dolphin,Delphinus delphis,180438,FALSE,TRUE,FALSE,FALSE,TRUE
SEOT,Sea Otter,Enhydra lutris,180547,FALSE,TRUE,FALSE,FALSE,TRUE
SEWH,Sei Whale,Balaenoptera borealis,180526,FALSE,TRUE,FALSE,FALSE,TRUE
SFPW,Short-Finned Pilot Whale,Globicephala macrorhynchus,180466,FALSE,TRUE,FALSE,FALSE,TRUE
SHAR,Unidentified Shark,,,FALSE,FALSE,TRUE,TRUE,FALSE
SHOS,Short-Tailed / Slender-Billed Shearwater,Puffinus tenuirostris,174554,TRUE,FALSE,FALSE,FALSE,TRUE
SNEG,Snowy Egret,Egretta thula,174813,TRUE,FALSE,FALSE,FALSE,FALSE
SNGO,Snow Goose,Chen caerulescens,175038,TRUE,FALSE,FALSE,FALSE,FALSE
SOPE,Solander's Petrel,Pterodroma solandri,174581,TRUE,FALSE,FALSE,FALSE,TRUE
SOSH,Sooty Shearwater,Puffinus griseus,174553,TRUE,FALSE,FALSE,FALSE,TRUE
SPSK,South Polar Skua,Stercorarius maccormicki,660062,TRUE,FALSE,FALSE,FALSE,TRUE
SPWH,Sperm Whale,Physeter macrocephalus,180488,FALSE,TRUE,FALSE,FALSE,TRUE
STAL,Short-Tailed Albatross,Phoebastria albatrus,554377,TRUE,FALSE,FALSE,FALSE,TRUE
STDO,Striped Dolphin,Stenella coeruleoalba,180434,FALSE,TRUE,FALSE,FALSE,TRUE
STPE,Stejneger's Petrel,Pterodroma longirostris,174582,TRUE,FALSE,FALSE,FALSE,TRUE
STSL,Steller Sea Lion,Eumetopias jubatus,180625,FALSE,TRUE,FALSE,FALSE,TRUE
SUSC,Surf Scoter,Melanitta perspicillata,175170,TRUE,FALSE,FALSE,FALSE,TRUE
THGU,Thayer's Gull,Larus thayeri,176828,TRUE,FALSE,FALSE,FALSE,TRUE
TUPU,Tufted Puffin,Fratercula cirrhata,177032,TRUE,FALSE,FALSE,FALSE,TRUE
UMAM,Unidentified Mammal,,,FALSE,TRUE,FALSE,TRUE,FALSE
UNAL,Unidentified Albatross,(species group),,TRUE,FALSE,FALSE,TRUE,TRUE
UNAU,Unidentified Auklet,(species group),,TRUE,FALSE,FALSE,TRUE,TRUE
UNBA,Unidentified Baleinoptera,,,FALSE,TRUE,FALSE,TRUE,TRUE
UNBE,Unidentified Beaked Whale,,,FALSE,TRUE,FALSE,TRUE,TRUE
UNBI,Unidentified Bird,,,TRUE,FALSE,FALSE,TRUE,FALSE
UNCE,Unidentified Cetacean,,,FALSE,TRUE,FALSE,TRUE,TRUE
UNCO,Unidentified Cormorant,(species group),,TRUE,FALSE,FALSE,TRUE,TRUE
UNDO,Unidentified Dolphin,,,FALSE,TRUE,FALSE,TRUE,TRUE
UNDU,Unidentified Duck,(species group),,TRUE,FALSE,FALSE,TRUE,TRUE
UNFI,Unidentified Fish,(species group),,FALSE,FALSE,TRUE,FALSE,FALSE
UNGO,Unidentified Goose,,,TRUE,FALSE,FALSE,TRUE,FALSE
UNGR,Unidentified Grebe,(species group),,TRUE,FALSE,FALSE,TRUE,TRUE
UNGU,Unidentified Gull,(species group),,TRUE,FALSE,FALSE,TRUE,TRUE
UNHU,Unidentified Hummingbird,,,TRUE,FALSE,FALSE,TRUE,FALSE
UNJA,Unidentified Jaeger,(species group),,TRUE,FALSE,FALSE,TRUE,TRUE
UNLA,Unidentified Large Alcid,(species group),,TRUE,FALSE,FALSE,TRUE,TRUE
UNLO,Unidentified Loon,(species group),,TRUE,FALSE,FALSE,TRUE,TRUE
UNLW,Unidentified Large Whale,,,FALSE,TRUE,FALSE,TRUE,TRUE
UNMU,Unidentified Murre,(species group),,TRUE,FALSE,FALSE,TRUE,TRUE
UNPA,Unidentified Passerine,,,TRUE,FALSE,FALSE,TRUE,FALSE
UNPC,Unidentified Procellarid,(species group),,TRUE,FALSE,FALSE,TRUE,TRUE
UNPE,Unidentified Petrel,(species group),,TRUE,FALSE,FALSE,TRUE,TRUE
UNPH,Unidentified Phalarope,(species group),,TRUE,FALSE,FALSE,TRUE,TRUE
UNPI,Unidentified Pinniped,,,FALSE,TRUE,FALSE,TRUE,TRUE
UNSA,Unidentified Small Alcid,(species group),,TRUE,FALSE,FALSE,TRUE,TRUE
UNSB,Unidentified Shorebird,,,TRUE,FALSE,FALSE,TRUE,FALSE
UNSE,Unidentified Seal,,,FALSE,TRUE,FALSE,TRUE,TRUE
UNSH,Unidentified Shearwater,(species group),,TRUE,FALSE,FALSE,TRUE,TRUE
UNSK,Unidentified Skua,(species group),,TRUE,FALSE,FALSE,TRUE,TRUE
UNSL,Unidentified Sea Lion,,,FALSE,TRUE,FALSE,TRUE,TRUE
UNSP,Unidentified Storm-Petrel,(species group),,TRUE,FALSE,FALSE,TRUE,TRUE
UNTE,Unidentified Tern,(species group),,TRUE,FALSE,FALSE,TRUE,TRUE
UNTR,Unidentified Tropicbird,(species group),,TRUE,FALSE,FALSE,TRUE,TRUE
UNTU,Unidentified Turtle,,,FALSE,TRUE,FALSE,TRUE,FALSE
UNWH,Unidentified Whale,,,FALSE,TRUE,FALSE,TRUE,TRUE
WEGR,Western Grebe,Aechmophorus occidentalis,174503,TRUE,FALSE,FALSE,FALSE,TRUE
WEGU,Western Gull,Larus occidentalis,176817,TRUE,FALSE,FALSE,FALSE,TRUE
WESA,Western Sandpiper,Calidris mauri,176668,TRUE,FALSE,FALSE,FALSE,FALSE
WHIM,Whimbrel,Numenius phaeopus,176599,TRUE,FALSE,FALSE,FALSE,FALSE
WILL,Willet,Catoptrophorus semipalmatus,176638,TRUE,FALSE,FALSE,FALSE,FALSE
WISP,Wilson's Storm-Petrel,Oceanites oceanicus,174650,TRUE,FALSE,FALSE,FALSE,TRUE
WRSP,Wedge-Rumped Storm-Petrel,Oceanodroma tethys,174638,TRUE,FALSE,FALSE,FALSE,TRUE
WTSH,Wedge-Tailed Shearwater,Puffinus pacificus,174550,TRUE,FALSE,FALSE,FALSE,TRUE
WWSC,White-Winged Scoter,Melanitta fusca,175163,TRUE,FALSE,FALSE,FALSE,FALSE
XAMU,Xantus's Murrelet,Synthliboramphus hypoleucus,177011,TRUE,FALSE,FALSE,FALSE,TRUE
XCMU,Xantus's / Craveri's Murrelet,(species group),,TRUE,FALSE,FALSE,FALSE,TRUE
YRWA,Yellow-Rumped Warbler,Dendroica coronata,178891,TRUE,FALSE,FALSE,FALSE,FALSE
